,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,002049.SZ,20201021,20201021,20200930,1,1,1.1281,1.1281,2320269570.65,687322410.25
1,002049.SZ,20200820,20200820,20200630,1,1,0.6624,0.6624,1464365307.19,402219741.5
2,002049.SZ,20200424,20200424,20200331,1,1,0.3132,0.3132,645956365.3,189204464.07
3,002049.SZ,20200402,20200820,20191231,1,1,0.6687,0.6687,3430409964.8,400546989.29
4,002049.SZ,20200402,20200402,20191231,1,1,0.6687,0.6687,3430409964.8,400546989.29
5,002049.SZ,20191024,20191024,20190930,1,1,0.6016,0.6016,2489007395.37,363506581.5
6,002049.SZ,20190822,20200820,20190630,1,1,0.3177,0.3177,1559085488.21,191875431.96
7,002049.SZ,20190822,20190822,20190630,1,1,0.3177,0.3177,1559085488.21,191875431.96
8,002049.SZ,20190424,20190424,20190331,1,1,0.1105,0.1105,669142960.93,66834226.15
9,002049.SZ,20190424,20190424,20190331,1,1,0.1105,0.1105,669142960.93,66834226.15
10,002049.SZ,20190411,20190411,20181231,1,1,0.5734,0.5734,2458423475.06,348553049.74
11,002049.SZ,20181027,20181027,20180930,1,1,0.4742,0.4742,1710840607.63,288143926.9
12,002049.SZ,20180824,20180824,20180630,1,1,0.1973,0.1973,1053106668.75,119225349.37
13,002049.SZ,20180421,20180421,20180331,1,1,0.0781,0.0781,515527801.63,46932270.21
14,002049.SZ,20180330,20180330,20171231,1,1,0.4612,0.4612,1829095734.96,278733517.72
15,002049.SZ,20171024,20171024,20170930,1,1,0.3511,0.3511,1307631858.81,212285582.21
16,002049.SZ,20170822,20170822,20170630,1,1,0.2035,0.2035,800533661.65,121755398.27
17,002049.SZ,20170422,20170422,20170331,1,1,0.0881,0.0881,401870380.2,51959119.71
18,002049.SZ,20170325,20170325,20161231,1,1,0.5539,0.5539,1418572250.23,332859990.56
