,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,601881.SH,20201031,20201031,20200930,1,4,0.56,,18080979439.65,5707746911.13
1,601881.SH,20201031,20201031,20200930,1,4,0.56,,18080979439.65,5707746911.13
2,601881.SH,20200829,20200829,20200630,1,4,0.35,,11214036002.19,3595554402.9
3,601881.SH,20200428,20200428,20200331,1,4,0.17,,5587610547.01,1780366726.1
4,601881.SH,20200328,20200328,20191231,1,4,0.52,,17040817296.16,5250144461.31
5,601881.SH,20191029,20191029,20190930,1,4,0.38,,12043714920.85,3879078065.31
6,601881.SH,20191029,20191029,20190930,1,4,,,,
7,601881.SH,20190828,20190828,20190630,1,4,0.26,,7368149422.43,2605048672.21
8,601881.SH,20190425,20190425,20190331,1,4,0.15,,3700779342.12,1542478608.71
9,601881.SH,20190328,20190328,20181231,1,4,0.28,,9925406079.33,2931736833.05
10,601881.SH,20181031,20181031,20180930,1,4,0.18,,6328408172.78,1903636350.24
11,601881.SH,20180831,20180831,20180630,1,4,0.13,,4306633395.93,1334494175.45
12,601881.SH,20180427,20180427,20180331,1,4,0.1,,2617949307.96,1027578437.79
13,601881.SH,20180329,20180329,20171231,1,4,0.39,,11344192279.74,4018973977.13
14,601881.SH,20171031,20171031,20170930,1,4,0.34,,8916757625.99,3413684405.81
15,601881.SH,20170831,20170831,20170630,1,4,0.21,,5668477685.72,2131215080.95
16,601881.SH,20170429,20170429,20170331,1,4,0.11,,2964345775.78,1126055056.34
17,601881.SH,20170331,20170331,20161231,1,4,0.54,,13239917400.53,5185406647.73
18,601881.SH,20171031,20171031,20160930,1,4,0.37,,9734670363.49,3572780398.1
19,601881.SH,20170429,20170429,20160331,1,4,0.11,,3301246846.79,1017016666.87
