,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,600482.SH,20201031,20201031,20200930,1,1,0.29,0.29,19233681275.74,613495082.31
1,600482.SH,20201031,20201031,20200930,1,1,0.29,0.29,19233681275.74,613495082.31
2,600482.SH,20200828,20200828,20200630,1,1,0.22,0.22,11917338830.59,397536956.8
3,600482.SH,20200828,20200828,20200630,1,1,0.22,0.22,11917338830.59,397536956.8
4,600482.SH,20200429,20200429,20200331,1,1,-0.02,-0.02,3740188408.68,-29656646.01
5,600482.SH,20200429,20200429,20191231,1,1,0.58,0.58,29691241619.67,1040666746.58
6,600482.SH,20191031,20191031,20190930,1,1,0.42,0.42,21976833581.25,728634395.46
7,600482.SH,20191031,20191031,20190930,1,1,0.42,0.42,21976833581.25,728634395.46
8,600482.SH,20190828,20190828,20190630,1,1,0.31,0.31,14988911404.88,548220020.82
9,600482.SH,20190828,20190828,20190630,1,1,0.31,0.31,14988911404.88,548220020.82
10,600482.SH,20190425,20190425,20190331,1,1,0.1,0.1,7029725613.94,179917444.85
11,600482.SH,20190425,20190425,20190331,1,1,0.1,0.1,7029725613.94,179917444.85
12,600482.SH,20190418,20190418,20181231,1,1,0.78,0.78,29661528137.69,1559489813.26
13,600482.SH,20181030,20181030,20180930,1,1,0.57,0.57,20145459499.66,1148726762.92
14,600482.SH,20180828,20180828,20180630,1,1,0.36,0.36,11968097936.81,655452950.28
15,600482.SH,20180828,20180828,20180630,1,1,0.36,0.36,11968097936.81,655452950.28
16,600482.SH,20180426,20180426,20180331,1,1,0.12,0.12,5061108789.88,215771702.37
17,600482.SH,20180426,20180426,20171231,1,1,0.69,0.69,23147102636.19,1282766214.22
18,600482.SH,20171024,20171024,20170930,1,1,0.47,0.47,16490223333.14,854272464.06
19,600482.SH,20170812,20170812,20170630,1,1,0.32,0.32,11641025014.38,604461681.92
20,600482.SH,20170428,20170428,20170331,1,1,0.13,0.13,4811834090.89,228818108.13
21,600482.SH,20170228,20170228,20161231,1,1,0.71,0.71,20741186230.57,1153348522.55
