,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,002602.SZ,20201031,20201031,20200930,1,1,0.34,0.34,11769278408.57,2466967486.89
1,002602.SZ,20200829,20200829,20200630,1,1,0.27,0.27,7768041470.17,1619767207.7
2,002602.SZ,20200430,20200430,20200331,1,1,0.14,0.14,3804287144.18,813338778.38
3,002602.SZ,20200430,20200430,20200331,1,1,0.14,0.14,3804287144.18,813338778.38
4,002602.SZ,20200530,20200530,20191231,1,1,0.46,0.46,14689715624.19,2735489496.26
5,002602.SZ,20200430,20200430,20191231,1,1,0.46,0.46,14690215834.12,2755096076.08
6,002602.SZ,20191029,20191029,20190930,1,1,0.3408,0.3408,10934531467.22,2039353546.92
7,002602.SZ,20191029,20191029,20190930,1,1,0.3408,0.3408,10934531467.22,2039353546.92
8,002602.SZ,20190827,20190827,20190630,1,1,0.1994,0.1994,6934492129.98,1212258172.64
9,002602.SZ,20190827,20190827,20190630,1,1,0.1994,0.1994,6934492129.98,1212258172.64
10,002602.SZ,20190430,20190430,20190331,1,1,0.09,0.09,2171809656.02,196064287.96
11,002602.SZ,20190427,20190427,20181231,1,1,0.43,0.43,8123997085.31,961559616.99
12,002602.SZ,20181029,20181029,20180930,1,1,0.62,0.62,6228081871.15,880878345.82
13,002602.SZ,20180830,20180830,20180630,1,1,0.51,0.51,3895063047.66,711589793.83
14,002602.SZ,20180428,20180428,20180331,1,1,0.24,0.24,1376674396.29,313134553.78
15,002602.SZ,20180424,20180424,20171231,1,1,0.76,0.76,3490821643.58,784657966.06
16,002602.SZ,20180424,20180424,20171231,1,1,0.76,0.76,3490821643.58,784657966.06
17,002602.SZ,20171030,20171030,20170930,1,1,0.7,0.7,2461092792.18,714435829.92
18,002602.SZ,20170824,20170824,20170630,1,1,0.6,0.6,1632933466.8,618052418.08
19,002602.SZ,20170427,20170427,20170331,1,1,0.12,0.12,858461043.73,125253307.44
20,002602.SZ,20170425,20170425,20161231,1,1,0.49,0.49,3455902430.25,507204971.71
