,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,002157.SZ,20201028,20201028,20200930,1,1,2.16,2.16,32605248562.59,5507341439.87
1,002157.SZ,20200828,20200828,20200630,1,1,0.97,0.97,16550567108.67,2455206988.06
2,002157.SZ,20200421,20200421,20200331,1,1,0.36,0.36,7134956714.87,920927345.43
3,002157.SZ,20200421,20200421,20191231,1,1,0.69,0.69,24517770453.37,1693023015.87
4,002157.SZ,20191024,20191024,20190930,1,1,0.02,0.02,17564216491.49,82154433.77
5,002157.SZ,20191024,20191024,20190930,1,1,0.02,0.02,17564216491.49,82154433.77
6,002157.SZ,20190822,20190822,20190630,1,1,-0.11,-0.11,11376577145.86,-242172942.25
7,002157.SZ,20190822,20190822,20190630,1,1,-0.11,-0.11,11376577145.86,-242172942.25
8,002157.SZ,20190420,20190420,20190331,1,1,-0.18,-0.18,5193960152.29,-410392276.77
9,002157.SZ,20190420,20190420,20181231,1,1,0.08,0.08,22112983900.32,192548113.6
10,002157.SZ,20190420,20190420,20181231,1,1,0.08,0.08,22112983900.32,192548113.6
11,002157.SZ,20181018,20181018,20180930,1,1,0.02,0.02,17584896578.38,15756139.25
12,002157.SZ,20180808,20180808,20180630,1,1,-0.08,-0.08,12221667566.6,-222781713.79
13,002157.SZ,20180418,20180418,20180331,1,1,0.03,0.03,4958690434.55,48145240.12
14,002157.SZ,20180418,20180418,20171231,1,1,0.23,0.23,20614922289.5,556509794.75
15,002157.SZ,20171030,20171030,20170930,1,1,0.17,0.17,14728816798.51,424700547.13
16,002157.SZ,20170831,20170831,20170630,1,1,0.12,0.12,9038878645.64,284478799.27
17,002157.SZ,20170418,20170418,20170331,1,1,0.05,0.05,4621801851.55,129233172.23
18,002157.SZ,20170411,20170411,20161231,1,1,0.52,0.52,18920144828.29,1038283619.28
