,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,000166.SZ,20201031,20201031,20200930,1,4,0.26,0.26,21479366117.56,6603639421.3
1,000166.SZ,20200829,20200829,20200630,1,4,0.16,0.16,13386412433.59,4080673690.84
2,000166.SZ,20200430,20200430,20200331,1,4,0.08,0.08,7697085479.74,1999155833.73
3,000166.SZ,20200328,20200328,20191231,1,4,0.24,0.24,24593411762.73,5803340743.3
4,000166.SZ,20191031,20191031,20190930,1,4,,,,
5,000166.SZ,20191031,20191031,20190930,1,4,0.2,0.2,16421904024.88,4801713338.02
6,000166.SZ,20190831,20190831,20190630,1,4,,,10484456561.43,
7,000166.SZ,20190831,20190831,20190630,1,4,0.14,0.14,10484456561.43,3232577347.54
8,000166.SZ,20190430,20190430,20190331,1,4,0.08,0.08,5456923622.68,1878937315.66
9,000166.SZ,20190228,20190228,20181231,1,4,0.19,0.19,15277425925.59,4247807755.03
10,000166.SZ,20181027,20181027,20180930,1,4,0.15,0.15,9366375724.35,3375425359.24
11,000166.SZ,20180818,20180818,20180630,1,4,0.09,0.09,6075085747.19,2115183886.63
12,000166.SZ,20180428,20180428,20180331,1,4,0.05,0.05,2880291168.95,1018363344.59
13,000166.SZ,20180421,20180421,20171231,1,4,0.23,0.23,13367782979.84,4725752651.45
14,000166.SZ,20171028,20171028,20170930,1,4,0.18,0.18,9641366636.47,3662429450.85
15,000166.SZ,20170812,20170812,20170630,1,4,0.1,0.1,6062480806.06,2105136280.3
16,000166.SZ,20170428,20170428,20170331,1,4,0.05,0.05,2825717739.17,995258708.74
17,000166.SZ,20170330,20170330,20161231,1,4,0.27,0.27,14719976135.3,5528285322.33
18,000166.SZ,20170330,20170330,20161231,1,4,0.27,0.27,14719976135.3,5528285322.33
