,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,000627.SZ,20201031,20201031,20200930,1,3,0.12,0.12,34655347307.78,1109221128.54
1,000627.SZ,20200829,20200829,20200630,1,3,0.11,0.11,26980244175.3,1008375630.35
2,000627.SZ,20200430,20200430,20200331,1,3,0.08,0.08,17613172533.85,751878567.83
3,000627.SZ,20200430,20200430,20200331,1,3,0.08,0.08,17613172533.85,751878567.83
4,000627.SZ,20200415,20200415,20191231,1,3,0.36,0.36,50192084322.32,2918553069.16
5,000627.SZ,20191031,20191031,20190930,1,3,0.21,0.21,42457533045.68,1871156991.57
6,000627.SZ,20191031,20191031,20190930,1,3,0.21,0.21,42457533045.68,1871156991.57
7,000627.SZ,20190831,20190831,20190630,1,3,0.15,0.15,33153522693.13,1494689078.55
8,000627.SZ,20190831,20190831,20190630,1,1,0.15,0.15,367347923.85,1494689078.55
9,000627.SZ,20190429,20190429,20190331,1,3,0.07,0.07,22674839056.08,660797200.65
10,000627.SZ,20190429,20190429,20181231,1,3,0.27,0.27,30950844349.05,2377260365.72
11,000627.SZ,20190429,20190429,20181231,1,1,0.27,0.27,574838991.29,2377260365.72
12,000627.SZ,20181031,20181031,20180930,1,3,0.2,0.2,24199852946.35,1774267571.83
13,000627.SZ,20180831,20180831,20180630,1,3,0.17,0.17,20158867067.0,1470599202.39
14,000627.SZ,20180428,20180428,20180331,1,3,0.07,0.07,15793772924.15,658979918.4
15,000627.SZ,20180428,20180428,20171231,1,3,0.3,0.3,53405580054.05,2678286604.11
16,000627.SZ,20171031,20171031,20170930,1,3,0.2,0.2,46588730805.57,1701834315.19
17,000627.SZ,20170720,20170720,20170630,1,3,0.15,0.15,38216562800.08,1260398404.9
18,000627.SZ,20170426,20170426,20170331,1,3,0.03,0.03,23940692065.83,229236366.73
19,000627.SZ,20170426,20170426,20161231,1,3,0.44,0.44,16995545661.98,3108842534.25
