,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2021-09-30,-0.0089,-0.0067,-0.0067,--,0.2129,0.1794,-0.0308,0.4532,-1.1283,--,-0.7198,21.0221,-0.7781,-1.6406,-1.6085,78.3318,-2.4131,-0.8905,-4.1835,-0.7198,--,15.0092,176.7936,-1363.3821,--,--,26876101.87,-3.72,-3.65,6643340.31,280.3966,--,-55.8885,-10.3457,9.5316,28.3268,26.916,10.0312,--,0.3224,837.469,0.4602,586.7014,1.8064,1.2594,1.1831,32.4585,1914.9872,--,17.2048,--,--,481.2326,--,--,--,165.8696,329.8152,--,--,82.7952,428618242.3,-0.0835,-0.0249,--,-0.0301,-4.3899,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021-06-30,-0.0086,-0.0066,-0.0066,0.0109,0.2045,0.1795,-0.0143,0.4532,-1.1282,--,-0.7255,30.8535,-0.7682,-4.446,-4.226,68.1637,-5.4118,10.5448,51.5597,8.9128,--,22.8055,158.5606,-754.7025,--,--,16954602.49,-3.67,-3.61,3786406.95,157.8716,--,-61.2599,-17.1282,4.6231,38.9349,35.2837,5.1015,1.1775,0.1419,1268.4989,0.2046,879.7654,0.7926,1.2535,1.1958,30.4922,1245.7144,--,17.2863,--,152.8819,478.4927,--,--,53.9834,172.0633,324.2255,--,11.307,82.7137,409885879.6,-0.09,-0.0121,--,-0.0146,-2.1538,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,110495716.66,202744963.35,34471567.82
2021-03-31,-0.0038,-0.0037,-0.0037,--,0.192,0.1824,0.0168,0.4532,-1.1253,--,-0.3494,63.7437,-0.3562,-9.9395,-8.1779,34.3679,-10.064,-0.3821,-1.9902,-0.3494,--,40.1828,242.0809,-838.9903,--,--,8385550.42,-2.04,-2.02,2385900.08,50.0889,--,-64.9849,-23.8863,1.6906,53.2355,28.0391,3.2098,--,0.0354,2542.3729,0.0515,1747.5728,0.1959,1.2401,1.2335,28.6898,1053.926,--,17.5548,--,--,469.6463,--,--,--,175.69,317.6771,--,--,82.4452,378951295.45,0.4432,0.0154,--,0.0187,2.7587,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-12-31,-0.3551,-0.3548,-0.3548,0.0042,0.1957,0.1861,-0.0097,0.4532,-1.1216,--,-33.7652,69.5179,-27.4001,-330.2544,-267.4021,27.8033,-272.532,-24.4061,-124.7079,-23.2041,--,50.9548,44.5371,-25.848,--,--,31384842.99,-190.64,-83.1095,1459702.61,7.4381,-653.5021,-68.1388,-31.7222,--,--,22.3636,16.0976,0.8433,0.1005,3582.0896,0.1409,2555.0035,0.3218,1.2598,1.2526,25.86,273033.4936,--,18.6068,--,144.2765,437.4386,--,--,54.9782,169.7873,291.8349,--,12.8966,81.3932,364394022.55,-0.0744,-0.0092,--,-0.0113,-1.6976,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4637689.81,202744963.35,34471567.82
2020-09-30,-0.1317,-0.1314,-0.1314,--,0.4825,0.4729,-0.0243,0.4532,-0.8982,--,-9.5445,67.7274,-9.0199,-143.4048,-121.538,29.5905,-135.769,-13.1709,-27.2951,-9.5445,--,53.2545,34.8294,-55.22,--,--,22762352.14,-27.78,-24.39,7245375.2,8.156,--,-9.5739,33.7967,65.7999,4.1033,21.8298,12.3684,--,0.0664,4066.2651,0.092,2934.7826,0.1769,8.7371,8.6991,52.149,148068.7998,--,34.9679,--,--,185.9767,--,--,--,83.2827,23.1993,--,--,65.0321,478078796,-0.2506,-0.0176,--,-0.0271,-21.7193,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,-0.0863,-0.086,-0.086,0.0095,0.5279,0.5182,-0.0252,0.4532,-0.8529,--,-6.0469,67.4855,-5.817,-210.6908,-176.0668,29.5017,-140.3491,6.7509,12.7877,4.7287,--,52.7521,17.8582,-37.5653,--,--,14381062.09,-16.6,-15.33,3299070.85,1.3623,--,-3.7859,25.0762,9.4592,19.0291,22.538,7.9865,0.3554,0.0414,4347.8261,0.0578,3114.1869,0.1077,8.174,8.1399,42.0728,165937.907,--,36.9784,--,305.6474,170.4278,--,--,52.8915,81.6934,23.0896,--,12.0984,63.0216,494602145.13,-0.409,-0.0176,--,-0.028,-20.6398,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,310235283.16,6489138,28261837.82
2020-03-31,-0.0659,-0.0658,-0.0658,--,0.5484,0.5384,-0.0365,0.4532,-0.8327,--,-4.5831,68.0522,-4.4239,-339.6635,-323.0297,31.6319,-260.3331,-6.5862,-12.0103,-4.5831,--,63.593,47.6589,-20.9703,--,--,5964687.4,-12.22,-11.55,-5026981.93,-5.1332,-357.1387,-6.457,25.6527,120.0257,0.7498,26.1347,3.4437,--,0.017,5294.1176,0.0235,3829.7872,0.0435,9.1181,9.08,37.2497,159651.8803,--,38.1595,--,--,162.0582,--,--,--,76.3247,20.3697,--,--,61.8405,497875198.72,-1.4441,-0.0254,--,-0.0411,-32.7075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,0.0642,0.0643,0.0643,0.0009,0.6142,0.6043,-0.0918,0.4532,-0.7668,--,4.1651,66.0375,4.8355,102.6324,97.0715,31.339,52.9001,21.4213,34.8741,13.9057,--,61.6579,-20.854,67.2907,--,--,27749499.57,10.65,11.04,310876.76,-0.9966,--,9.5648,38.3665,--,--,3.2817,109.7009,0.6642,0.0914,3938.7309,0.1626,2214.0221,0.2065,9.3722,9.369,188.971,-171778.7263,--,39.8739,--,354.2119,150.7907,--,--,53.6112,66.7877,19.6328,--,11.2571,60.1261,533693420.89,-0.7567,-0.0596,-1.4305,-0.0991,-76.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,305888601.35,6223330,28318180.44
2019-09-30,-0.027,-0.0269,-0.0269,--,0.5336,0.5236,-0.0621,0.4532,-0.9556,--,-2.6176,66.9051,-2.5176,-13.6239,57.4866,30.6636,-30.0995,-2.6997,-5.0593,-2.6176,--,53.7917,758.3691,-565.2032,--,--,20790332.57,-5.13,-5,7770047.22,-3.6799,--,-51.5686,-15.9898,88.0079,3.0679,3.1341,86.1502,--,0.0836,3229.6651,0.2772,974.026,0.1639,2.4186,2.4158,26.0765,47717.4579,--,51.7394,--,--,93.2765,--,--,--,139.8116,22.1058,--,--,48.2606,357317270.31,-0.6929,-0.0603,--,-0.1249,-52.6852,--,--,--,103701344.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,-0.0119,-0.0118,-0.0118,0.02,0.5487,0.5386,0.0447,0.4532,-0.9406,--,-1.0454,68.216,-1.0584,5.9057,78.2395,29.3282,-19.6632,14.1999,25.8795,12.4406,70.6718,56.9487,-1924.9647,1301.765,--,--,14341353.16,-2.2,-2.18,8320276.6,-6.1141,--,-49.8873,-7.1527,109.7368,1.6403,3.3973,52.9837,0.3197,0.0538,3345.7249,0.1596,1127.8195,0.1094,3.3967,3.3936,31.0929,-39076.1864,--,48.0712,--,292.1683,108.0249,--,--,54.9555,135.3781,21.3872,--,16.4532,51.9288,395440789.28,0.736,0.0391,--,0.0753,38.0579,--,--,--,101113068.65,--,--,--,--,--,--,--,--,--,--,--,6256676.7,40740,--
