,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2021-09-30,1.5013,1.4,1.4,1.39,20.0381,16.43,-6.483,4.1645,7.9358,--,0.6003,--,0.6251,100.5137,--,--,--,150.1346,7.4925,0.6003,--,--,25.3486,-3.3409,--,--,-1229000000,7.49,8.86,28992000000,--,30.0786,8.3861,11.6439,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.0126,--,--,1148.0324,--,--,--,1248.0324,0,--,--,91.9874,4853074000000,--,-0.0259,-4.3181,-0.0282,--,--,--,--,--,730418000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2021-06-30,0.9061,0.8,0.8,0.8,19.437,15.83,-5.9761,4.1645,7.3812,--,0.3722,--,0.3826,93.1651,--,--,--,132.8461,6.8347,0.5458,--,--,26.3596,-3.6704,--,--,-820000000,5.06,5.17,17511000000,--,28.5495,7.341,13.0401,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.9854,--,3287.085,1152.282,--,--,58.3316,1252.282,0,--,0.2429,92.0146,4723520000000,--,-0.0246,-6.5957,-0.0267,--,--,--,--,--,699294000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2021-03-31,0.5221,0.42,0.42,0.42,19.2012,15.6,-0.5953,4.1645,7.1776,--,0.2216,--,0.2241,105.8543,--,--,--,52.2109,2.7191,0.2216,--,--,20.988,-3.2002,--,--,-412000000,2.72,2.72,10111000000,--,18.5307,5.7505,10.6642,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.1482,--,--,1127.2586,--,--,--,1227.2586,0,--,--,91.8518,4572974000000,--,-0.0025,-1.1402,-0.0028,--,--,--,--,--,657588000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-12-31,1.4907,1.4,1.4,1.4,18.7639,15.16,-0.8328,4.1645,6.7601,--,0.6474,--,0.6881,79.5283,--,--,--,191.1376,10.1864,0.8301,--,--,26.5713,-4.1492,--,--,-1525000000,9.26,9.58,28840000000,--,2.5998,16.3421,13.4408,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.1488,--,3342.1845,1127.1721,--,--,57.1646,1227.1721,0,--,0.2438,91.8512,4468514000000,--,-0.0036,-0.5587,-0.0039,--,--,--,--,--,633619000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-09-30,1.1542,1.11,1.11,1.1,18.4877,14.88,1.5819,4.1645,6.7332,--,0.5153,--,0.5406,86.6921,--,--,--,115.4184,6.243,0.5153,--,--,28.4674,-4.0103,--,--,-1156000000,6.24,7.63,22316000000,--,-5.1776,24.5417,17.2409,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.2535,--,--,1111.6144,--,--,--,1211.6144,0,--,--,91.7465,4346921000000,--,0.0071,1.3706,0.0077,--,--,--,--,--,608155000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,0.7048,0.66,0.66,0.66,18.1077,14.5,-1.3226,4.1645,6.2839,--,0.3273,--,0.337,79.2993,--,--,--,111.1259,6.1369,0.5161,--,--,45.2209,-4.5374,--,--,-798000000,4.55,4.59,13586000000,--,-11.1991,36.9419,16.3713,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.4094,--,3370.0681,1089.1456,--,--,56.9346,1189.1456,0,--,0.2495,91.5906,4178622000000,--,-0.0061,-1.8764,-0.0067,--,--,--,--,--,614004000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-03-31,0.4405,0.4,0.4,0.39,18.1571,14.55,0.927,4.1645,6.2375,--,0.2069,--,0.2118,99.6182,--,--,--,44.0484,2.426,0.2069,--,--,34.3311,-3.6686,--,--,-402000000,2.43,2.77,8506000000,--,14.7999,40.4152,17.0563,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.5269,--,--,1072.7655,--,--,--,1172.7655,0,--,--,91.4731,4132298000000,--,0.0044,2.1045,0.0048,--,--,--,--,--,626944000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,1.4529,1.45,1.54,1.53,16.1282,14.07,-2.0625,4.1645,5.842,--,0.7158,--,0.7664,85.995,--,--,--,183.8872,11.4016,0.9059,--,--,26.6584,-3.5596,--,--,-1290000000,10.01,11.3,28086000000,--,13.6071,30.3868,15.2249,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.9456,--,2821.1916,1158.5572,--,--,59.6965,1258.5572,0,--,0.2816,92.0544,3939070000000,--,-0.0102,-1.4196,-0.011,--,--,--,--,--,656290000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-30,1.2172,1.32,1.32,1.32,14.8446,13.82,4.3533,4.1645,5.9411,--,0.6371,--,0.6629,98.1663,--,--,--,121.7206,8.1997,0.6371,--,--,25.0359,-3.1034,--,--,-952000000,8.2,9.71,23527000000,--,15.4722,22.4639,10.6092,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.7696,--,--,1187.0637,--,--,--,1287.0637,0,--,--,92.2304,3707683000000,--,0.0228,3.5765,0.0247,--,--,--,--,--,662716000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,0.8971,0.78,0.85,0.84,14.9445,13.78,1.5394,3.2885,6.2361,--,0.429,--,0.4395,97.1585,--,--,--,130.3405,8.7216,0.6233,69.6472,--,24.5163,-3.0345,--,--,-607000000,6.14,6.32,15316000000,--,15.1885,12.4756,6.6332,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.1462,--,2425.3592,1299.3469,--,--,60.2609,1399.3469,0,--,0.2946,92.8538,3590766000000,--,0.0074,1.716,0.0079,--,--,--,--,--,647607000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-03-31,0.4337,0.36,0.38,0.38,14.6146,13.45,3.0974,3.2885,5.9177,--,0.2109,--,0.2143,97.4506,--,--,--,43.3653,2.9673,0.2109,29.7666,--,26.626,-3.1434,--,--,-304000000,2.97,2.91,7422000000,--,12.9037,12.3313,5.7392,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.1084,--,--,1306.7937,--,--,--,1406.7937,0,--,--,92.8916,3530180000000,--,0.0151,7.1426,0.0162,--,--,--,--,--,636607000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-31,1.4454,1.39,1.39,1.39,13.98,12.82,-3.3385,3.2885,5.5349,--,0.726,--,0.7445,88.2074,--,--,--,182.896,13.0827,0.9186,68.6932,--,28.2709,-3.5649,--,--,-1149000000,10.88,11.49,24700000000,--,7.0249,8.1007,5.2369,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.0217,--,2202.0182,1324.1641,--,--,62.3377,1424.1641,0,--,0.3189,92.9783,3418592000000,--,-0.0168,-2.3097,-0.018,--,--,--,--,--,700030000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-09-30,1.1914,1.14,1.14,1.13,13.6998,12.54,-0.6587,3.2885,5.3565,--,0.6103,--,0.6198,100.5222,--,--,--,119.1352,8.6961,0.6103,30.7094,--,26.5414,-3.1883,--,--,-847000000,8.7,9.48,20347000000,--,6.8031,7.8492,6.8391,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.0175,--,--,1325.0061,--,--,--,1425.0061,0,--,--,92.9825,3352056000000,--,-0.0034,-0.5529,-0.0036,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-06-30,0.7788,0.73,0.73,0.73,13.2869,12.13,0.4342,3.2885,4.9439,--,0.3971,--,0.4042,99.008,--,--,--,113.5558,8.5465,0.579,69.3559,--,6.6333,-3.2303,--,--,-561000000,6,6.13,13326000000,--,6.5159,7.8916,8.9018,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.775,--,2673.9451,1376.0166,--,--,58.2071,1476.0166,0,--,0.2534,93.225,3367399000000,--,0.0022,0.5575,0.0024,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-03-31,0.3841,0.33,0.33,0.33,13.0102,11.85,2.4136,3.2885,4.6851,--,0.1975,--,0.2002,97.6742,--,--,--,38.4091,2.9522,0.1975,30.6287,--,4.6574,-3.0466,--,--,-261000000,2.95,2.79,6555000000,--,6.1313,7.5345,11.0564,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.6912,--,--,1394.4971,--,--,--,1494.4971,0,--,--,93.3088,3338572000000,--,0.0124,6.2839,0.0133,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-12-31,1.3505,1.3,1.3,1.3,12.9324,11.77,-6.9177,3.2885,4.6394,--,0.7138,--,0.7478,92.3984,--,--,--,168.6797,13.0432,0.8916,69.1471,--,1.8768,-3.3889,--,--,-1022000000,11.04,11.62,23162000000,--,2.6107,9.8347,9.9897,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.8356,--,2762.5529,1362.9207,--,--,58.1958,1462.9207,0,--,0.2474,93.1644,3248474000000,--,-0.0366,-5.1223,-0.0392,--,--,--,--,--,358360000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-09-30,1.1155,1.06,1.06,1.06,12.7027,11.54,-9.2011,3.2885,4.6422,--,0.6105,--,0.6289,113.2921,--,--,--,111.5465,8.7813,0.6105,31.3145,--,2.3377,-2.9873,--,--,-745000000,8.78,9.6,19130000000,--,2.3185,10.0304,12.4046,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.9518,--,--,1338.479,--,--,--,1438.479,0,--,--,93.0482,3137481000000,--,-0.0504,-8.2487,-0.0541,--,--,--,--,--,329181000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-06-30,0.7311,0.68,0.68,0.68,12.315,11.15,-7.4652,3.2885,4.2579,--,0.406,--,0.4153,118.3095,--,--,--,105.0179,8.5276,0.5832,30.45,--,4.2782,-3.0611,--,--,-503000000,6.1,6.21,12512000000,--,2.1315,10.3046,10.3949,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.8384,--,2655.4565,1362.3237,--,--,59.2441,1462.3237,0,--,0.2575,93.1616,3092142000000,--,-0.0415,-10.2103,-0.0445,--,--,--,--,--,302822000000,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-03-31,0.3619,0.31,0.31,0.31,12.0987,10.94,-6.698,3.2885,4.0467,--,0.2067,--,0.2085,116.7376,--,--,--,36.1902,2.9913,0.2067,29.7266,--,7.4484,-2.9891,--,--,-246000000,2.99,2.89,6212000000,--,2.1032,10.7534,12.1231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.9104,--,--,1347.1019,--,--,--,1447.1019,0,--,--,93.0896,3006195000000,--,-0.0383,-18.5079,-0.0411,--,--,--,--,--,291433000000,--,--,--,--,--,--,--,--,--,--,--,--,--
