,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,601555.SH,20201031,20201031,20200930,1,4,0.41,0.41,5332318250.35,1501157642.76
1,601555.SH,20201031,20201031,20200930,1,4,0.41,0.41,5332318250.35,1501157642.76
2,601555.SH,20200822,20200822,20200630,1,4,0.29,0.29,3589268711.66,1034209102.01
3,601555.SH,20200430,20200430,20200331,1,4,0.12,0.12,1245120133.88,375547995.12
4,601555.SH,20200425,20200425,20191231,1,4,0.35,0.35,5130373462.68,979245593.14
5,601555.SH,20200425,20200425,20191231,1,4,0.35,0.35,5130373462.68,979245593.14
6,601555.SH,20191031,20191031,20190930,1,4,0.31,0.31,3892726162.56,927011215.39
7,601555.SH,20190816,20190816,20190630,1,4,0.25,0.25,2674601165.57,753782220.76
8,601555.SH,20190816,20190816,20190630,1,4,0.25,0.25,2674601165.57,753782220.76
9,601555.SH,20190420,20190420,20190331,1,4,0.2,0.2,1493791219.11,614279023.98
10,601555.SH,20190420,20190420,20181231,1,4,0.12,0.12,4161925425.29,347432405.36
11,601555.SH,20190420,20190420,20181231,1,4,0.12,0.12,4161925425.29,347432405.36
12,601555.SH,20181027,20181027,20180930,1,4,0.06,0.06,2518778803.7,198104356.61
13,601555.SH,20180830,20180830,20180630,1,4,0.01,0.01,1535638229.51,30238218.87
14,601555.SH,20180428,20180428,20180331,1,4,0.02,0.02,824112647.09,63141470.56
15,601555.SH,20180329,20180329,20171231,1,4,0.26,0.26,4144240488.37,810760104.9
16,601555.SH,20171026,20171026,20170930,1,4,0.27,0.27,3201724505.39,828914566.52
17,601555.SH,20170830,20170830,20170630,1,4,0.14,0.14,2046435181.21,441288586.13
18,601555.SH,20170429,20170429,20170331,1,4,0.1,0.1,977746103.49,313015579.98
19,601555.SH,20170408,20170408,20161231,1,4,0.5,0.5,4645225993.82,1517845736.08
