,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,300122.SZ,20201016,20201016,20200930,1,1,1.5491,1.5491,11049787151.66,2478595732.37
1,300122.SZ,20200804,20200804,20200630,1,1,0.9403,0.9403,6993723184.63,1504548395.16
2,300122.SZ,20200804,20200804,20200630,1,1,0.9403,0.9403,6993723184.63,1504548395.16
3,300122.SZ,20200429,20200429,20200331,1,1,0.3227,0.3227,2634599232.63,516363351.01
4,300122.SZ,20200421,20200421,20191231,1,1,1.479,1.479,10587318311.6,2366438733.29
5,300122.SZ,20191022,20191022,20190930,1,1,1.1018,1.1018,7666170758.43,1762940520.61
6,300122.SZ,20191022,20191022,20190930,1,1,1.1018,1.1018,7666170758.43,1762940520.61
7,300122.SZ,20190830,20190830,20190630,1,1,0.7169,0.7169,5038677750.47,1146969826.77
8,300122.SZ,20190830,20190830,20190630,1,1,0.7169,0.7169,5038677750.47,1146969826.77
9,300122.SZ,20190429,20190429,20190331,1,1,0.3138,0.3138,2293536966.74,502066054.29
10,300122.SZ,20190429,20190429,20190331,1,1,0.3138,0.3138,2293536966.74,502066054.29
11,300122.SZ,20190404,20190404,20181231,1,1,0.9071,0.9071,5228307728.17,1451366528.14
12,300122.SZ,20181019,20181019,20180930,1,1,0.6791,0.6791,3494879231.91,1086588213.06
13,300122.SZ,20180814,20180814,20180630,1,1,0.4265,0.4265,2071876072.65,682378473.92
14,300122.SZ,20180426,20180426,20180331,1,1,0.1623,0.1623,838328300.14,259632404.95
15,300122.SZ,20180320,20180320,20171231,1,1,0.27,0.27,1342568632.76,432275400.68
16,300122.SZ,20171023,20171023,20170930,1,1,0.1783,0.1783,769054753.07,285234792.77
17,300122.SZ,20170815,20170815,20170630,1,1,0.11,0.11,445162000.81,171790085.52
18,300122.SZ,20170425,20170425,20170331,1,1,0.04,0.04,162237042.15,60317452.06
19,300122.SZ,20170314,20170314,20161231,1,1,0.02,0.02,445947152.37,32520311.88
