,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,601800.SH,20201030,20201030,20200930,1,1,0.55,0.55,409735527204.0,11807816003.0
1,601800.SH,20201030,20201030,20200930,1,1,0.55,0.55,409735527204.0,11807816003.0
2,601800.SH,20200829,20200829,20200630,1,1,0.25,0.25,246448164511.0,6444531637.0
3,601800.SH,20200429,20200429,20200331,1,1,0.13,0.13,95443267619.0,2510287951.0
4,601800.SH,20200401,20200401,20191231,1,1,1.16,1.16,554792365252.0,21619826478.0
5,601800.SH,20191031,20191031,20190930,1,1,0.76,0.76,374688576050.0,14225023940.0
6,601800.SH,20191031,20191031,20190930,1,1,0.76,0.76,374688576050.0,14225023940.0
7,601800.SH,20190831,20190831,20190630,1,1,0.47,0.47,240272497282.0,9560286774.0
8,601800.SH,20190831,20190831,20190630,1,1,0.47,0.47,240272497282.0,9560286774.0
9,601800.SH,20190430,20190430,20190331,1,1,0.24,0.24,102245102038.0,3870578682.0
10,601800.SH,20190330,20190330,20181231,1,1,1.15,1.15,490872128295.0,20293755141.0
11,601800.SH,20181031,20181031,20180930,1,1,0.74,0.74,328547167715.0,13374976070.0
12,601800.SH,20180829,20180829,20180630,1,1,0.45,0.45,208378986328.0,8621598766.0
13,601800.SH,20180428,20180428,20180331,1,1,0.21,0.21,93253359275.0,3406306841.0
14,601800.SH,20180330,20180330,20171231,1,1,1.21,1.21,482804341572.0,21318780137.0
15,601800.SH,20171031,20171031,20170930,1,1,0.67,0.67,307297125510.0,12093237206.0
16,601800.SH,20170830,20170830,20170630,1,1,0.41,0.41,190101481134.0,7811065526.0
17,601800.SH,20170428,20170428,20170331,1,1,0.19,0.19,82698843326.0,3161959833.0
18,601800.SH,20170329,20170329,20161231,1,1,0.97,0.97,431743429819.0,17222238122.0
