,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,300059.SZ,20201022,20201022,20200930,1,1,0.4176,0.4176,2312281789.63,3398059044.69
1,300059.SZ,20200812,20200812,20200630,1,1,0.2244,0.2229,1267085642.38,1808778045.17
2,300059.SZ,20200812,20200812,20200630,1,1,0.2244,0.2229,1267085642.38,1808778045.17
3,300059.SZ,20200418,20200418,20200331,1,1,0.1301,0.1301,649422839.21,873689240.02
4,300059.SZ,20200410,20200410,20191231,1,1,0.2776,0.2776,1478041023.06,1831288851.32
5,300059.SZ,20191022,20191022,20190930,1,1,0.2125,0.2125,1059071032.18,1394525227.39
6,300059.SZ,20191022,20191022,20190930,1,1,0.2125,0.2125,1059071032.18,1394525227.39
7,300059.SZ,20190727,20190727,20190630,1,1,0.1343,0.1343,676959251.47,870774679.85
8,300059.SZ,20190427,20190427,20190331,1,1,0.0741,0.0741,321000342.91,385763451.08
9,300059.SZ,20190306,20190306,20181231,1,1,0.1858,0.1858,1309580716.93,958218736.74
10,300059.SZ,20190306,20190306,20181231,1,1,0.1858,0.1858,1309580716.93,958218736.74
11,300059.SZ,20181023,20181023,20180930,1,1,0.1553,0.1553,1025446100.22,800396532.87
12,300059.SZ,20180803,20180803,20180630,1,1,0.1085,0.1085,711830278.55,558257892.12
13,300059.SZ,20180417,20180417,20180331,1,1,0.0702,0.0702,367212861.07,300862516.19
14,300059.SZ,20180317,20180317,20171231,1,1,0.1488,0.1488,1112337140.94,634844279.53
15,300059.SZ,20171030,20171030,20170930,1,1,0.107,0.107,766791944.1,456204126.01
16,300059.SZ,20170729,20170729,20170630,1,1,0.0609,0.0609,478902277.71,259220434.61
17,300059.SZ,20170427,20170427,20170331,1,1,0.0235,0.0235,238264282.52,100048135.96
18,300059.SZ,20170306,20170306,20161231,1,1,0.2059,0.2059,1203051297.42,712434076.3
