,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,601009.SH,20201029,20201029,20200930,1,2,1.06,1.06,25045177000.0,10174055000.0
1,601009.SH,20200829,20200829,20200630,1,2,0.8,0.8,17738108000.0,7276432000.0
2,601009.SH,20200430,20200430,20200331,1,2,0.44,0.44,10032998000.0,3780789000.0
3,601009.SH,20200430,20200430,20191231,1,2,1.42,1.42,32442262000.0,12566501000.0
4,601009.SH,20191031,20191031,20190930,1,2,1.17,1.17,24452857000.0,9982087000.0
5,601009.SH,20191031,20191031,20190930,1,2,,,,
6,601009.SH,20190827,20190827,20190630,1,2,0.81,0.81,16639464000.0,6939187000.0
7,601009.SH,20190827,20190827,20190630,1,2,0.81,0.81,16639464000.0,6939187000.0
8,601009.SH,20190430,20190430,20190331,1,2,0.39,0.39,8691379000.0,3350179000.0
9,601009.SH,20190430,20190430,20181231,1,2,1.26,1.26,27405558000.0,11187720000.0
10,601009.SH,20181031,20181031,20180930,1,2,1.01,1.01,20191491000.0,8661300000.0
11,601009.SH,20180810,20180810,20180630,1,2,0.7,0.7,13495729000.0,6037476000.0
12,601009.SH,20180426,20180426,20180331,1,2,0.34,0.34,6699781000.0,2914697000.0
13,601009.SH,20180426,20180426,20171231,1,2,1.09,1.09,24838737000.0,9760776000.0
14,601009.SH,20171028,20171028,20170930,1,2,0.88,0.88,18567114000.0,7516176000.0
15,601009.SH,20170825,20170825,20170630,1,2,0.6,0.6,12425083000.0,5160363000.0
16,601009.SH,20170428,20170428,20170331,1,2,0.4,0.4,6230537000.0,2478607000.0
17,601009.SH,20170421,20170421,20161231,1,2,1.33,1.33,26620668000.0,8346374000.0
