,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,601377.SH,20201031,20201031,20200930,1,4,0.45,0.45,13496232098.73,3536526944.76
1,601377.SH,20201031,20201031,20200930,1,4,0.45,0.45,13496232098.73,3536526944.76
2,601377.SH,20200829,20200829,20200630,1,4,0.24,0.24,8289870757.83,1793154917.1
3,601377.SH,20200829,20200829,20200630,1,4,0.24,0.24,8289870757.83,1793154917.1
4,601377.SH,20200425,20200425,20200331,1,4,0.0405,0.0405,3609840900.5,263233041.05
5,601377.SH,20200425,20200425,20191231,1,4,0.26,0.26,14249535861.49,1915292414.76
6,601377.SH,20191030,20191030,20190930,1,4,0.26,0.26,10814349027.54,2090494023.23
7,601377.SH,20190828,20190828,20190630,1,4,0.2,0.2,7040650376.09,1563308526.4
8,601377.SH,20190828,20190828,20190630,1,4,0.2,0.2,7040650376.09,1563308526.4
9,601377.SH,20190430,20190430,20190331,1,4,0.1491,0.1491,3834716543.15,1142815913.98
10,601377.SH,20190430,20190430,20190331,1,4,0.1491,0.1491,3834716543.15,1142815913.98
11,601377.SH,20190403,20190403,20181231,1,4,0.02,0.02,6499373437.14,575393624.42
12,601377.SH,20190403,20190403,20181231,1,4,0.02,0.02,6499373437.14,575393624.42
13,601377.SH,20181031,20181031,20180930,1,4,0.11,0.11,4577418285.88,1094516248.96
14,601377.SH,20180828,20180828,20180630,1,4,0.1,0.1,3309422145.31,989854585.95
15,601377.SH,20180828,20180828,20180630,1,4,0.1,0.1,3309422145.31,989854585.95
16,601377.SH,20180428,20180428,20180331,1,4,0.0546,0.0546,1642557231.85,540502546.98
17,601377.SH,20180331,20180331,20171231,1,4,0.34,0.34,8818781467.8,2635042633.35
18,601377.SH,20171031,20171031,20170930,1,4,0.3,0.3,6205669926.71,2232785235.67
19,601377.SH,20170829,20170829,20170630,1,4,0.2,0.2,4056753044.52,1462856031.64
20,601377.SH,20170427,20170427,20170331,1,4,0.1,0.1,1964632036.51,786643121.8
21,601377.SH,20170411,20170411,20161231,1,4,0.31,0.31,7589066883.9,2343639024.24
