,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,revenue,n_income
0,300015.SZ,20201027,20201027,20200930,1,1,0.3809,0.3809,8565499836.12,1680558499.25
1,300015.SZ,20201027,20201027,20200930,1,1,0.3809,0.3809,8565499836.12,1680558499.25
2,300015.SZ,20200826,20200826,20200630,1,1,0.1679,0.1679,4163962099.79,704989003.94
3,300015.SZ,20200826,20200826,20200630,1,1,0.1679,0.1679,4163962099.79,704989003.94
4,300015.SZ,20200429,20200429,20200331,1,1,0.0257,0.0256,1641531790.9,67028528.13
5,300015.SZ,20200423,20200423,20191231,1,1,0.4468,0.4464,9990103976.04,1431158624.13
6,300015.SZ,20191026,20191026,20190930,1,1,0.4004,0.3986,7731938570.8,1305120133.09
7,300015.SZ,20191026,20191026,20190930,1,1,0.4004,0.3986,7731938570.8,1305120133.09
8,300015.SZ,20190823,20190823,20190630,1,1,0.2264,0.2253,4748911757.73,731087164.89
9,300015.SZ,20190823,20190823,20190630,1,1,0.2264,0.2253,4748911757.73,731087164.89
10,300015.SZ,20190426,20190426,20190331,1,1,0.1264,0.1252,2244509965.1,313452034.52
11,300015.SZ,20190426,20190426,20190331,1,1,0.1264,0.1252,2244509965.1,313452034.52
12,300015.SZ,20190426,20190426,20181231,1,1,0.4256,0.4245,8008573954.58,1065849133.9
13,300015.SZ,20181027,20181027,20180930,1,1,0.3803,0.3768,6124276323.24,953371582.14
14,300015.SZ,20180825,20180825,20180630,1,1,0.2167,0.2137,3779813361.42,547239902.59
15,300015.SZ,20180425,20180425,20180331,1,1,0.1365,0.136,1746635512.33,236497319.74
16,300015.SZ,20180421,20180421,20171231,1,1,0.495,0.4888,5962845559.96,792760954.91
17,300015.SZ,20171024,20171024,20170930,1,1,0.4165,0.4154,4382404124.76,694379016.25
18,300015.SZ,20170826,20170826,20170630,1,1,0.2385,0.2383,2590057396.31,391677189.39
19,300015.SZ,20170425,20170425,20170331,1,1,0.15,0.15,1197462613.44,162012124.3
20,300015.SZ,20170406,20170406,20161231,1,1,0.56,0.56,4000401671.18,567111519.77
