Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,603087.SH,20210226,138.46,147.69,168.0,136.4,35118957.0,5364237577.0
1,603087.SH,20210129,146.4,132.2,181.28,129.0,84879149.0,13531432914.0
2,603087.SH,20201231,132.22,108.33,143.27,107.63,50740091.0,6338251885.0
3,603087.SH,20201130,108.33,119.03,131.35,104.0,31917767.0,3808634720.0
4,603087.SH,20201030,119.73,119.0,135.17,118.65,28841673.0,3673446572.0
5,603087.SH,20200930,117.6,131.03,136.77,114.51,45231386.0,5588436047.0
6,603087.SH,20200831,132.88,220.5,225.5,129.92,69795437.0,12710903243.0
