Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,600009.SH,20210226,61.88,71.1,71.1,54.7,792502177.0,46938324201.0
1,600009.SH,20210129,79.0,75.7,81.42,69.8,452721431.0,33765722392.0
2,600009.SH,20201231,75.66,79.5,81.59,70.25,259149852.0,19507590484.0
3,600009.SH,20201130,78.52,65.8,82.99,61.5,391635776.0,29357805363.0
4,600009.SH,20201030,66.1,69.75,70.74,65.83,140270611.0,9593451597.0
5,600009.SH,20200930,68.78,76.01,78.43,68.25,257796326.0,18945140585.0
6,600009.SH,20200831,76.4,68.34,81.67,66.81,376234051.0,27985063317.0
