Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,601985.SH,20210226,5.17,5.23,5.32,4.59,1009738033.0,5076020842.0
1,601985.SH,20210129,5.15,4.92,5.68,4.75,1845933192.0,9426659733.0
2,601985.SH,20201231,4.92,4.9,5.13,4.61,1171007097.0,5696899338.0
3,601985.SH,20201130,4.91,4.45,5.03,4.44,945317913.0,4464152509.0
4,601985.SH,20201030,4.43,4.43,4.63,4.39,386473125.0,1743379687.0
5,601985.SH,20200930,4.39,4.65,4.97,4.35,800065488.0,3709627331.0
6,601985.SH,20200831,4.66,4.36,4.82,4.3,1286484008.0,5894664320.0
