Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,600703.SH,20210226,29.94,29.65,31.16,26.77,1191435028.0,34557004532.0
1,600703.SH,20210129,29.57,27.27,36.44,26.8,2527019768.0,81803248406.0
2,600703.SH,20201231,27.01,26.79,30.31,25.24,1658287433.0,45609538809.0
3,600703.SH,20201130,26.85,22.32,28.75,22.09,1891994346.0,49218286235.0
4,600703.SH,20201030,22.23,24.92,26.28,21.44,817320880.0,19450008277.0
5,600703.SH,20200930,24.43,26.79,29.49,24.03,1391729153.0,36971601278.0
6,600703.SH,20200831,27.14,27.18,29.97,25.61,1890935449.0,52034842643.0
