Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,300033.SZ,20210226,134.59,130.67,164.96,130.0,174261554.0,25653884264.33
1,300033.SZ,20210129,118.79,124.7,142.99,116.18,173662078.0,22346151494.08
2,300033.SZ,20201231,123.98,141.61,150.67,114.07,150807658.0,20081560103.76
3,300033.SZ,20201130,143.06,136.61,153.12,135.01,130510280.0,18529579252.69
4,300033.SZ,20201030,135.12,163.22,172.53,135.0,104569189.0,16082453089.2
5,300033.SZ,20200930,159.87,168.0,179.78,144.0,193534445.0,30833695376.97
6,300033.SZ,20200831,167.92,146.5,175.93,134.01,209666348.0,31433006547.67
