Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,601607.SH,20210226,20.47,18.05,21.0,17.73,193402715.0,3689387400.0
1,601607.SH,20210129,18.06,19.23,19.59,18.01,240906377.0,4578419416.0
2,601607.SH,20201231,19.2,20.22,20.45,18.39,235532648.0,4585074880.0
3,601607.SH,20201130,20.11,19.93,21.55,19.54,250978836.0,5131655843.0
4,601607.SH,20201030,19.92,20.41,21.64,19.82,212266104.0,4427779565.0
5,601607.SH,20200930,20.31,22.55,23.19,20.05,327686411.0,6985550106.0
6,601607.SH,20200831,22.2,21.33,25.98,20.74,909241396.0,21228112154.0
