Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,600000.SH,20210226,10.54,9.94,11.12,9.9,1834071870.0,19455167289.0
1,600000.SH,20210129,9.96,9.64,10.23,9.52,1355501014.0,13362690705.0
2,600000.SH,20201231,9.68,10.08,10.39,9.44,1080236641.0,10630684458.0
3,600000.SH,20201130,10.06,9.28,10.53,9.22,1521195270.0,14772533850.0
4,600000.SH,20201030,9.26,9.44,9.93,9.25,865978311.0,8302951541.0
5,600000.SH,20200930,9.39,10.31,10.36,9.35,1075852736.0,10629547540.0
6,600000.SH,20200831,10.36,10.4,10.98,10.31,1057923933.0,11143344673.0
