Unnamed: 0,ts_code,trade_date,month_close,month_open,month_high,month_low,month_vol,month_amount
0,601878.SH,20210226,12.58,13.3,13.58,12.13,520708912.0,6762947591.0
1,601878.SH,20210129,13.24,15.45,15.54,12.87,987395290.0,14099386253.0
2,601878.SH,20201231,15.3,16.21,17.1,13.63,1257429027.0,19296016763.0
3,601878.SH,20201130,16.49,14.88,17.18,14.6,1395073457.0,22175457812.0
4,601878.SH,20201030,14.86,18.39,18.5,14.46,1239833543.0,20371456386.0
5,601878.SH,20200930,17.71,15.0,17.87,13.61,2200447201.0,35009010300.0
6,601878.SH,20200831,14.88,16.85,17.95,14.41,1960093567.0,31308467909.0
