Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601939.SH,20201030,20201030,20200930,,
1,601939.SH,20200831,20200831,20200630,,
2,601939.SH,20200831,20200831,20200630,,
3,601939.SH,20200429,20200429,20200331,,
4,601939.SH,20200330,20200330,20191231,,
5,601939.SH,20191031,20191031,20190930,,
6,601939.SH,20190829,20190829,20190630,,
7,601939.SH,20190829,20190829,20190630,,
8,601939.SH,20190430,20190430,20190331,,
9,601939.SH,20190328,20190328,20181231,,
10,601939.SH,20181024,20181024,20180930,,
11,601939.SH,20180829,20180829,20180630,,
12,601939.SH,20180427,20180427,20180331,,
13,601939.SH,20180328,20180328,20171231,,
14,601939.SH,20171027,20171027,20170930,,
15,601939.SH,20170831,20170831,20170630,,
16,601939.SH,20170428,20170428,20170331,,
17,601939.SH,20170330,20170330,20161231,,
