Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,300014.SZ,20201029,20201029,20200930,8392016824.69,6091792901.42
1,300014.SZ,20200825,20200825,20200630,8175075101.26,6136089065.88
2,300014.SZ,20200425,20200425,20200331,7369485878.1,5874918302.74
3,300014.SZ,20200420,20200420,20191231,8302385041.63,6032293172.3
4,300014.SZ,20200420,20200420,20191231,8302385041.63,6032293172.3
5,300014.SZ,20191026,20191026,20190930,7416201844.75,4696555829.37
6,300014.SZ,20191026,20191026,20190930,7416201844.75,4696555829.37
7,300014.SZ,20190816,20190816,20190630,6444605408.43,4168260240.51
8,300014.SZ,20190429,20190429,20190331,4686418853.04,4600884343.39
9,300014.SZ,20190429,20190429,20190331,4686418853.04,4600884343.39
10,300014.SZ,20190429,20190429,20181231,4584910655.86,4185591171.24
11,300014.SZ,20190429,20190429,20181231,4584910655.86,4185591171.24
12,300014.SZ,20181029,20181029,20180930,4767509219.11,4391764582.01
13,300014.SZ,20180731,20180731,20180630,3813585760.49,3925056385.38
14,300014.SZ,20180413,20180413,20180331,3476733137.58,3445001986.6
15,300014.SZ,20180320,20180320,20171231,2926290898.53,2850435471.45
16,300014.SZ,20171026,20171026,20170930,2585460625.57,2523320837.9
17,300014.SZ,20170801,20170801,20170630,2171151174.79,1947803084.55
18,300014.SZ,20170427,20170427,20170331,2357886459.8,1808169133.16
19,300014.SZ,20170228,20170228,20161231,2114204627.18,1751000059.91
