Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600085.SH,20201031,20201031,20200930,16785195033.83,6224608875.38
1,600085.SH,20200829,20200829,20200630,16613178804.43,5703805395.16
2,600085.SH,20200430,20200430,20200331,16575345161.13,4901520870.39
3,600085.SH,20200430,20200430,20200331,16575345161.13,4901520870.39
4,600085.SH,20200403,20200403,20191231,16112504905.82,4893617247.93
5,600085.SH,20200403,20200403,20191231,16112504905.82,4893617247.93
6,600085.SH,20191031,20191031,20190930,16744622876.13,4537067864.49
7,600085.SH,20191031,20191031,20190930,16744622876.13,4537067864.49
8,600085.SH,20190827,20190827,20190630,16591884002.42,5031087914.28
9,600085.SH,20190827,20190827,20190630,16591884002.42,5031087914.28
10,600085.SH,20190430,20190430,20190331,16485695281.49,4813342000.58
11,600085.SH,20190326,20190326,20181231,16014465466.0,4844364688.7
12,600085.SH,20181030,20181030,20180930,15998159285.85,5025835071.75
13,600085.SH,20180828,20180828,20180630,15880244036.24,5302989987.55
14,600085.SH,20180428,20180428,20180331,15274938668.67,4642312770.61
15,600085.SH,20180331,20180331,20171231,14683167824.57,4463129110.39
16,600085.SH,20171031,20171031,20170930,14553913728.37,4595183792.16
17,600085.SH,20170829,20170829,20170630,14646627579.81,4917521449.19
18,600085.SH,20170429,20170429,20170331,13868924733.93,3962022979.66
19,600085.SH,20170328,20170328,20161231,13452784966.19,3921294146.25
