Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600585.SH,20201028,20201028,20200930,111294546417.0,30220922945.0
1,600585.SH,20200822,20200822,20200630,98854641511.0,26082227924.0
2,600585.SH,20200428,20200428,20200331,97599803885.0,23385159833.0
3,600585.SH,20200428,20200428,20200331,97599803885.0,23385159833.0
4,600585.SH,20200321,20200321,20191231,97109603706.0,27421189421.0
5,600585.SH,20200321,20200321,20191231,97109603706.0,27421189421.0
6,600585.SH,20191023,20191023,20190930,85401764466.0,25674214591.0
7,600585.SH,20191023,20191023,20190930,85401764466.0,25674214591.0
8,600585.SH,20190823,20190823,20190630,73619643622.0,20710690093.0
9,600585.SH,20190823,20190823,20190630,73619643622.0,20710690093.0
10,600585.SH,20190427,20190427,20190331,74642265089.0,21536915674.0
11,600585.SH,20190427,20190427,20190331,,
12,600585.SH,20190322,20190322,20181231,72052959822.0,26151960656.0
13,600585.SH,20181025,20181025,20180930,62049147017.0,24136069581.0
14,600585.SH,20180823,20180823,20180630,48231378939.0,18020858839.0
15,600585.SH,20180425,20180425,20180331,48768748598.0,18887722581.0
16,600585.SH,20180323,20180323,20171231,45952855292.0,21114302916.0
17,600585.SH,20171028,20171028,20170930,40265007784.0,20803812096.0
18,600585.SH,20170822,20170822,20170630,37060923082.0,19813462540.0
19,600585.SH,20170426,20170426,20170331,32498553769.0,15924782704.0
20,600585.SH,20170324,20170324,20161231,29394331527.0,17049223825.0
