Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600109.SH,20201030,20201030,20200930,,
1,600109.SH,20200828,20200828,20200630,,
2,600109.SH,20200828,20200828,20200630,,
3,600109.SH,20200429,20200429,20200331,,
4,600109.SH,20200402,20200402,20191231,,
5,600109.SH,20191030,20191030,20190930,,
6,600109.SH,20190830,20190830,20190630,,
7,600109.SH,20190830,20190830,20190630,,
8,600109.SH,20190430,20190430,20190331,,
9,600109.SH,20190430,20190430,20190331,,
10,600109.SH,20190329,20190329,20181231,,
11,600109.SH,20181030,20181030,20180930,,
12,600109.SH,20180829,20180829,20180630,,
13,600109.SH,20180426,20180426,20180331,,
14,600109.SH,20180329,20180329,20171231,,
15,600109.SH,20171030,20171030,20170930,,
16,600109.SH,20170830,20170830,20170630,,
17,600109.SH,20170427,20170427,20170331,,
18,600109.SH,20170412,20170412,20161231,,
