Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600584.SH,20201031,20201031,20200930,9787168195.97,15188106282.34
1,600584.SH,20200821,20200821,20200630,9044530017.38,14124408311.5
2,600584.SH,20200430,20200430,20200331,9018366352.92,14282638886.21
3,600584.SH,20200430,20200430,20200331,9018366352.92,14282638886.21
4,600584.SH,20200430,20200430,20191231,9559360389.04,17649360729.47
5,600584.SH,20200430,20200430,20191231,9559360389.04,17649360729.47
6,600584.SH,20191030,20191030,20190930,9970568196.77,17489339420.76
7,600584.SH,20191030,20191030,20190930,9970568196.77,17489339420.76
8,600584.SH,20190829,20190829,20190630,8995271410.15,16960068465.15
9,600584.SH,20190829,20190829,20190630,8995271410.15,16960068465.15
10,600584.SH,20190430,20190430,20190331,8373499946.65,16841970638.07
11,600584.SH,20190430,20190430,20190331,8373499946.65,16841970638.07
12,600584.SH,20190427,20190427,20181231,10905381124.22,18404877246.77
13,600584.SH,20181031,20181031,20180930,12404077288.03,15235686223.19
14,600584.SH,20180829,20180829,20180630,9243052172.2,15527620805.14
15,600584.SH,20180428,20180428,20180331,7863825123.31,12755233114.98
16,600584.SH,20180412,20180412,20171231,8500326649.61,13098592231.95
17,600584.SH,20171030,20171030,20170930,9302115399.38,10878635284.48
18,600584.SH,20170826,20170826,20170630,9017557270.47,11058613220.88
19,600584.SH,20170429,20170429,20170331,7450603517.78,11184558081.67
20,600584.SH,20170420,20170420,20161231,7736220965.1,11382594461.2
