Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600600.SH,20201030,20201030,20200930,24160337877.0,14548891121.0
1,600600.SH,20200831,20200831,20200630,23803418563.0,15554259543.0
2,600600.SH,20200430,20200430,20200331,20662737581.0,12666913928.0
3,600600.SH,20200430,20200430,20200331,20662737581.0,12666913928.0
4,600600.SH,20200330,20200330,20191231,21001818050.0,13353780994.0
5,600600.SH,20191029,20191029,20190930,20221208479.0,12554928715.0
6,600600.SH,20191029,20191029,20190930,20221208479.0,12554928715.0
7,600600.SH,20190816,20190816,20190630,20914460608.0,14392636066.0
8,600600.SH,20190816,20190816,20190630,,
9,600600.SH,20190430,20190430,20190331,18847176277.0,12228638791.0
10,600600.SH,20190329,20190329,20181231,17760305197.0,12086870134.0
11,600600.SH,20181029,20181029,20180930,18009332288.0,11974029966.0
12,600600.SH,20180829,20180829,20180630,17514976555.0,12948131223.0
13,600600.SH,20180427,20180427,20180331,15897401550.0,11332715419.0
14,600600.SH,20180328,20180328,20171231,14072983367.0,10452233305.0
15,600600.SH,20171031,20171031,20170930,15411738172.0,11394145480.0
16,600600.SH,20170831,20170831,20170630,15337453383.0,12234283396.0
17,600600.SH,20170428,20170428,20170331,13567289238.0,10486188349.0
18,600600.SH,20170331,20170331,20161231,12609564386.0,10284786039.0
