Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,300413.SZ,20201030,20201030,20200930,12885840632.55,8617399460.78
1,300413.SZ,20201030,20201030,20200930,12885840632.55,8617399460.78
2,300413.SZ,20200827,20200827,20200630,12459065422.02,8073660454.39
3,300413.SZ,20200425,20200425,20200331,11874424407.93,7981907887.22
4,300413.SZ,20200425,20200425,20191231,11728026089.81,7935590408.63
5,300413.SZ,20191029,20191029,20190930,11976960950.93,7786524309.69
6,300413.SZ,20191029,20191029,20190930,11976960950.93,7786524309.69
7,300413.SZ,20190830,20190830,20190630,11240847715.22,7364708872.93
8,300413.SZ,20190830,20190830,20190630,11240847715.22,7364708872.93
9,300413.SZ,20190430,20190430,20190331,9375846089.46,6790330017.25
10,300413.SZ,20190430,20190430,20190331,9375846089.46,6790330017.25
11,300413.SZ,20190430,20190430,20181231,8665364217.97,6179457452.72
12,300413.SZ,20190430,20190430,20181231,8665364217.97,6179457452.72
13,300413.SZ,20181029,20181029,20180930,8629896510.12,6018611482.84
14,300413.SZ,20180830,20180830,20180630,8062002736.22,5133463640.19
15,300413.SZ,20180426,20180426,20180331,1921204660.14,457648088.09
16,300413.SZ,20180301,20180301,20171231,1995184557.48,551076474.81
17,300413.SZ,20171027,20171027,20170930,2015051586.74,620134611.57
18,300413.SZ,20170828,20170828,20170630,1971695507.87,571142214.69
19,300413.SZ,20170425,20170425,20170331,2130631106.32,741779321.33
20,300413.SZ,20170421,20170421,20161231,2044223038.94,668626548.42
