Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601985.SH,20201029,20201029,20200930,48174345290.83,48096984312.53
1,601985.SH,20200821,20200821,20200630,47900109744.88,55967211033.84
2,601985.SH,20200424,20200424,20200331,46398618287.35,49596447413.29
3,601985.SH,20200424,20200424,20191231,42241378411.47,48891642168.06
4,601985.SH,20191030,20191030,20190930,45322846802.74,40606984601.7
5,601985.SH,20191030,20191030,20190930,45322846802.74,40606984601.7
6,601985.SH,20190824,20190824,20190630,46520429863.24,42147008082.4
7,601985.SH,20190824,20190824,20190630,46520429863.24,42147008082.4
8,601985.SH,20190426,20190426,20190331,39225979109.85,41759312741.8
9,601985.SH,20190426,20190426,20181231,34114370266.49,39275997071.29
10,601985.SH,20181026,20181213,20180930,39020973213.44,39568165298.91
11,601985.SH,20180824,20180824,20180630,38689696936.59,41192683590.3
12,601985.SH,20180420,20180420,20180331,37677849303.51,40089866150.34
13,601985.SH,20180420,20180420,20171231,33135080141.87,38569750055.16
14,601985.SH,20171028,20171028,20170930,35808169614.64,40371928122.03
15,601985.SH,20170825,20170825,20170630,33601350528.39,42194308667.65
16,601985.SH,20170427,20170427,20170331,30421835741.86,38796499020.11
17,601985.SH,20170427,20170427,20161231,31087564124.52,41237380564.65
