Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601669.SH,20201030,20201030,20200930,443877692848.57,381029595717.14
1,601669.SH,20200828,20200828,20200630,430426717494.49,368379484741.86
2,601669.SH,20200430,20200430,20200331,397056306834.48,346613221408.71
3,601669.SH,20200430,20200430,20200331,397056306834.48,346613221408.71
4,601669.SH,20200424,20200424,20191231,370768562829.77,352788441394.01
5,601669.SH,20191030,20191030,20190930,394241431223.38,376116945220.81
6,601669.SH,20191030,20191030,20190930,394241431223.38,376116945220.81
7,601669.SH,20190829,20190829,20190630,385894546595.53,370385509422.29
8,601669.SH,20190829,20190829,20190630,385894546595.53,370385509422.29
9,601669.SH,20190430,20190430,20190331,368187565388.32,362449347375.97
10,601669.SH,20190427,20190427,20181231,340343225872.56,353572538398.78
11,601669.SH,20181031,20181031,20180930,357292289866.6,327666038869.82
12,601669.SH,20180831,20180831,20180630,338373024878.41,315212224228.28
13,601669.SH,20180427,20180427,20180331,313702455367.79,294510504253.98
14,601669.SH,20180425,20180425,20171231,289853014478.43,284605090606.3
15,601669.SH,20171031,20171031,20170930,325259308037.09,285418204223.93
16,601669.SH,20170829,20170829,20170630,311312332563.58,273277228865.26
17,601669.SH,20170428,20170428,20170331,282706005603.85,258339343597.2
18,601669.SH,20170427,20170427,20161231,285013686211.27,252615445854.99
