Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600009.SH,20201031,20201031,20200930,11460045152.24,4519122876.75
1,600009.SH,20201031,20201031,20200930,11460045152.24,4519122876.75
2,600009.SH,20200829,20200829,20200630,12213978634.34,5414497134.29
3,600009.SH,20200429,20200429,20200331,11764321831.85,3751599749.62
4,600009.SH,20200429,20200429,20200331,11764321831.85,3751599749.62
5,600009.SH,20200328,20200328,20191231,12467828548.84,4714941828.39
6,600009.SH,20200328,20200328,20191231,12467828548.84,4714941828.39
7,600009.SH,20191030,20191030,20190930,11850726806.92,5015742307.83
8,600009.SH,20191030,20191030,20190930,11850726806.92,5015742307.83
9,600009.SH,20190828,20190828,20190630,11657959282.47,3294672905.36
10,600009.SH,20190828,20190828,20190630,11657959282.47,3294672905.36
11,600009.SH,20190427,20190427,20190331,10912775231.88,2128554998.45
12,600009.SH,20190427,20190427,20190331,10912775231.88,2128554998.45
13,600009.SH,20190323,20190323,20181231,10636692114.55,2286721760.36
14,600009.SH,20181030,20181030,20180930,10037749556.19,2225863731.07
15,600009.SH,20180825,20180825,20180630,10142654725.6,3075102015.16
16,600009.SH,20180427,20180427,20180331,9619113370.05,1807583964.42
17,600009.SH,20180324,20180324,20171231,10079605582.16,2058046537.28
18,600009.SH,20171028,20171028,20170930,9693736886.6,2095299601.3
19,600009.SH,20170826,20170826,20170630,12801886909.51,5430224084.79
20,600009.SH,20170428,20170428,20170331,11375721077.22,4205564278.26
21,600009.SH,20170318,20170318,20161231,11224288649.47,4317333266.0
