Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600837.SH,20201030,20201030,20200930,,
1,600837.SH,20200829,20200829,20200630,,
2,600837.SH,20200429,20200429,20200331,,
3,600837.SH,20200327,20200327,20191231,,
4,600837.SH,20200327,20200327,20191231,,
5,600837.SH,20191031,20191031,20190930,,
6,600837.SH,20191031,20191031,20190930,,
7,600837.SH,20190831,20190831,20190630,,
8,600837.SH,20190831,20190831,20190630,,
9,600837.SH,20190426,20190426,20190331,,
10,600837.SH,20190328,20190328,20181231,,
11,600837.SH,20181030,20181030,20180930,,
12,600837.SH,20181030,20181030,20180930,,
13,600837.SH,20180830,20180830,20180630,,
14,600837.SH,20180830,20180830,20180630,,
15,600837.SH,20180427,20180427,20180331,,
16,600837.SH,20180328,20180328,20171231,,
17,600837.SH,20180328,20180328,20171231,,
18,600837.SH,20171028,20171028,20170930,,
19,600837.SH,20171028,20171028,20170930,,
20,600837.SH,20170830,20170830,20170630,,
21,600837.SH,20170830,20170830,20170630,,
22,600837.SH,20170428,20170428,20170331,,
23,600837.SH,20170428,20170428,20170331,,
24,600837.SH,20170330,20170330,20161231,,
25,600837.SH,20170330,20170330,20161231,,
