Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601901.SH,20201031,20201031,20200930,,
1,601901.SH,20200829,20200829,20200630,,
2,601901.SH,20200829,20200829,20200630,,
3,601901.SH,20200425,20200425,20200331,,
4,601901.SH,20200425,20200425,20191231,,
5,601901.SH,20191030,20191030,20190930,,
6,601901.SH,20190820,20190820,20190630,,
7,601901.SH,20190430,20190430,20190331,,
8,601901.SH,20190430,20190430,20190331,,
9,601901.SH,20190330,20190330,20181231,,
10,601901.SH,20181031,20181031,20180930,,
11,601901.SH,20181031,20181031,20180930,,
12,601901.SH,20180831,20180831,20180630,,
13,601901.SH,20180831,20180831,20180630,,
14,601901.SH,20180428,20180428,20180331,,
15,601901.SH,20180428,20180428,20180331,,
16,601901.SH,20180331,20180331,20171231,,
17,601901.SH,20180331,20180331,20171231,,
18,601901.SH,20171031,20171031,20170930,,
19,601901.SH,20171031,20171031,20170930,,
20,601901.SH,20170825,20170825,20170630,,
21,601901.SH,20170825,20170825,20170630,,
22,601901.SH,20170429,20170429,20170331,,
23,601901.SH,20170429,20170429,20170331,,
24,601901.SH,20170331,20170331,20161231,,
25,601901.SH,20170331,20170331,20161231,,
