Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600019.SH,20201030,20201030,20200930,152675487830.25,141817204118.83
1,600019.SH,20200828,20200828,20200630,149350108575.9,143858164134.67
2,600019.SH,20200429,20200429,20200331,138755838976.3,134812418824.03
3,600019.SH,20200429,20200429,20200331,138755838976.3,134812418824.03
4,600019.SH,20200429,20200429,20191231,130564486672.66,132586764933.54
5,600019.SH,20200429,20200429,20191231,130564486672.66,132586764933.54
6,600019.SH,20191026,20191026,20190930,132075737538.56,141086111196.18
7,600019.SH,20191026,20191026,20190930,132075737538.56,141086111196.18
8,600019.SH,20190823,20190823,20190630,128670951618.39,139715699420.05
9,600019.SH,20190823,20190823,20190630,128670951618.39,139715699420.05
10,600019.SH,20190425,20190425,20190331,128186561172.86,133829752722.76
11,600019.SH,20190425,20190425,20190331,128186561172.86,133829752722.76
12,600019.SH,20190425,20190425,20181231,120088569785.43,133303264091.69
13,600019.SH,20181030,20181030,20180930,134120947940.75,153650461879.57
14,600019.SH,20180828,20180828,20180630,136722690236.12,164783576441.18
15,600019.SH,20180428,20180428,20180331,137579934711.34,160153940400.39
16,600019.SH,20180410,20180410,20171231,133292610487.9,163206639363.92
17,600019.SH,20171028,20171028,20170930,132543269139.08,147367409526.94
18,600019.SH,20170825,20170825,20170630,142100047350.92,162407884362.71
19,600019.SH,20170428,20170428,20170331,150305121457.67,173096454351.06
20,600019.SH,20170428,20170428,20161231,102209616614.84,119889618882.08
