Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,300142.SZ,20201021,20201021,20200930,4117101630.32,1381628349.8
1,300142.SZ,20200815,20200815,20200630,3268904817.78,896664827.71
2,300142.SZ,20200425,20200425,20200331,3294868880.55,1027007859.85
3,300142.SZ,20200321,20200321,20191231,3443720494.47,1088465375.04
4,300142.SZ,20191024,20191024,20190930,3649662805.95,1194044863.55
5,300142.SZ,20190824,20190824,20190630,3726379497.62,1213954244.91
6,300142.SZ,20190824,20190824,20190630,3726379497.62,1213954244.91
7,300142.SZ,20190426,20190426,20190331,4262805379.55,1378348282.2
8,300142.SZ,20190426,20190426,20190331,4262805379.55,1378348282.2
9,300142.SZ,20190426,20190426,20181231,4138967506.77,1535813193.28
10,300142.SZ,20181023,20181023,20180930,3353586772.59,1162194960.76
11,300142.SZ,20180818,20180818,20180630,2572364868.08,925200457.5
12,300142.SZ,20180424,20180424,20180331,2605535118.04,989706821.76
13,300142.SZ,20180424,20180424,20171231,2246838382.21,1475466519.66
14,300142.SZ,20171030,20171030,20170930,2182640821.55,1556747712.96
15,300142.SZ,20170823,20170823,20170630,2196881833.84,1514065050.79
16,300142.SZ,20170419,20170419,20170331,2581043764.76,1781848696.98
17,300142.SZ,20170419,20170419,20161231,3032107277.43,1981206774.55
