Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601229.SH,20201024,20201024,20200930,,
1,601229.SH,20201024,20201024,20200930,,
2,601229.SH,20200822,20200822,20200630,,
3,601229.SH,20200822,20200822,20200630,,
4,601229.SH,20200429,20200429,20200331,,
5,601229.SH,20200425,20200425,20191231,,
6,601229.SH,20191026,20191026,20190930,,
7,601229.SH,20190824,20190824,20190630,,
8,601229.SH,20190824,20190824,20190630,,
9,601229.SH,20190427,20190427,20190331,,
10,601229.SH,20190420,20190420,20181231,,
11,601229.SH,20181027,20181027,20180930,,
12,601229.SH,20180825,20180825,20180630,,
13,601229.SH,20180428,20180428,20180331,,
14,601229.SH,20180421,20180421,20171231,,
15,601229.SH,20171028,20171028,20170930,,
16,601229.SH,20170826,20170826,20170630,,
17,601229.SH,20170428,20170428,20170331,,
18,601229.SH,20170424,20170424,20161231,,
