Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,601688.SH,20201031,20201031,20200930,,
1,601688.SH,20200827,20200827,20200630,,
2,601688.SH,20200430,20200430,20200331,,
3,601688.SH,20200331,20200331,20191231,,
4,601688.SH,20191030,20191030,20190930,,
5,601688.SH,20190830,20190830,20190630,,
6,601688.SH,20190830,20190830,20190630,,
7,601688.SH,20190430,20190430,20190331,,
8,601688.SH,20190330,20190330,20181231,,
9,601688.SH,20181031,20181031,20180930,,
10,601688.SH,20181031,20181031,20180930,,
11,601688.SH,20180831,20180831,20180630,,
12,601688.SH,20180427,20180427,20180331,,
13,601688.SH,20180329,20180329,20171231,,
14,601688.SH,20180329,20180329,20171231,,
15,601688.SH,20171031,20171031,20170930,,
16,601688.SH,20171031,20171031,20170930,,
17,601688.SH,20170812,20170812,20170630,,
18,601688.SH,20170812,20170812,20170630,,
19,601688.SH,20170427,20170427,20170331,,
20,601688.SH,20170427,20170427,20170331,,
21,601688.SH,20170331,20170331,20161231,,
22,601688.SH,20170331,20170331,20161231,,
