Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,603993.SH,20201029,20201029,20200930,62087669288.57,41877319580.67
1,603993.SH,20200831,20200831,20200630,57207257850.77,37760594306.14
2,603993.SH,20200831,20200831,20200630,57207257850.77,37760594306.14
3,603993.SH,20200430,20200430,20200331,60734738955.93,42059731246.05
4,603993.SH,20200330,20200330,20191231,54177504608.04,34575365626.52
5,603993.SH,20191030,20191030,20190930,58584864044.7,41241726087.82
6,603993.SH,20190828,20190828,20190630,36828514022.09,19551976852.41
7,603993.SH,20190430,20190430,20190331,42970344045.09,19500656214.53
8,603993.SH,20190430,20190430,20190331,42970344045.09,19500656214.53
9,603993.SH,20190329,20190329,20181231,39164384408.39,15978736519.3
10,603993.SH,20181030,20181030,20180930,40730940000.0,17957550000.0
11,603993.SH,20180828,20180828,20180630,38856952000.0,16760504000.0
12,603993.SH,20180428,20180428,20180331,41380735700.0,14740673900.0
13,603993.SH,20180330,20180330,20171231,39048798233.8,13503108244.13
14,603993.SH,20171030,20171030,20170930,38792438600.0,13253447500.0
15,603993.SH,20170828,20171030,20170630,23408365900.0,17563229600.0
16,603993.SH,20170428,20170428,20170331,20710957170.84,15899964550.42
17,603993.SH,20170331,20170331,20161231,19802956226.82,15981674825.96
