Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,002024.SZ,20201031,20201031,20200930,107247951000.0,109966928000.0
1,002024.SZ,20200829,20200829,20200630,117308877000.0,117149435000.0
2,002024.SZ,20200430,20200430,20200331,109645319000.0,111792257000.0
3,002024.SZ,20200430,20200430,20200331,109645319000.0,111792257000.0
4,002024.SZ,20200418,20200418,20191231,120761474000.0,121256981000.0
5,002024.SZ,20191031,20191031,20190930,108512079000.0,110508668000.0
6,002024.SZ,20190831,20190831,20190630,129096227000.0,102571374000.0
7,002024.SZ,20190430,20190430,20190331,129693227000.0,94539735000.0
8,002024.SZ,20190330,20190330,20181231,131742542000.0,93696656000.0
9,002024.SZ,20181031,20181031,20180930,109744639000.0,81034072000.0
10,002024.SZ,20180831,20180831,20180630,105995043000.0,79108605000.0
11,002024.SZ,20180428,20180428,20180331,93483913000.0,68677818000.0
12,002024.SZ,20180331,20180331,20171231,87829679000.0,64263657000.0
13,002024.SZ,20171031,20171031,20170930,83917172000.0,64755328000.0
14,002024.SZ,20170831,20170831,20170630,81817482000.0,61567057000.0
15,002024.SZ,20170429,20170429,20170331,82437325000.0,58394836000.0
16,002024.SZ,20170331,20170331,20161231,82383635000.0,61455026000.0
