Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,002939.SZ,20201027,20201027,20200930,,
1,002939.SZ,20200826,20200826,20200630,,
2,002939.SZ,20200427,20200427,20200331,,
3,002939.SZ,20200421,20200421,20191231,,
4,002939.SZ,20191025,20191025,20190930,,
5,002939.SZ,20190827,20190827,20190630,,
6,002939.SZ,20190425,20190425,20190331,,
7,002939.SZ,20190425,20190425,20190331,,
8,002939.SZ,20190423,20190423,20181231,,
9,002939.SZ,20181025,20181025,20180930,,
10,002939.SZ,20180917,20180917,20180630,,
11,002939.SZ,20180917,20180917,20171231,,
12,002939.SZ,20170719,20170719,20170630,,
13,002939.SZ,20200107,20200107,20161231,,
14,002939.SZ,20180917,20180917,20161231,,
15,002939.SZ,20180917,20180917,20151231,,
16,002939.SZ,20170630,20170630,20141231,,
