Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,603799.SH,20201029,20201029,20200930,9458155413.86,10764930674.32
1,603799.SH,20200829,20200829,20200630,10372744135.76,11491550621.34
2,603799.SH,20200416,20200416,20200331,9829007059.68,11673099834.74
3,603799.SH,20200416,20200416,20200331,9829007059.68,11673099834.74
4,603799.SH,20200328,20200328,20191231,9449640087.77,11298745267.54
5,603799.SH,20191029,20191029,20190930,9797677113.31,10864120558.45
6,603799.SH,20190828,20190828,20190630,10948469221.54,11131255741.14
7,603799.SH,20190427,20190427,20190331,11942685107.03,10765998774.7
8,603799.SH,20190427,20190427,20190331,11942685107.03,10765998774.7
9,603799.SH,20190330,20190330,20181231,10892059143.12,8977819192.44
10,603799.SH,20181030,20181030,20180930,12459252343.04,10141509192.46
11,603799.SH,20180828,20180828,20180630,13762904021.08,11922710191.38
12,603799.SH,20180428,20180428,20180331,13548804608.67,11309704741.12
13,603799.SH,20180426,20180426,20171231,10717122971.31,9874443541.6
14,603799.SH,20171028,20171028,20170930,8367297035.48,7863167014.36
15,603799.SH,20170826,20170826,20170630,7528699093.78,7122734404.2
16,603799.SH,20170428,20170428,20170331,6064657331.43,5862946268.88
17,603799.SH,20170401,20170401,20161231,5666539103.5,5675016300.55
