Unnamed: 0,ts_code,ann_date,f_ann_date,end_date,total_cur_assets,total_cur_liab
0,600919.SH,20201030,20201030,20200930,,
1,600919.SH,20200815,20200815,20200630,,
2,600919.SH,20200815,20200815,20200630,,
3,600919.SH,20200429,20200429,20200331,,
4,600919.SH,20200411,20200411,20191231,,
5,600919.SH,20191030,20191030,20190930,,
6,600919.SH,20191030,20191030,20190930,,
7,600919.SH,20190821,20190821,20190630,,
8,600919.SH,20190821,20190821,20190630,,
9,600919.SH,20190427,20190427,20190331,,
10,600919.SH,20190427,20190427,20190331,,
11,600919.SH,20190427,20190427,20181231,,
12,600919.SH,20181030,20181030,20180930,,
13,600919.SH,20180821,20180821,20180630,,
14,600919.SH,20180427,20180427,20180331,,
15,600919.SH,20180425,20180425,20171231,,
16,600919.SH,20171031,20171031,20170930,,
17,600919.SH,20170830,20170830,20170630,,
18,600919.SH,20170427,20170427,20170331,,
19,600919.SH,20170320,20170320,20161231,,
