Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,601698.SH,20210305,144.7956,135.7815,5.6375,6464000.0
1,601698.SH,20210304,146.498,137.378,5.7038,6540000.0
2,601698.SH,20210303,147.842,138.6383,5.7561,6600000.0
3,601698.SH,20210302,148.1108,138.8904,5.7665,6612000.0
4,601698.SH,20210301,147.3044,138.1342,5.7352,6576000.0
5,601698.SH,20210226,146.7668,137.6301,5.7142,6552000.0
6,601698.SH,20210225,149.634,140.3188,5.8259,6680000.0
7,601698.SH,20210224,145.154,136.1176,5.6514,6480000.0
8,601698.SH,20210223,146.05,136.9579,5.6863,6520000.0
9,601698.SH,20210222,147.1252,137.9661,5.7282,6568000.0
10,601698.SH,20210219,145.7812,136.7058,5.6758,6508000.0
11,601698.SH,20210218,143.0931,134.1851,5.5712,6388000.0
12,601698.SH,20210210,139.4195,130.7402,5.4282,6224000.0
13,601698.SH,20210209,140.6739,131.9165,5.477,6280000.0
14,601698.SH,20210208,140.2259,131.4964,5.4596,6260000.0
15,601698.SH,20210205,151.1572,141.7472,5.8852,6748000.0
16,601698.SH,20210204,152.7701,143.2596,5.948,6820000.0
17,601698.SH,20210203,150.978,141.5791,5.8782,6740000.0
18,601698.SH,20210202,156.8021,147.0407,6.1049,7000000.0
19,601698.SH,20210201,155.5477,145.8643,6.0561,6944000.0
20,601698.SH,20210129,155.9957,146.2844,6.0735,6964000.0
21,601698.SH,20210128,164.0598,153.8465,6.3875,7324000.0
22,601698.SH,20210127,156.1749,146.4525,6.0805,6972000.0
23,601698.SH,20210126,155.9061,146.2004,6.0701,6960000.0
24,601698.SH,20210125,169.7943,159.224,6.6108,7580000.0
25,601698.SH,20210122,174.9912,164.0974,6.8131,7812000.0
26,601698.SH,20210121,176.4248,165.4417,6.8689,7876000.0
27,601698.SH,20210120,162.0886,151.998,6.3108,7236000.0
28,601698.SH,20210119,162.7158,152.5862,6.3352,7264000.0
29,601698.SH,20210118,165.3142,155.0229,6.4363,7380000.0
30,601698.SH,20210115,165.4934,155.1909,6.4433,7388000.0
31,601698.SH,20210114,172.8407,162.0808,6.7294,7716000.0
32,601698.SH,20210113,172.0343,161.3246,6.698,7680000.0
33,601698.SH,20210112,173.8263,163.0051,6.7678,7760000.0
34,601698.SH,20210111,168.4503,157.9637,6.5584,7520000.0
35,601698.SH,20210108,168.4503,157.9637,6.5584,7520000.0
36,601698.SH,20210107,170.2423,159.6441,6.6282,7600000.0
37,601698.SH,20210106,172.9303,162.1648,6.7329,7720000.0
38,601698.SH,20210105,179.2024,168.0465,6.9771,8000000.0
39,601698.SH,20210104,172.3927,161.6607,6.7119,7696000.0
40,601698.SH,20201231,162.5366,152.4181,6.3282,7256000.0
41,601698.SH,20201230,158.7733,148.8892,6.1817,7088000.0
42,601698.SH,20201229,158.6837,148.8051,6.1782,7084000.0
43,601698.SH,20201228,158.5941,148.7211,6.1511,7080000.0
44,601698.SH,20201225,161.1926,151.1578,6.2519,7196000.0
45,601698.SH,20201224,163.5222,153.3424,6.3422,7300000.0
46,601698.SH,20201223,159.4902,149.5614,6.1859,7120000.0
