Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,000776.SZ,20210305,16.1845,12.1504,1.2429,12201361.3501
1,000776.SZ,20210304,15.8913,11.9303,1.2204,11980349.8078
2,000776.SZ,20210303,16.2148,12.1731,1.2453,12224224.6131
3,000776.SZ,20210302,15.952,11.9758,1.2251,12026076.3338
4,000776.SZ,20210301,16.0733,12.0669,1.2344,12117529.3858
5,000776.SZ,20210226,16.1845,12.1504,1.2429,12201361.3501
6,000776.SZ,20210225,16.5889,12.4539,1.274,12506204.8566
7,000776.SZ,20210224,16.4675,12.3629,1.2647,12414751.8047
8,000776.SZ,20210223,16.7304,12.5602,1.2849,12612900.0839
9,000776.SZ,20210222,16.7304,12.5602,1.2849,12612900.0839
10,000776.SZ,20210219,17.0336,12.7879,1.3081,12841532.7138
11,000776.SZ,20210218,16.2654,12.2111,1.2491,12262330.0514
12,000776.SZ,20210210,16.0329,12.0365,1.2313,12087045.0351
13,000776.SZ,20210209,16.0126,12.0214,1.2297,12071802.8598
14,000776.SZ,20210208,15.6588,11.7557,1.2026,11805064.7915
15,000776.SZ,20210205,15.5577,11.6798,1.1948,11728853.9149
16,000776.SZ,20210204,15.6689,11.7633,1.2033,11812685.8792
17,000776.SZ,20210203,16.0126,12.0214,1.2297,12071802.8598
18,000776.SZ,20210202,16.1744,12.1428,1.2422,12193740.2624
19,000776.SZ,20210201,16.1946,12.158,1.2437,12208982.4377
20,000776.SZ,20210129,16.043,12.0185,1.2579,12094666.1228
21,000776.SZ,20210128,16.3968,12.2836,1.2856,12361404.191
22,000776.SZ,20210127,16.6192,12.4502,1.303,12529068.1196
23,000776.SZ,20210126,16.6091,12.4426,1.3022,12521447.032
24,000776.SZ,20210125,17.2055,12.8894,1.349,12971091.2041
25,000776.SZ,20210122,17.0235,12.7531,1.3347,12833911.6262
26,000776.SZ,20210121,17.5189,13.1242,1.3736,13207344.9217
27,000776.SZ,20210120,17.4683,13.0863,1.3696,13169239.4834
28,000776.SZ,20210119,17.5896,13.1772,1.3791,13260692.5354
29,000776.SZ,20210118,17.3672,13.0106,1.3617,13093028.6068
30,000776.SZ,20210115,17.0033,12.738,1.3331,12818669.4508
31,000776.SZ,20210114,16.8214,12.6016,1.3189,12681489.8729
32,000776.SZ,20210113,16.8315,12.6092,1.3197,12689110.9606
33,000776.SZ,20210112,17.2662,12.9349,1.3538,13016817.7301
34,000776.SZ,20210111,16.3361,12.2381,1.2808,12315677.665
35,000776.SZ,20210108,16.7203,12.5259,1.311,12605278.9963
36,000776.SZ,20210107,16.3563,12.2533,1.2824,12330919.8404
37,000776.SZ,20210106,16.3361,12.2381,1.2808,12315677.665
38,000776.SZ,20210105,16.3867,12.276,1.2848,12353783.1033
39,000776.SZ,20210104,16.4675,12.3366,1.2911,12414751.8047
40,000776.SZ,20201231,16.4574,12.329,1.2903,12407130.717
41,000776.SZ,20201230,15.9823,11.9731,1.2531,12048939.5968
42,000776.SZ,20201229,15.8105,11.8443,1.2396,11919381.1065
43,000776.SZ,20201228,15.7801,11.8216,1.2372,11896517.8435
44,000776.SZ,20201225,15.8913,11.9049,1.246,11980349.8078
45,000776.SZ,20201224,15.6083,11.6929,1.2238,11766959.3532
46,000776.SZ,20201223,15.7902,11.8292,1.238,11904138.9312
47,000776.SZ,20201222,15.679,11.7459,1.2293,11820306.9669
48,000776.SZ,20201221,16.3058,12.2154,1.2785,12292814.402
49,000776.SZ,20201218,16.2148,12.1473,1.2713,12224224.6131
50,000776.SZ,20201217,16.3867,12.276,1.2848,12353783.1033
51,000776.SZ,20201216,16.0227,12.0034,1.2563,12079423.9474
52,000776.SZ,20201215,16.1542,12.1018,1.2666,12178498.0871
53,000776.SZ,20201214,16.1137,12.0715,1.2634,12148013.7364
54,000776.SZ,20201211,16.0632,12.0337,1.2594,12109908.2981
55,000776.SZ,20201210,16.326,12.2306,1.28,12308056.5774
56,000776.SZ,20201209,16.3361,12.2381,1.2808,12315677.665
57,000776.SZ,20201208,16.8011,12.5865,1.3173,12666247.6976
58,000776.SZ,20201207,16.8416,12.6168,1.3205,12696732.0482
59,000776.SZ,20201204,17.2459,12.9197,1.3522,13001575.5548
60,000776.SZ,20201203,17.5795,13.1696,1.3783,13253071.4477
61,000776.SZ,20201202,17.4784,13.0939,1.3704,13176860.5711
62,000776.SZ,20201201,17.5896,13.1772,1.3791,13260692.5354
63,000776.SZ,20201130,17.1145,12.8213,1.3419,12902501.4152
64,000776.SZ,20201127,17.1145,12.8213,1.3419,12902501.4152
65,000776.SZ,20201126,16.8416,12.6168,1.3205,12696732.0482
66,000776.SZ,20201125,16.7809,12.5714,1.3157,12651005.5222
67,000776.SZ,20201124,17.0539,12.7758,1.3371,12856774.8892
68,000776.SZ,20201123,17.2156,12.897,1.3498,12978712.2918
69,000776.SZ,20201120,16.9831,12.7228,1.3316,12803427.2755
70,000776.SZ,20201119,17.0134,12.7455,1.3339,12826290.5385
71,000776.SZ,20201118,16.9528,12.7001,1.3292,12780564.0125
72,000776.SZ,20201117,16.9932,12.7304,1.3324,12811048.3632
73,000776.SZ,20201116,17.1954,12.8819,1.3482,12963470.1165
74,000776.SZ,20201113,17.0235,12.7531,1.3347,12833911.6262
75,000776.SZ,20201112,17.2055,12.8894,1.349,12971091.2041
76,000776.SZ,20201111,17.3369,12.9879,1.3593,13070165.3438
77,000776.SZ,20201110,18.085,13.5483,1.418,13634125.8309
78,000776.SZ,20201109,17.8626,13.3817,1.4005,13466461.9023
79,000776.SZ,20201106,16.235,12.1624,1.2729,12239466.7884
80,000776.SZ,20201105,16.2148,12.1473,1.2713,12224224.6131
81,000776.SZ,20201104,15.9722,11.9655,1.2523,12041318.5091
82,000776.SZ,20201103,15.9621,11.9579,1.2515,12033697.4215
83,000776.SZ,20201102,15.5982,11.6853,1.223,11759338.2656
84,000776.SZ,20201030,15.5678,12.8261,1.2857,11736475.0026
85,000776.SZ,20201029,16.0531,13.2259,1.3258,12102287.2104
86,000776.SZ,20201028,15.9318,13.126,1.3158,12010834.1585
87,000776.SZ,20201027,15.7902,13.0094,1.3041,11904138.9312
88,000776.SZ,20201026,15.8711,13.076,1.3108,11965107.6325
89,000776.SZ,20201023,16.2249,13.3675,1.34,12231845.7007
90,000776.SZ,20201022,16.2856,13.4175,1.345,12277572.2267
91,000776.SZ,20201021,16.2755,13.4091,1.3442,12269951.139
92,000776.SZ,20201020,16.2957,13.4258,1.3458,12285193.3144
93,000776.SZ,20201019,16.2957,13.4258,1.3458,12285193.3144
94,000776.SZ,20201016,16.508,13.6007,1.3634,12445236.1553
95,000776.SZ,20201015,16.4372,13.5424,1.3575,12391888.5417
96,000776.SZ,20201014,16.4473,13.5507,1.3584,12399509.6293
97,000776.SZ,20201013,16.4777,13.5757,1.3609,12422372.8923
98,000776.SZ,20201012,16.6798,13.7423,1.3776,12574794.6456
99,000776.SZ,20201009,16.1744,13.3259,1.3358,12193740.2624
100,000776.SZ,20200930,15.952,13.1426,1.3174,12026076.3338
101,000776.SZ,20200929,16.1137,13.2759,1.3308,12148013.7364
102,000776.SZ,20200928,16.0834,13.2509,1.3283,12125150.4734
103,000776.SZ,20200925,16.1137,13.2759,1.3308,12148013.7364
104,000776.SZ,20200924,16.0227,13.2009,1.3233,12079423.9474
105,000776.SZ,20200923,16.2654,13.4008,1.3433,12262330.0514
106,000776.SZ,20200922,16.5282,13.6174,1.365,12460478.3306
107,000776.SZ,20200921,16.6091,13.684,1.3717,12521447.032
108,000776.SZ,20200918,16.7102,13.7673,1.3801,12597657.9086
109,000776.SZ,20200917,15.9318,13.126,1.3158,12010834.1585
110,000776.SZ,20200916,16.0531,13.2259,1.3258,12102287.2104
111,000776.SZ,20200915,16.1137,13.2759,1.3308,12148013.7364
112,000776.SZ,20200914,16.1744,13.3259,1.3358,12193740.2624
113,000776.SZ,20200911,16.1744,13.3259,1.3358,12193740.2624
114,000776.SZ,20200910,16.0126,13.1926,1.3225,12071802.8598
115,000776.SZ,20200909,16.2957,13.4258,1.3458,12285193.3144
116,000776.SZ,20200908,16.6394,13.709,1.3742,12544310.2949
117,000776.SZ,20200907,16.0227,13.2009,1.3233,12079423.9474
118,000776.SZ,20200904,16.4777,13.5757,1.3609,12422372.8923
119,000776.SZ,20200903,16.791,13.8339,1.3867,12658626.6099
120,000776.SZ,20200902,16.6697,13.734,1.3767,12567173.5579
121,000776.SZ,20200901,16.7203,13.7756,1.3809,12605278.9963
122,000776.SZ,20200831,16.3462,13.4674,1.35,12323298.7527
123,000776.SZ,20200828,16.1036,18.1462,1.3422,12140392.6488
124,000776.SZ,20200827,15.7296,17.7247,1.311,11858412.4052
125,000776.SZ,20200826,15.6083,17.5881,1.3009,11766959.3532
126,000776.SZ,20200825,15.9014,17.9184,1.3253,11987970.8955
127,000776.SZ,20200824,16.0632,18.1007,1.3388,12109908.2981
128,000776.SZ,20200821,16.0025,18.0323,1.3337,12064181.7721
129,000776.SZ,20200820,15.7801,17.7817,1.3152,11896517.8435
130,000776.SZ,20200819,16.043,18.0779,1.3371,12094666.1228
131,000776.SZ,20200818,16.2553,18.3171,1.3548,12254708.9637
132,000776.SZ,20200817,16.4473,18.5335,1.3708,12399509.6293
133,000776.SZ,20200814,15.8307,17.8387,1.3194,11934623.2818
134,000776.SZ,20200813,15.6487,17.6336,1.3042,11797443.7039
135,000776.SZ,20200812,15.578,17.5539,1.2983,11744096.0902
136,000776.SZ,20200811,15.6083,17.5881,1.3009,11766959.3532
137,000776.SZ,20200810,15.9419,17.964,1.3287,12018455.2461
138,000776.SZ,20200807,15.7296,17.7247,1.311,11858412.4052
139,000776.SZ,20200806,16.2856,18.3513,1.3573,12277572.2267
140,000776.SZ,20200805,15.8913,17.907,1.3245,11980349.8078
141,000776.SZ,20200804,16.3563,18.431,1.3242,12330919.8404
142,000776.SZ,20200803,16.2553,18.3171,1.316,12254708.9637
143,000776.SZ,20200731,15.77,17.7703,1.2767,11888896.7558
144,000776.SZ,20200730,15.6487,17.6336,1.2669,11797443.7039
145,000776.SZ,20200729,15.8105,17.8159,1.28,11919381.1065
146,000776.SZ,20200728,15.3859,17.3374,1.2456,11599295.4246
147,000776.SZ,20200727,15.3151,17.2577,1.2399,11545947.811
148,000776.SZ,20200724,15.3151,17.2577,1.2399,11545947.811
149,000776.SZ,20200723,16.0834,18.1234,1.3021,12125150.4734
150,000776.SZ,20200722,16.1643,18.2146,1.3086,12186119.1747
151,000776.SZ,20200721,16.0126,18.0437,1.2963,12071802.8598
152,000776.SZ,20200720,16.2148,18.2715,1.3127,12224224.6131
153,000776.SZ,20200717,15.5072,17.4741,1.2554,11690748.4766
154,000776.SZ,20200716,16.0834,18.1234,1.3021,12125150.4734
155,000776.SZ,20200715,16.8112,18.9436,1.361,12673868.7852
156,000776.SZ,20200714,17.1347,19.3081,1.3872,12917743.5905
157,000776.SZ,20200713,17.4784,19.6954,1.415,13176860.5711
158,000776.SZ,20200710,17.8424,20.1055,1.4445,13451219.727
159,000776.SZ,20200709,18.6511,21.0168,1.5099,14060906.7401
160,000776.SZ,20200708,18.3781,20.7092,1.4879,13855137.3732
161,000776.SZ,20200707,17.5795,19.8093,1.4232,13253071.4477
162,000776.SZ,20200706,18.4085,20.7434,1.4903,13878000.6361
163,000776.SZ,20200703,16.7405,18.8639,1.3553,12620521.1716
164,000776.SZ,20200702,15.6892,17.6792,1.2702,11827928.0545
165,000776.SZ,20200701,14.7692,16.6426,1.1957,11134409.0771
166,000776.SZ,20200630,14.2739,16.0844,1.1556,10760975.7816
167,000776.SZ,20200629,14.0313,15.811,1.1359,10578069.6776
168,000776.SZ,20200624,14.5266,16.3692,1.176,10951502.9732
169,000776.SZ,20200623,14.5266,16.3692,1.176,10951502.9732
170,000776.SZ,20200622,14.4356,16.2667,1.1687,10882913.1842
171,000776.SZ,20200619,14.0616,15.8452,1.1384,10600932.9406
172,000776.SZ,20200618,13.7583,15.5035,1.1138,10372300.3107
173,000776.SZ,20200617,13.6572,15.3895,1.1057,10296089.4341
174,000776.SZ,20200616,13.6775,15.4123,1.1073,10311331.6094
175,000776.SZ,20200615,13.5562,15.2756,1.0975,10219878.5574
176,000776.SZ,20200612,13.546,15.2642,1.0967,10212257.4698
177,000776.SZ,20200611,13.6067,15.3326,1.1016,10257983.9957
178,000776.SZ,20200610,13.7078,15.4465,1.1098,10334194.8724
179,000776.SZ,20200609,13.91,15.6743,1.1261,10486616.6257
180,000776.SZ,20200608,13.7887,15.5376,1.1163,10395163.5737
181,000776.SZ,20200605,13.8898,15.6515,1.1245,10471374.4503
182,000776.SZ,20200604,13.5764,15.2984,1.0991,10235120.7328
183,000776.SZ,20200603,13.5966,15.3212,1.1007,10250362.9081
184,000776.SZ,20200602,13.7078,15.4465,1.1098,10334194.8724
185,000776.SZ,20200601,13.7482,15.4921,1.113,10364679.223
186,000776.SZ,20200529,13.3236,15.0136,1.0787,10044593.5412
187,000776.SZ,20200528,13.3742,15.0706,1.0827,10082698.9795
188,000776.SZ,20200527,13.3034,14.9909,1.077,10029351.3658
189,000776.SZ,20200526,13.3641,15.0592,1.0819,10075077.8918
190,000776.SZ,20200525,13.2327,14.9111,1.0713,9976003.7522
191,000776.SZ,20200522,13.2529,14.9339,1.0729,9991245.9275
192,000776.SZ,20200521,13.637,15.3668,1.104,10280847.2587
193,000776.SZ,20200520,13.728,15.4693,1.1114,10349437.0477
194,000776.SZ,20200519,13.7684,15.5148,1.1147,10379921.3984
195,000776.SZ,20200518,13.6471,15.3782,1.1048,10288468.3464
196,000776.SZ,20200515,13.7684,15.5148,1.1147,10379921.3984
197,000776.SZ,20200514,13.6572,15.3895,1.1057,10296089.4341
198,000776.SZ,20200513,13.819,15.5718,1.1188,10418026.8367
199,000776.SZ,20200512,13.8392,15.5946,1.1204,10433269.012
200,000776.SZ,20200511,13.8898,15.6515,1.1245,10471374.4503
201,000776.SZ,20200508,13.9706,15.7427,1.131,10532343.1516
202,000776.SZ,20200507,13.7583,15.5035,1.1138,10372300.3107
203,000776.SZ,20200506,13.8594,15.6174,1.122,10448511.1873
204,000776.SZ,20200430,13.8594,15.6174,1.122,10448511.1873
205,000776.SZ,20200429,13.6269,15.3554,1.1032,10273226.1711
206,000776.SZ,20200428,13.5966,13.5966,1.1235,10250362.9081
207,000776.SZ,20200427,13.5056,13.5056,1.116,10181773.1191
208,000776.SZ,20200424,13.5663,13.5663,1.121,10227499.6451
209,000776.SZ,20200423,13.7786,13.7786,1.1386,10387542.486
210,000776.SZ,20200422,13.8493,13.8493,1.1444,10440890.0997
211,000776.SZ,20200421,13.8493,13.8493,1.1444,10440890.0997
212,000776.SZ,20200420,14.1121,14.1121,1.1661,10639038.3789
213,000776.SZ,20200417,14.0414,14.0414,1.1603,10585690.7653
214,000776.SZ,20200416,14.0414,14.0414,1.1603,10585690.7653
215,000776.SZ,20200415,13.9706,13.9706,1.1544,10532343.1516
216,000776.SZ,20200414,14.1627,14.1627,1.1703,10677143.8173
217,000776.SZ,20200413,13.8493,13.8493,1.1444,10440890.0997
218,000776.SZ,20200410,13.9605,13.9605,1.1536,10524722.064
219,000776.SZ,20200409,14.1223,14.1223,1.167,10646659.4666
220,000776.SZ,20200408,14.0616,14.0616,1.162,10600932.9406
221,000776.SZ,20200407,14.1121,14.1121,1.1661,10639038.3789
222,000776.SZ,20200403,13.8493,13.8493,1.1444,10440890.0997
223,000776.SZ,20200402,14.0009,14.0009,1.1569,10555206.4146
224,000776.SZ,20200401,13.7786,13.7786,1.1386,10387542.486
225,000776.SZ,20200331,13.8291,13.8291,1.1427,10425647.9244
226,000776.SZ,20200330,13.7887,13.7887,1.1394,10395163.5737
227,000776.SZ,20200327,24.4754,18.1395,1.1707,10524722.064
228,000776.SZ,20200326,24.4399,18.1132,1.1691,10509479.8887
229,000776.SZ,20200325,24.7235,18.3234,1.1826,10631417.2913
230,000776.SZ,20200324,24.2804,17.995,1.1614,10440890.0997
231,000776.SZ,20200323,23.7665,17.6141,1.1368,10219878.5574
232,000776.SZ,20200320,24.4931,18.1526,1.1716,10532343.1516
233,000776.SZ,20200319,24.1918,17.9293,1.1572,10402784.6614
234,000776.SZ,20200318,23.9614,17.7586,1.1462,10303710.5217
235,000776.SZ,20200317,24.5994,18.2314,1.1767,10578069.6776
236,000776.SZ,20200316,24.6526,18.2709,1.1792,10600932.9406
237,000776.SZ,20200313,25.8223,19.1378,1.2352,11103924.7264
238,000776.SZ,20200312,26.035,19.2954,1.2453,11195377.7784
239,000776.SZ,20200311,26.4958,19.6369,1.2674,11393526.0577
240,000776.SZ,20200310,27.0984,20.0835,1.2962,11652643.0383
241,000776.SZ,20200309,26.4603,19.6106,1.2657,11378283.8824
242,000776.SZ,20200306,27.3819,20.2937,1.3098,11774580.4409
243,000776.SZ,20200305,28.3035,20.9767,1.3539,12170876.9994
244,000776.SZ,20200304,27.6478,20.4907,1.3225,11888896.7558
245,000776.SZ,20200303,27.187,20.1492,1.3005,11690748.4766
246,000776.SZ,20200302,26.9211,19.9521,1.2877,11576432.1616
247,000776.SZ,20200228,25.6983,19.0458,1.2292,11050577.1128
248,000776.SZ,20200227,27.1693,20.136,1.2996,11683127.3889
249,000776.SZ,20200226,27.1161,20.0966,1.2971,11660264.1259
250,000776.SZ,20200225,27.3288,20.2542,1.3072,11751717.1779
251,000776.SZ,20200224,27.4883,20.3725,1.3149,11820306.9669
252,000776.SZ,20200221,27.7187,20.5432,1.3259,11919381.1065
253,000776.SZ,20200220,28.0022,20.7534,1.3395,12041318.5091
254,000776.SZ,20200219,26.6907,19.7814,1.2767,11477358.022
255,000776.SZ,20200218,26.6907,19.7814,1.2767,11477358.022
256,000776.SZ,20200217,26.8503,19.8996,1.2843,11545947.811
257,000776.SZ,20200214,25.7337,19.0721,1.2309,11065819.2881
258,000776.SZ,20200213,25.2197,18.6912,1.2064,10844807.7459
259,000776.SZ,20200212,25.6983,19.0458,1.2292,11050577.1128
260,000776.SZ,20200211,25.1666,18.6518,1.2038,10821944.4829
261,000776.SZ,20200210,25.1666,18.6518,1.2038,10821944.4829
262,000776.SZ,20200207,24.883,18.4416,1.1902,10700007.0803
263,000776.SZ,20200206,24.8653,18.4285,1.1894,10692385.9926
264,000776.SZ,20200205,24.2981,18.0082,1.1623,10448511.1873
265,000776.SZ,20200204,24.0323,17.8111,1.1496,10334194.8724
266,000776.SZ,20200203,23.6247,17.509,1.1301,10158909.8561
267,000776.SZ,20200123,26.2477,19.453,1.2555,11286830.8304
268,000776.SZ,20200122,27.3819,20.2937,1.3098,11774580.4409
269,000776.SZ,20200121,27.311,20.2411,1.3064,11744096.0902
270,000776.SZ,20200120,27.4528,20.3462,1.3132,11805064.7915
271,000776.SZ,20200117,26.9034,19.939,1.2869,11568811.074
272,000776.SZ,20200116,26.8503,19.8996,1.2843,11545947.811
273,000776.SZ,20200115,27.0984,20.0835,1.2962,11652643.0383
274,000776.SZ,20200114,27.311,20.2411,1.3064,11744096.0902
275,000776.SZ,20200113,27.701,20.5301,1.325,11911760.0188
