Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,300059.SZ,20210305,144.3449,55.3049,7.972,26433715.8909
1,300059.SZ,20210304,141.664,54.2777,7.824,25942767.1109
2,300059.SZ,20210303,149.5656,57.3052,8.2604,27389774.0414
3,300059.SZ,20210302,144.533,55.377,7.9824,26468168.4368
4,300059.SZ,20210301,147.355,56.4582,8.1383,26984956.6263
5,300059.SZ,20210226,142.8868,68.2367,8.2272,26166708.6597
6,300059.SZ,20210225,148.9541,71.1342,8.5766,27277803.267
7,300059.SZ,20210224,153.5634,73.3354,8.842,28121890.6431
8,300059.SZ,20210223,157.7964,75.3569,9.0857,28897072.9273
9,300059.SZ,20210222,158.1726,75.5366,9.1074,28965978.0192
10,300059.SZ,20210219,173.1762,82.7017,9.9713,31713568.5599
11,300059.SZ,20210218,176.9389,84.4986,10.1879,32402619.4791
12,300059.SZ,20210210,181.0308,86.4527,10.4235,33151962.3539
13,300059.SZ,20210209,179.4787,85.7115,10.3341,32867728.8497
14,300059.SZ,20210208,168.567,80.5005,9.7059,30869481.1837
15,300059.SZ,20210205,166.3564,79.4448,9.5786,30464663.7687
16,300059.SZ,20210204,166.4505,79.4897,9.584,30481890.0416
17,300059.SZ,20210203,166.2153,79.3774,9.5705,30438824.3592
18,300059.SZ,20210202,173.3173,82.7691,9.9794,31739407.9693
19,300059.SZ,20210201,168.7551,80.5903,9.7167,30903933.7297
20,300059.SZ,20210129,165.5568,79.063,9.5325,30318240.4483
21,300059.SZ,20210128,170.2602,81.3091,9.8033,31179554.0974
22,300059.SZ,20210127,174.9635,83.5552,10.0742,32040867.7465
23,300059.SZ,20210126,172.2356,82.2525,9.9171,31541305.83
24,300059.SZ,20210125,186.0633,88.856,10.7133,34073567.9584
25,300059.SZ,20210122,185.0756,88.3843,10.6564,33892692.0921
26,300059.SZ,20210121,186.6277,89.1255,10.7458,34176925.5963
27,300059.SZ,20210120,176.1393,84.1167,10.1419,32256196.1588
28,300059.SZ,20210119,174.211,83.1958,10.0308,31903057.5627
29,300059.SZ,20210118,177.6914,84.8579,10.2312,32540429.663
30,300059.SZ,20210115,169.5076,80.9497,9.76,31041743.9136
31,300059.SZ,20210114,171.7652,82.0278,9.89,31455174.4651
32,300059.SZ,20210113,182.771,87.2837,10.5237,33470648.404
33,300059.SZ,20210112,179.5727,85.7564,10.3396,32884955.1226
34,300059.SZ,20210111,155.3506,74.1889,8.9449,28449189.8298
35,300059.SZ,20210108,159.4425,76.143,9.1805,29198532.7045
36,300059.SZ,20210107,163.2052,77.9399,9.3971,29887583.6238
37,300059.SZ,20210106,155.6799,74.3462,8.9638,28509481.7852
38,300059.SZ,20210105,152.5287,72.8413,8.7824,27932401.6403
39,300059.SZ,20210104,151.4469,72.3247,8.7201,27734299.501
40,300059.SZ,20201231,145.8029,69.6293,8.3951,26700723.1221
41,300059.SZ,20201230,136.067,64.9799,7.8346,24917803.8685
42,300059.SZ,20201229,129.7646,61.9701,7.4717,23763643.5787
43,300059.SZ,20201228,128.965,61.5883,7.4256,23617220.2583
44,300059.SZ,20201225,126.1901,60.2631,7.2659,23109045.2054
45,300059.SZ,20201224,124.7791,59.5892,7.1846,22850651.1106
46,300059.SZ,20201223,125.2964,59.8363,7.2144,22945395.612
47,300059.SZ,20201222,123.7914,59.1176,7.1277,22669775.2443
48,300059.SZ,20201221,129.7646,61.9701,7.4717,23763643.5787
49,300059.SZ,20201218,126.5193,60.4203,7.2848,23169337.1608
50,300059.SZ,20201217,128.4477,61.3412,7.3958,23522475.7569
51,300059.SZ,20201216,122.9918,58.7357,7.0817,22523351.924
52,300059.SZ,20201215,125.5786,59.9711,7.2306,22997074.431
53,300059.SZ,20201214,125.0613,59.724,7.2009,22902329.9296
54,300059.SZ,20201211,124.4969,59.4545,7.1684,22798972.2917
55,300059.SZ,20201210,125.7197,60.0385,7.2388,23022913.8404
56,300059.SZ,20201209,125.5786,59.9711,7.2306,22997074.431
57,300059.SZ,20201208,131.9281,63.0033,7.5962,24159847.8573
58,300059.SZ,20201207,130.5171,62.3295,7.515,23901453.7625
59,300059.SZ,20201204,133.3861,63.6996,7.6802,24426855.0885
60,300059.SZ,20201203,137.3369,65.5863,7.9077,25150358.5537
61,300059.SZ,20201202,134.8442,64.3959,7.7641,24693862.3197
62,300059.SZ,20201201,138.3717,66.0805,7.9673,25339847.5565
63,300059.SZ,20201130,129.3413,61.768,7.4473,23686125.3503
64,300059.SZ,20201127,125.5316,59.9486,7.2279,22988461.2945
65,300059.SZ,20201126,121.91,58.2191,7.0194,22325249.7847
66,300059.SZ,20201125,120.7342,57.6576,6.9517,22109921.3724
67,300059.SZ,20201124,122.8037,58.6459,7.0709,22488899.378
68,300059.SZ,20201123,123.8854,59.1625,7.1332,22687001.5173
69,300059.SZ,20201120,121.0164,57.7923,6.968,22161600.1913
70,300059.SZ,20201119,121.4867,58.017,6.995,22247731.5563
71,300059.SZ,20201118,119.041,56.849,6.8542,21799848.4587
72,300059.SZ,20201117,118.3355,56.5121,6.8136,21670651.4114
73,300059.SZ,20201116,118.4296,56.557,6.819,21687877.6843
74,300059.SZ,20201113,117.3949,56.0628,6.7594,21498388.6815
75,300059.SZ,20201112,119.6995,57.1634,6.8921,21920432.3696
76,300059.SZ,20201111,119.3232,56.9837,6.8705,21851527.2777
77,300059.SZ,20201110,125.4375,59.9037,7.2225,22971235.0215
78,300059.SZ,20201109,126.6134,60.4652,7.2902,23186563.4338
79,300059.SZ,20201106,118.5237,56.6019,6.8244,21705103.9573
80,300059.SZ,20201105,117.4889,56.1078,6.7649,21515614.9545
81,300059.SZ,20201104,113.9144,54.4007,6.559,20861016.5812
82,300059.SZ,20201103,114.2907,54.5804,6.5807,20929921.6731
83,300059.SZ,20201102,110.6221,52.8284,6.3695,20258097.0268
84,300059.SZ,20201030,109.9636,52.514,6.3316,20137513.116
85,300059.SZ,20201029,114.6199,54.7376,6.5997,20990213.6286
86,300059.SZ,20201028,114.4788,54.6703,6.5915,20964374.2191
87,300059.SZ,20201027,114.4318,54.6478,6.5888,20955761.0826
88,300059.SZ,20201026,114.4318,54.6478,6.5888,20955761.0826
89,300059.SZ,20201023,118.4766,56.5794,6.8217,21696490.8208
90,300059.SZ,20201022,122.7096,58.6009,7.0655,22471673.105
91,300059.SZ,20201021,123.9325,59.1849,7.1359,22695614.6538
92,300059.SZ,20201020,125.8138,60.0834,7.2442,23040140.1134
93,300059.SZ,20201019,122.1452,58.3314,7.033,22368315.4671
94,300059.SZ,20201016,122.1922,80.8117,7.4314,22376928.6036
95,300059.SZ,20201015,120.9694,80.003,7.3571,22152987.0549
96,300059.SZ,20201014,121.7689,80.5318,7.4057,22299410.3752
97,300059.SZ,20201013,122.8507,81.2472,7.4715,22497512.5145
98,300059.SZ,20201012,122.7096,81.1539,7.4629,22471673.105
99,300059.SZ,20201009,115.7957,76.5814,7.0424,21205542.0408
100,300059.SZ,20200930,112.8326,74.6217,6.8622,20662914.4419
101,300059.SZ,20200929,113.8674,75.3061,6.9251,20852403.4447
102,300059.SZ,20200928,112.2682,74.2485,6.8279,20559556.804
103,300059.SZ,20200925,112.9737,74.7151,6.8708,20688753.8514
