Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,601577.SH,20210305,7.0448,6.7042,0.9334,3578945.2267
1,601577.SH,20210304,7.0111,6.6721,0.929,3561837.4579
2,601577.SH,20210303,7.1458,6.8003,0.9468,3630268.533
3,601577.SH,20210302,6.836,6.5055,0.9058,3472877.0603
4,601577.SH,20210301,6.8562,6.5247,0.9084,3483141.7216
5,601577.SH,20210226,6.8428,6.5119,0.9067,3476298.6141
6,601577.SH,20210225,7.0381,6.6978,0.9325,3575523.6729
7,601577.SH,20210224,6.964,6.6273,0.9227,3537886.5816
8,601577.SH,20210223,7.1122,6.7683,0.9424,3613160.7642
9,601577.SH,20210222,6.9775,6.6401,0.9245,3544729.6891
10,601577.SH,20210219,7.321,6.967,0.97,3719228.9306
11,601577.SH,20210218,7.1391,6.7939,0.9459,3626846.9792
12,601577.SH,20210210,7.0179,6.6785,0.9299,3565259.0117
13,601577.SH,20210209,7.2065,6.858,0.9549,3661062.5168
14,601577.SH,20210208,7.2401,6.89,0.9593,3678170.2856
15,601577.SH,20210205,7.2536,6.9029,0.9611,3685013.3931
16,601577.SH,20210204,6.8158,6.4863,0.9031,3462612.399
17,601577.SH,20210203,6.762,6.435,0.896,3435239.969
18,601577.SH,20210202,6.7417,6.4157,1.0587,3424975.3078
19,601577.SH,20210201,6.8495,6.5183,1.0756,3479720.1678
20,601577.SH,20210129,6.7417,6.4157,0.8933,3424975.3078
21,601577.SH,20210128,6.6811,6.3581,0.8852,3394181.324
22,601577.SH,20210127,6.6138,6.294,0.8763,3359965.7864
23,601577.SH,20210126,6.506,6.1914,0.862,3305220.9264
24,601577.SH,20210125,6.1693,6.0498,0.8351,3134143.2387
25,601577.SH,20210122,6.176,6.0564,0.836,3137564.7924
26,601577.SH,20210121,6.3646,6.2413,0.8616,3233368.2975
27,601577.SH,20210120,6.3983,6.2744,0.8661,3250476.0663
28,601577.SH,20210119,6.5666,6.4395,0.8889,3336014.9102
29,601577.SH,20210118,6.3983,6.2744,0.8661,3250476.0663
30,601577.SH,20210115,6.2838,6.1621,0.8506,3192309.6525
31,601577.SH,20210114,6.0615,5.9441,0.8205,3079398.3786
32,601577.SH,20210113,6.0682,5.9507,0.8215,3082819.9324
33,601577.SH,20210112,6.1423,6.0234,0.8315,3120457.0236
34,601577.SH,20210111,6.1087,5.9904,0.8269,3103349.2549
35,601577.SH,20210108,6.0817,5.964,0.8233,3089663.0399
36,601577.SH,20210107,6.0952,5.9772,0.8251,3096506.1474
37,601577.SH,20210106,6.1693,6.0498,0.8351,3134143.2387
38,601577.SH,20210105,6.1356,6.0168,0.8306,3117035.4699
39,601577.SH,20210104,6.1827,6.063,0.837,3140986.3462
40,601577.SH,20201231,6.4117,6.2876,0.868,3257319.1738
41,601577.SH,20201230,6.2905,6.1687,0.8515,3195731.2062
42,601577.SH,20201229,6.2299,6.1093,0.8433,3164937.2225
43,601577.SH,20201228,6.1827,6.063,0.837,3140986.3462
44,601577.SH,20201225,6.1491,6.03,0.8324,3123878.5774
45,601577.SH,20201224,6.1423,6.0234,0.8315,3120457.0236
46,601577.SH,20201223,6.0615,5.9441,0.8205,3079398.3786
47,601577.SH,20201222,6.0548,5.9375,0.8196,3075976.8248
48,601577.SH,20201221,6.2299,6.1093,0.8433,3164937.2225
49,601577.SH,20201218,6.2703,6.1489,0.8488,3185466.545
50,601577.SH,20201217,6.3242,6.2017,0.8561,3212838.975
51,601577.SH,20201216,6.2501,6.1291,0.8461,3175201.8837
52,601577.SH,20201215,6.2972,6.1753,0.8525,3199152.76
53,601577.SH,20201214,6.3579,6.2347,0.8607,3229946.7438
54,601577.SH,20201211,6.3242,6.2017,0.8561,3212838.975
55,601577.SH,20201210,6.4319,6.3074,0.8707,3267583.8351
56,601577.SH,20201209,6.4858,6.3602,0.878,3294956.2651
57,601577.SH,20201208,6.634,6.5055,0.898,3370230.4477
58,601577.SH,20201207,6.7013,6.5716,0.9072,3404445.9852
59,601577.SH,20201204,6.836,6.7037,0.9254,3472877.0603
60,601577.SH,20201203,7.0583,6.9216,0.9555,3585788.3342
61,601577.SH,20201202,6.7013,6.5716,0.9072,3404445.9852
62,601577.SH,20201201,6.8562,6.7235,0.9281,3483141.7216
63,601577.SH,20201130,6.5532,6.4263,0.8871,3329171.8026
64,601577.SH,20201127,6.4117,6.2876,0.868,3257319.1738
65,601577.SH,20201126,6.2838,6.1621,0.8506,3192309.6525
66,601577.SH,20201125,6.1962,6.0762,0.8388,3147829.4537
67,601577.SH,20201124,6.2232,6.1026,0.8424,3161515.6687
68,601577.SH,20201123,6.2232,6.1026,0.8424,3161515.6687
69,601577.SH,20201120,6.1154,5.997,0.8278,3106770.8086
70,601577.SH,20201119,6.1962,6.0762,0.8388,3147829.4537
71,601577.SH,20201118,6.1087,5.9904,0.8269,3103349.2549
72,601577.SH,20201117,6.0278,5.9111,0.816,3062290.6098
73,601577.SH,20201116,5.947,5.8319,0.805,3021231.9648
74,601577.SH,20201113,5.9268,5.812,0.8023,3010967.3035
75,601577.SH,20201112,5.9942,5.8781,0.8114,3045182.8411
76,601577.SH,20201111,6.0548,5.9375,0.8196,3075976.8248
77,601577.SH,20201110,6.0682,5.9507,0.8215,3082819.9324
78,601577.SH,20201109,6.0817,5.964,0.8233,3089663.0399
79,601577.SH,20201106,5.9942,5.8781,0.8114,3045182.8411
80,601577.SH,20201105,6.0615,5.9441,0.8205,3079398.3786
81,601577.SH,20201104,6.0952,5.9772,0.8251,3096506.1474
82,601577.SH,20201103,6.075,5.9573,0.8224,3086241.4861
83,601577.SH,20201102,6.0009,5.8847,0.8123,3048604.3948
84,601577.SH,20201030,6.0682,5.9507,0.8215,3082819.9324
85,601577.SH,20201029,6.1423,5.9089,0.8577,3120457.0236
86,601577.SH,20201028,6.2029,5.9672,0.8662,3151251.0074
87,601577.SH,20201027,6.2568,6.019,0.8737,3178623.4375
88,601577.SH,20201026,6.2905,6.0514,0.8784,3195731.2062
89,601577.SH,20201023,6.4589,6.2134,0.9019,3281270.0501
90,601577.SH,20201022,6.4858,6.2393,0.9057,3294956.2651
91,601577.SH,20201021,6.5195,6.2717,0.9104,3312064.0339
92,601577.SH,20201020,6.3174,6.0774,0.8822,3209417.4213
93,601577.SH,20201019,6.3309,6.0903,0.884,3216260.5288
94,601577.SH,20201016,6.3511,6.1098,0.8869,3226525.19
95,601577.SH,20201015,6.2164,5.9802,0.868,3158094.1149
96,601577.SH,20201014,6.1558,5.9219,0.8596,3127300.1312
97,601577.SH,20201013,6.1289,5.8959,0.8558,3113613.9161
98,601577.SH,20201012,6.1491,5.9154,0.8586,3123878.5774
99,601577.SH,20201009,6.0211,5.7923,0.8408,3058869.0561
100,601577.SH,20200930,5.9403,5.7145,0.8295,3017810.411
101,601577.SH,20200929,5.9807,5.7534,0.8351,3038339.7336
102,601577.SH,20200928,5.9403,5.7145,0.8295,3017810.411
103,601577.SH,20200925,5.9538,5.7275,0.8314,3024653.5185
104,601577.SH,20200924,5.9538,5.7275,0.8314,3024653.5185
105,601577.SH,20200923,6.075,5.8441,0.8483,3086241.4861
106,601577.SH,20200922,6.0952,5.8635,0.8511,3096506.1474
107,601577.SH,20200921,6.1356,5.9024,0.8568,3117035.4699
108,601577.SH,20200918,6.1962,5.9607,0.8652,3147829.4537
109,601577.SH,20200917,6.0009,5.7728,0.8379,3048604.3948
110,601577.SH,20200916,6.0278,5.7988,0.8417,3062290.6098
111,601577.SH,20200915,6.0211,5.7923,0.8408,3058869.0561
112,601577.SH,20200914,6.0144,5.7858,0.8398,3055447.5023
113,601577.SH,20200911,5.9874,5.7599,0.8361,3041761.2873
114,601577.SH,20200910,6.0682,5.8376,0.8474,3082819.9324
115,601577.SH,20200909,6.0682,5.8376,0.8474,3082819.9324
116,601577.SH,20200908,6.1289,5.8959,0.8558,3113613.9161
117,601577.SH,20200907,5.9672,5.7404,0.8332,3031496.626
118,601577.SH,20200904,6.0817,5.8506,0.8492,3089663.0399
119,601577.SH,20200903,6.1693,5.9348,0.8615,3134143.2387
120,601577.SH,20200902,6.1356,5.9024,0.8568,3117035.4699
121,601577.SH,20200901,6.2164,5.9802,0.868,3158094.1149
122,601577.SH,20200831,6.176,5.9413,0.8624,3137564.7924
123,601577.SH,20200828,6.2164,5.9802,0.8951,3158094.1149
124,601577.SH,20200827,6.0346,5.8455,0.8689,3065712.1636
125,601577.SH,20200826,6.0076,5.8194,0.8651,3052025.9486
126,601577.SH,20200825,6.1491,5.9564,0.8854,3123878.5774
127,601577.SH,20200824,6.1558,5.9629,0.8864,3127300.1312
128,601577.SH,20200821,6.2097,6.0151,0.8942,3154672.5612
129,601577.SH,20200820,6.1962,6.002,0.8922,3147829.4537
130,601577.SH,20200819,6.3376,6.139,0.9126,3219682.0825
131,601577.SH,20200818,6.4926,6.2891,0.9349,3298377.8189
132,601577.SH,20200817,6.7417,6.5305,0.9708,3424975.3078
133,601577.SH,20200814,6.2164,6.0216,0.8951,3158094.1149
134,601577.SH,20200813,6.1289,5.9368,0.8825,3113613.9161
