Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,601006.SH,20210305,7.3522,9.5885,0.8648,10049951.0479
1,601006.SH,20210304,7.2543,9.4608,0.8533,9916149.9245
2,601006.SH,20210303,7.1891,9.3757,0.8456,9826949.1756
3,601006.SH,20210302,7.1021,9.2623,0.8354,9708014.8436
4,601006.SH,20210301,7.1238,9.2906,0.8379,9737748.4266
5,601006.SH,20210226,7.1021,9.2623,0.8354,9708014.8436
6,601006.SH,20210225,7.1782,9.3616,0.8443,9812082.3841
7,601006.SH,20210224,7.1021,9.2623,0.8354,9708014.8436
8,601006.SH,20210223,7.1782,9.3616,0.8443,9812082.3841
9,601006.SH,20210222,7.1782,9.3616,0.8443,9812082.3841
10,601006.SH,20210219,7.1673,9.3474,0.843,9797215.5926
11,601006.SH,20210218,7.0912,9.2481,0.8341,9693148.0521
12,601006.SH,20210210,7.1238,9.2906,0.8379,9737748.4266
13,601006.SH,20210209,7.0259,9.163,0.8264,9603947.3032
14,601006.SH,20210208,6.9933,9.1204,0.8226,9559346.9287
15,601006.SH,20210205,6.9715,9.0921,0.82,9529613.3457
16,601006.SH,20210204,6.9389,9.0495,0.8162,9485012.9713
17,601006.SH,20210203,6.9498,9.0637,0.8175,9499879.7627
18,601006.SH,20210202,6.9498,9.0637,0.8175,9499879.7627
19,601006.SH,20210201,6.9389,9.0495,0.8162,9485012.9713
20,601006.SH,20210129,6.928,9.0353,0.8149,9470146.1798
21,601006.SH,20210128,7.0042,9.1346,0.8239,9574213.7202
22,601006.SH,20210127,7.0042,9.1346,0.8239,9574213.7202
23,601006.SH,20210126,6.9933,9.1204,0.8226,9559346.9287
24,601006.SH,20210125,6.9933,9.1204,0.8226,9559346.9287
25,601006.SH,20210122,7.0477,9.1913,0.829,9633680.8862
26,601006.SH,20210121,7.1347,9.3048,0.8392,9752615.2181
27,601006.SH,20210120,7.1456,9.319,0.8405,9767482.0096
28,601006.SH,20210119,7.2217,9.4183,0.8494,9871549.55
29,601006.SH,20210118,7.2217,9.4183,0.8494,9871549.55
30,601006.SH,20210115,7.2326,9.4325,0.8507,9886416.3415
31,601006.SH,20210114,7.1891,9.3757,0.8456,9826949.1756
