Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,688012.SH,20210305,343.3015,131.5207,14.817,6473437.6544
1,688012.SH,20210304,344.0957,131.825,14.8513,6488413.797
2,688012.SH,20210303,361.994,138.6819,15.6237,6825911.8686
3,688012.SH,20210302,365.3411,139.9642,15.7682,6889025.6126
4,688012.SH,20210301,365.3411,139.9642,15.7682,6889025.6126
5,688012.SH,20210226,353.8533,135.5631,15.2724,6672406.4066
6,688012.SH,20210225,370.3901,141.8985,15.9861,6984231.0907
7,688012.SH,20210224,390.0186,222.4665,17.9351,7354355.7588
8,688012.SH,20210223,390.0754,222.4988,17.9377,7355425.4832
9,688012.SH,20210222,399.6627,227.9674,18.3786,7536208.9193
10,688012.SH,20210219,395.7767,225.7509,18.1999,7462932.7929
11,688012.SH,20210218,399.3791,227.8057,18.3656,7530860.297
12,688012.SH,20210210,389.2244,222.0134,17.8986,7339379.6161
13,688012.SH,20210209,391.7773,223.4696,18.016,7387517.2174
14,688012.SH,20210208,382.0764,217.9362,17.5699,7204594.3324
15,688012.SH,20210205,385.1966,219.716,17.7134,7263429.1785
16,688012.SH,20210204,413.9019,236.0895,19.0334,7804709.7623
17,688012.SH,20210203,416.8519,237.7721,19.1691,7860335.435
18,688012.SH,20210202,437.4165,249.5022,20.1147,8248110.5568
19,688012.SH,20210201,445.4438,254.081,20.4839,8399476.5698
20,688012.SH,20210129,435.5444,248.4344,20.0287,8212809.6491
21,688012.SH,20210128,448.1952,255.6504,20.6104,8451358.2068
22,688012.SH,20210127,469.469,267.7849,21.5887,8852504.8846
23,688012.SH,20210126,488.4451,278.6089,22.4613,9210327.7211
24,688012.SH,20210125,478.5741,272.9785,22.0074,9024195.6627
25,688012.SH,20210122,477.9501,272.6225,21.9787,9012428.6935
26,688012.SH,20210121,493.5792,281.5374,22.6974,9307137.786
27,688012.SH,20210120,501.0676,285.8087,23.0418,9448341.4166
28,688012.SH,20210119,493.5508,281.5212,22.6961,9306602.9238
29,688012.SH,20210118,519.0793,296.0826,23.87,9787978.9371
30,688012.SH,20210115,497.4085,283.7216,22.8735,9379344.188
31,688012.SH,20210114,513.5482,292.9277,23.6157,9683680.8009
32,688012.SH,20210113,475.9645,271.49,21.8874,8974988.3369
33,688012.SH,20210112,447.6847,255.3591,20.5869,8441730.6866
34,688012.SH,20210111,447.9967,255.5371,20.6013,8447614.1712
35,688012.SH,20210108,427.8859,244.0659,19.6765,8068396.8451
36,688012.SH,20210107,423.2057,241.3963,19.4613,7980144.576
37,688012.SH,20210106,442.4939,252.3983,20.3482,8343850.8972
38,688012.SH,20210105,453.7548,258.8215,20.8661,8556191.2053
39,688012.SH,20210104,455.2297,259.6628,20.9339,8584004.0416
40,688012.SH,20201231,447.0039,254.9708,20.5556,8428893.9929
41,688012.SH,20201230,421.986,240.7006,19.4052,7957145.4998
42,688012.SH,20201229,419.3197,239.1798,19.2826,7906868.4496
43,688012.SH,20201228,414.4125,236.3807,19.0569,7814337.2826
44,688012.SH,20201225,416.5399,237.5942,19.1547,7854451.9503
45,688012.SH,20201224,447.5145,255.2621,20.5791,8438521.5131
46,688012.SH,20201223,453.1875,258.4979,20.84,8545493.9605
47,688012.SH,20201222,444.4227,253.4985,20.4369,8380221.5293
48,688012.SH,20201221,469.4406,267.7687,21.5874,8851970.0224
49,688012.SH,20201218,445.3304,254.0162,20.4787,8397337.1209
50,688012.SH,20201217,440.0828,251.0231,20.2374,8298387.6071
51,688012.SH,20201216,442.4655,252.3821,20.3469,8343316.035
52,688012.SH,20201215,450.4361,256.9285,20.7135,8493612.3236
53,688012.SH,20201214,469.2988,267.6878,21.5809,8849295.7112
54,688012.SH,20201211,485.0413,276.6674,22.3048,9146144.2527
55,688012.SH,20201210,451.599,257.5919,20.7669,8515541.6753
56,688012.SH,20201209,433.4171,247.2209,19.9308,8172694.9814
57,688012.SH,20201208,430.8642,245.7648,19.8134,8124557.38
58,688012.SH,20201207,428.2263,244.2601,19.6921,8074815.192
59,688012.SH,20201204,420.6528,239.9402,19.3439,7932006.9747
60,688012.SH,20201203,428.3681,244.341,19.6987,8077489.5032
61,688012.SH,20201202,433.3887,247.2047,19.9295,8172160.1191
62,688012.SH,20201201,426.3258,243.1761,19.6047,8038979.4221
63,688012.SH,20201130,420.9648,240.1182,19.3582,7937890.4593
64,688012.SH,20201127,406.3001,231.7534,18.6839,7661366.6828
65,688012.SH,20201126,398.8118,227.4821,18.3395,7520163.0522
