Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
82,601601.SH,20201103,11.0731,12.5507,1.5151,30717750.2658
83,601601.SH,20201102,10.8476,12.2952,1.4842,30092428.0712
84,601601.SH,20201030,11.0661,11.9,1.5513,30698509.5829
85,601601.SH,20201029,11.3089,12.1611,1.5853,31371933.4848
86,601601.SH,20201028,11.4823,12.3475,1.6096,31852950.5575
87,601601.SH,20201027,11.888,12.7839,1.6665,32978530.5077
88,601601.SH,20201026,11.9123,12.81,1.6699,33045872.8979
89,601601.SH,20201023,11.8048,12.6944,1.6548,32747642.3128
90,601601.SH,20201022,11.5655,12.437,1.6213,32083838.7524
91,601601.SH,20201021,11.8533,12.7466,1.6616,32882327.0932
92,601601.SH,20201020,11.6349,12.5116,1.631,32276245.5815
93,601601.SH,20201019,11.725,12.6086,1.6436,32526374.4594
94,601601.SH,20201016,11.5655,12.437,1.6213,32083838.7524
95,601601.SH,20201015,11.399,12.258,1.5979,31622062.3626
96,601601.SH,20201014,11.2603,12.1089,1.5785,31237248.7044
97,601601.SH,20201013,11.3782,12.2357,1.595,31564340.3139
98,601601.SH,20201012,11.5031,12.3699,1.6125,31910672.6062
99,601601.SH,20201009,11.1043,11.9411,1.5566,30804333.3389
100,601601.SH,20200930,10.8234,11.639,1.5172,30025085.6811
101,601601.SH,20200929,10.9066,11.7285,1.5289,30255973.876
102,601601.SH,20200928,10.9101,11.7322,1.5294,30265594.2174
103,601601.SH,20200925,10.9309,11.7546,1.5323,30323316.2662
104,601601.SH,20200924,10.7852,11.598,1.5119,29919261.9251
105,601601.SH,20200923,10.9031,11.7248,1.5284,30246353.5345
106,601601.SH,20200922,10.9482,11.7732,1.5347,30371417.9734
107,601601.SH,20200921,11.3193,12.1723,1.5868,31400794.5091
108,601601.SH,20200918,11.2499,12.0977,1.577,31208387.68
109,601601.SH,20200917,10.5147,11.3071,1.474,29168875.2916
110,601601.SH,20200916,10.5771,11.3742,1.4827,29342041.4378
111,601601.SH,20200915,10.5494,11.3444,1.4788,29265078.7061
112,601601.SH,20200914,10.5633,11.3593,1.4808,29303560.0719
113,601601.SH,20200911,10.6534,11.4563,1.4934,29553688.9498
114,601601.SH,20200910,10.6153,11.4152,1.4881,29447865.1938
115,601601.SH,20200909,10.5182,11.3108,1.4745,29178495.633
116,601601.SH,20200908,10.7575,11.5681,1.508,29842299.1934
117,601601.SH,20200907,10.4384,11.225,1.4633,28957227.7796
118,601601.SH,20200904,10.4662,11.2549,1.4672,29034190.5112
119,601601.SH,20200903,10.5771,11.3742,1.4827,29342041.4378
120,601601.SH,20200902,10.6326,11.4339,1.4905,29495966.901
121,601601.SH,20200901,10.702,11.5085,1.5002,29688373.7301
122,601601.SH,20200831,10.6881,11.4935,1.4983,29649892.3643
123,601601.SH,20200828,10.9343,11.7583,1.5328,30332936.6076
124,601601.SH,20200827,10.6985,11.5047,1.4997,29678753.3887
125,601601.SH,20200826,10.6153,11.4152,1.4881,29447865.1938
126,601601.SH,20200825,10.8372,11.6539,1.5192,30063567.0469
127,601601.SH,20200824,10.8893,11.7098,1.2571,30207872.1687
128,601601.SH,20200821,11.191,10.1288,1.2919,31044841.8753
129,601601.SH,20200820,11.1077,10.0535,1.2823,30813953.6804
130,601601.SH,20200819,11.0731,10.0221,1.2783,30717750.2658
131,601601.SH,20200818,11.5378,10.4427,1.332,32006876.0208
132,601601.SH,20200817,11.6903,10.5808,1.3496,32430171.0448
133,601601.SH,20200814,11.1077,10.0535,1.2823,30813953.6804
134,601601.SH,20200813,10.6742,9.6611,1.2323,29611410.9985
135,601601.SH,20200812,10.8476,9.8181,1.2523,30092428.0712
136,601601.SH,20200811,10.6812,9.6674,1.2331,29630651.6814
137,601601.SH,20200810,10.5979,9.5921,1.2235,29399763.4865
138,601601.SH,20200807,10.4003,9.4132,1.2007,28851404.0235
139,601601.SH,20200806,10.5702,9.567,1.2203,29322800.7548
140,601601.SH,20200805,10.487,9.4917,1.2107,29091912.5599
141,601601.SH,20200804,10.695,9.68,1.2347,29669133.0472
142,601601.SH,20200803,10.4246,9.4352,1.2035,28918746.4137
143,601601.SH,20200731,10.2338,9.2625,1.1814,28389627.6337
144,601601.SH,20200730,10.2199,9.25,1.1798,28351146.2679
145,601601.SH,20200729,10.4003,9.4132,1.2007,28851404.0235
146,601601.SH,20200728,10.1957,9.228,1.177,28283803.8777
147,601601.SH,20200727,10.2338,9.2625,1.1814,28389627.6337
148,601601.SH,20200724,10.1853,9.2186,1.1758,28254942.8533
149,601601.SH,20200723,10.5217,9.523,1.2147,29188115.9745
150,601601.SH,20200722,10.7055,9.6894,1.2359,29697994.0716
151,601601.SH,20200721,10.8511,9.8212,1.2527,30102048.4127
152,601601.SH,20200720,10.9864,9.9436,1.2683,30477241.7294
153,601601.SH,20200717,10.3274,9.3473,1.1922,28649376.853
154,601601.SH,20200716,10.4835,9.4885,1.2103,29082292.2185
155,601601.SH,20200715,10.8026,9.7773,1.2471,29967363.6323
156,601601.SH,20200714,10.9482,9.9091,1.2639,30371417.9734
157,601601.SH,20200713,11.1181,10.0629,1.2835,30842814.7047
158,601601.SH,20200710,10.9933,9.9499,1.2691,30496482.4124
159,601601.SH,20200709,11.7216,10.6091,1.3532,32516754.1179
160,601601.SH,20200708,11.7111,10.5996,1.3582,32487893.0935
161,601601.SH,20200707,11.2882,10.2169,1.3091,31314718.455
162,601601.SH,20200706,11.6404,10.5356,1.35,32291507.838
163,601601.SH,20200703,10.5978,9.592,1.229,29399445.155
164,601601.SH,20200702,10.1732,9.2077,1.1798,28221552.0755
165,601601.SH,20200701,9.7659,8.839,1.1326,27091540.8285
166,601601.SH,20200630,9.4069,8.5141,1.0909,26095598.7125
167,601601.SH,20200629,9.362,8.4734,1.0857,25971105.948
168,601601.SH,20200624,9.4966,8.5953,1.1013,26344584.2415
169,601601.SH,20200623,9.4517,8.5547,1.0961,26220091.477
170,601601.SH,20200622,9.6244,8.7109,1.1162,26698909.802
171,601601.SH,20200619,9.1401,8.2726,1.06,25355476.0
172,601601.SH,20200618,9.0747,8.2135,1.4381,25174236.0
173,601601.SH,20200617,8.9898,8.1366,1.4247,24938624.0
174,601601.SH,20200616,9.0878,8.2253,1.4402,25210484.0
175,601601.SH,20200615,8.9506,8.1011,1.4184,24829880.0
176,601601.SH,20200612,9.0649,8.2046,1.4366,25147050.0
177,601601.SH,20200611,9.1107,8.246,1.4438,25273918.0
178,601601.SH,20200610,9.7673,8.8403,1.4573,27095380.0
179,601601.SH,20200609,9.8947,8.9556,1.4763,27448798.0
180,601601.SH,20200608,9.9208,8.9792,1.4802,27521294.0
181,601601.SH,20200605,9.5582,8.651,1.4261,26515412.0
182,601601.SH,20200604,9.5157,8.6126,1.4198,26397606.0
183,601601.SH,20200603,9.5451,8.6392,1.4242,26479164.0
184,601601.SH,20200602,9.6268,8.7131,1.4364,26705714.0
185,601601.SH,20200601,9.421,8.5269,1.4057,26134808.0
186,601601.SH,20200529,9.2381,8.3613,1.3784,25627336.0
187,601601.SH,20200528,9.3393,8.4529,1.3935,25908258.0
188,601601.SH,20200527,9.078,8.2164,1.3545,25183298.0
189,601601.SH,20200526,9.0715,8.2105,1.3535,25165174.0
190,601601.SH,20200525,8.98,8.1277,1.3399,24911438.0
191,601601.SH,20200522,9.1466,8.2785,1.3647,25373600.0
192,601601.SH,20200521,9.4145,8.5209,1.4047,26116684.0
193,601601.SH,20200520,9.519,8.6156,1.4203,26406668.0
194,601601.SH,20200519,9.4733,8.5742,1.4135,26279800.0
195,601601.SH,20200518,9.3393,8.4529,1.3935,25908258.0
196,601601.SH,20200515,9.3687,8.4795,1.3979,25989816.0
197,601601.SH,20200514,9.4341,8.5387,1.4076,26171056.0
198,601601.SH,20200513,9.6301,8.7161,1.4369,26714776.0
199,601601.SH,20200512,9.6301,8.7161,1.4369,26714776.0
200,601601.SH,20200511,9.7967,8.8669,1.4617,27176938.0
201,601601.SH,20200508,9.6987,8.7782,1.4471,26905078.0
202,601601.SH,20200507,9.9241,8.9822,1.4807,27530356.0
203,601601.SH,20200506,9.9371,8.994,1.4827,27566604.0
204,601601.SH,20200430,10.0515,9.0975,1.4997,27883774.0
205,601601.SH,20200429,10.0449,9.0916,1.4988,27865650.0
206,601601.SH,20200428,9.7607,8.8343,1.4564,27077256.0
207,601601.SH,20200427,9.5713,8.6629,1.4281,26551660.0
208,601601.SH,20200424,9.2838,9.2838,1.4434,25754204.0
209,601601.SH,20200423,9.5419,9.5419,1.4835,26470102.0
210,601601.SH,20200422,9.4471,9.4471,1.4688,26207304.0
211,601601.SH,20200421,9.3655,9.3655,1.4561,25980754.0
212,601601.SH,20200420,9.5615,9.5615,1.4866,26524474.0
213,601601.SH,20200417,9.5713,9.5713,1.4881,26551660.0
214,601601.SH,20200416,9.1041,9.1041,1.4155,25255794.0
215,601601.SH,20200415,9.1499,9.1499,1.4226,25382662.0
216,601601.SH,20200414,9.2577,9.2577,1.4393,25681708.0
217,601601.SH,20200413,9.0453,9.0453,1.4063,25092678.0
218,601601.SH,20200410,9.1335,9.1335,1.42,25337352.0
219,601601.SH,20200409,9.0257,9.0257,1.4033,25038306.0
220,601601.SH,20200408,8.9865,8.9865,1.3972,24929562.0
