Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,601111.SH,20210305,18.1317,,1.4284,11619852.148
1,601111.SH,20210304,18.9703,,1.4944,12157270.3098
2,601111.SH,20210303,19.4236,,1.5301,12447766.6135
3,601111.SH,20210302,18.517,,1.4587,11866774.0061
4,601111.SH,20210301,18.653,,1.4694,11953922.8973
5,601111.SH,20210226,18.3357,,1.4444,11750575.4847
6,601111.SH,20210225,18.6303,,1.4676,11939398.0821
7,601111.SH,20210224,18.925,,1.4909,12128220.6795
8,601111.SH,20210223,19.3329,,1.523,12389667.3528
9,601111.SH,20210222,18.4717,,1.4552,11837724.3758
10,601111.SH,20210219,18.585,,1.4641,11910348.4517
11,601111.SH,20210218,18.3357,,1.4444,11750575.4847
12,601111.SH,20210210,17.6558,,1.3909,11314831.0291
13,601111.SH,20210209,17.7691,,1.3998,11387455.105
14,601111.SH,20210208,17.6104,,1.3873,11285781.3987
15,601111.SH,20210205,16.7038,,1.3159,10704788.7913
16,601111.SH,20210204,15.8879,,1.2516,10181895.4447
17,601111.SH,20210203,16.0239,,1.2623,10269044.3358
18,601111.SH,20210202,16.2959,,1.2837,10443342.118
19,601111.SH,20210201,16.4999,,1.2998,10574065.4547
20,601111.SH,20210129,16.3186,,1.2855,10457866.9332
21,601111.SH,20210128,15.7519,,1.2409,10094746.5536
22,601111.SH,20210127,16.1146,,1.2695,10327143.5965
23,601111.SH,20210126,15.9786,,1.2587,10239994.7054
24,601111.SH,20210125,15.7973,,1.2445,10123796.1839
25,601111.SH,20210122,15.7973,,1.2445,10123796.1839
26,601111.SH,20210121,16.0239,,1.2623,10269044.3358
27,601111.SH,20210120,16.2052,,1.2766,10385242.8573
28,601111.SH,20210119,16.3186,,1.2855,10457866.9332
29,601111.SH,20210118,16.0466,,1.2641,10283569.151
30,601111.SH,20210115,16.0466,,1.2641,10283569.151
31,601111.SH,20210114,16.1372,,1.2712,10341668.4117
32,601111.SH,20210113,16.2052,,1.2766,10385242.8573
33,601111.SH,20210112,16.0692,,1.2659,10298093.9662
34,601111.SH,20210111,15.548,,1.2248,9964023.2169
35,601111.SH,20210108,16.5452,,1.3034,10603115.0851
36,601111.SH,20210107,16.3186,,1.2855,10457866.9332
37,601111.SH,20210106,16.6585,,1.3123,10675739.161
38,601111.SH,20210105,16.7492,,1.3195,10733838.4217
39,601111.SH,20210104,16.7718,,1.3212,10748363.2369
40,601111.SH,20201231,16.9758,,1.3373,10879086.5736
41,601111.SH,20201230,16.2052,,1.2766,10385242.8573
42,601111.SH,20201229,16.1372,,1.2712,10341668.4117
43,601111.SH,20201228,16.1599,,1.273,10356193.2269
