Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
0,002008.SZ,20210305,71.928,49.5132,5.0327,4619354.4326
1,002008.SZ,20210304,70.6652,48.644,4.9443,4538256.9651
2,002008.SZ,20210303,74.1378,51.0344,5.1873,4761275.0007
3,002008.SZ,20210302,72.8751,50.1652,5.099,4680177.5332
4,002008.SZ,20210301,74.1212,51.023,5.1862,4760207.9288
5,002008.SZ,20210226,71.6289,49.3073,5.0118,4600147.1377
6,002008.SZ,20210225,74.3372,44.9417,5.2013,4774079.864
7,002008.SZ,20210224,76.3311,46.1471,5.3408,4902128.497
8,002008.SZ,20210223,80.5514,48.6986,5.6361,5173164.77
9,002008.SZ,20210222,80.2357,48.5077,5.614,5152890.4031
10,002008.SZ,20210219,82.9938,50.1752,5.807,5330024.3453
11,002008.SZ,20210218,84.4061,51.029,5.9058,5420725.4603
12,002008.SZ,20210210,85.7686,51.8527,6.0011,5508225.3594
13,002008.SZ,20210209,79.5046,48.0657,5.5628,5105939.2377
14,002008.SZ,20210208,72.2769,43.6961,5.0571,4641762.9434
15,002008.SZ,20210205,70.0837,42.3702,4.9037,4500909.4471
16,002008.SZ,20210204,74.3372,44.9417,5.2013,4774079.864
17,002008.SZ,20210203,73.8886,44.6705,5.1699,4745268.9216
18,002008.SZ,20210202,75.5169,45.6549,5.2838,4849841.9718
19,002008.SZ,20210201,73.7557,44.5901,5.1606,4736732.3461
20,002008.SZ,20210129,71.2135,43.0532,4.9827,4573470.3391
21,002008.SZ,20210128,73.6061,44.4997,5.1501,4727128.6986
22,002008.SZ,20210127,78.0092,47.1617,5.4582,5009902.763
23,002008.SZ,20210126,79.704,48.1863,5.5768,5118744.101
24,002008.SZ,20210125,83.9077,50.7277,5.8709,5388713.3021
25,002008.SZ,20210122,85.7354,51.8326,5.9988,5506091.2156
26,002008.SZ,20210121,83.16,50.2756,5.8186,5340695.0647
27,002008.SZ,20210120,81.8141,49.462,5.7244,5254262.2375
28,002008.SZ,20210119,77.2449,46.6996,5.4047,4960817.4537
29,002008.SZ,20210118,79.7704,48.2264,5.5814,5123012.3887
30,002008.SZ,20210115,78.275,47.3224,5.4768,5026975.9141
31,002008.SZ,20210114,77.4443,46.8201,5.4187,4973622.317
32,002008.SZ,20210113,78.4412,47.4228,5.4884,5037646.6335
33,002008.SZ,20210112,80.3686,48.5881,5.6233,5161426.9786
34,002008.SZ,20210111,78.0923,47.2119,5.464,5015238.1227
35,002008.SZ,20210108,78.7569,47.6137,5.5105,5057921.0003
36,002008.SZ,20210107,78.0923,47.2119,5.464,5015238.1227
37,002008.SZ,20210106,74.1046,44.8011,5.185,4759140.8569
38,002008.SZ,20210105,73.6892,44.5499,5.1559,4732464.0583
39,002008.SZ,20210104,72.9082,44.0778,5.1013,4682309.3383
40,002008.SZ,20201231,71.0307,42.9427,4.9699,4561730.2692
41,002008.SZ,20201230,70.8812,42.8523,4.9595,4552126.6265
42,002008.SZ,20201229,64.4344,38.9548,4.5084,4138102.9202
43,002008.SZ,20201228,63.6203,38.4626,4.4514,4085816.4212
44,002008.SZ,20201225,65.0824,39.3466,4.5537,4179718.7051
