,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-09-30,0.2474,0.28,0.28,--,13.9014,13.3629,-3.4391,10.088,2.178,--,0.97,15.4581,1.0061,5.3178,5.0469,84.2407,4.2636,24.7403,1.7797,0.97,--,9.9121,10.3616,307.7553,0.3992,--,2390989645.12,1.78,2.19,530098232.25,20.9005,45.4634,2.8102,11.2348,1.2744,211.8644,434.0138,0.6221,--,0.236,1144.0678,0.3835,704.0417,0.4203,1.3334,0.6008,6.877,583.7905,0.0651,54.5048,1.0172,--,83.4702,67.553,1.8321,--,68.8138,87.8522,202.4421,--,45.4952,67985921738.77,-0.5927,-0.1348,-13.9008,-0.2964,-28.7711,--,--,--,1554554543.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020-06-30,0.1886,0.18,0.18,0.14,16.3634,12.7929,-2.3366,9.2038,2.4804,--,0.649,16.6222,0.6604,5.8405,5.5417,83.0378,4.6147,594.5085,36.3316,20.4609,--,10.8366,8.5131,302.0804,1.2639,3.0178,1528158192.26,1.42,1.41,307366730.06,4.1899,24.8393,25.068,11.3307,0.8007,224.8033,479.7441,0.3752,0.554,0.1431,1257.8616,0.235,765.9574,0.2506,1.369,0.6118,8.9936,806.5821,0.0213,56.317,0.3521,220.5975,77.5663,68.3573,0.6214,56.3049,68.7848,80.0872,214.6287,25.5293,43.683,65371232774.66,-0.5718,-0.0804,-12.391,-0.1841,-17.9698,--,--,--,1525120418.82,--,--,--,1051696989.25,98448502.2,301756521.6,--,24952018.35,13774599.64,--,--,16208704.63,3039036.27,139911655.9
2020-03-31,0.0427,0.0383,0.0383,--,16.2859,12.7899,-0.6872,9.2035,2.4812,--,0.1532,17.0019,0.1527,3.6977,3.5737,82.659,2.7833,4.2704,0.2622,0.1532,--,12.913,15.3,479.4021,2.8205,1.28,586896282.06,0.3,0.3001,62576581.73,3.3427,902.1059,20.0096,13.7947,0.3563,252.5961,619.4081,0.1453,--,0.0549,1639.3443,0.0909,990.099,0.0943,1.4439,0.6518,19.768,467.8875,0.0198,58.4085,0.367,--,71.2081,67.6541,0.6243,--,68.0791,72.054,229.7604,--,41.5915,62732011410.46,-0.4479,-0.0246,-16.0919,-0.0593,-5.9075,--,--,--,1505744782.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-31,0.4929,0.48,0.48,0.35,16.2435,12.752,2.2644,9.2031,2.4429,--,1.7569,16.3698,1.9017,5.6769,5.3455,83.3132,4.3985,601.7316,37.0444,21.4498,--,10.4253,6.0156,306.5843,0.2444,--,4126901513,3.76,3.97,781249851.05,9.1268,2.3373,19.6663,17.9631,2.8653,125.6413,280.9866,1.2812,1.6007,0.4324,832.5624,0.7365,488.7984,0.7516,1.4236,0.7323,30.8684,419.9404,0.0203,57.9028,0.3647,221.5105,72.7031,67.7822,0.626,57.0333,68.2092,74.0317,225.5199,26.14,42.0972,63115020067.35,0.2021,0.0807,4.5943,0.1917,18.9915,--,--,--,1477626465.49,--,--,--,305135138.89,99808534.6,305138046.76,--,28949813.77,7103431.04,--,--,37672381.69,2829482.3,173051749.03
2019-09-30,0.2015,0.18,0.18,--,16.0201,12.6412,-2.1555,9.2952,2.2115,--,0.7418,18.155,0.791,4.3511,4.2527,81.4062,3.5436,20.1508,1.2578,0.7418,--,14.1423,9.4174,434.6973,0.8875,--,2322687274.38,1.45,1.56,243850893.04,-7.6122,-32.4982,20.2645,10.4802,1.2708,212.4646,462.5664,0.5837,--,0.2232,1209.6774,0.3802,710.1526,0.3843,1.2133,0.5108,6.7047,282.6775,0.0447,58.9711,0.4762,--,69.5747,66.2896,0.801,--,66.8248,85.4955,191.5152,--,41.0289,61119291992.01,-0.3791,-0.0793,-10.6967,-0.1934,-15.8874,--,--,--,1456441661.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-06-30,0.151,0.14,0.14,0.1,13.0836,11.7848,-1.2223,8.4993,2.197,--,0.5788,18.5208,0.6057,4.8261,4.6197,81.045,3.8514,551.0633,42.1186,21.1146,18.955,13.5159,10.3071,403.9783,1.184,--,1634228239.49,1.22,1.21,226612251.68,6.151,-8.6677,-0.6629,10.2388,0.8796,204.6385,411.6167,0.4373,0.5818,0.1573,1144.3102,0.2698,667.1609,0.2942,1.0215,0.4847,8.0294,312.445,0.392,50.1312,0.4927,192.0342,99.4766,79.3258,0.9733,55.9706,80.1055,117.8466,163.3423,26.1053,49.8688,58718070819.42,-0.3116,-0.0468,-8.0918,-0.0939,-7.9939,--,--,--,1434107354.76,--,--,11504763681.6,197670345.4,111335940.7,272232847.33,--,32075359.04,23007453.19,--,99058879.11,12002128.52,7868767.84,178335530.9
2019-03-31,0.0043,0.0017,0.0017,--,13.5705,11.7723,-0.3492,8.4948,2.1697,--,0.0174,16.891,0.0177,0.6321,-0.0777,82.6534,0.287,0.4261,0.0314,0.0174,17.3466,17.1551,165.4954,2664.9818,24.9885,--,564209318.47,0.01,0.0148,-72205119.15,20.3618,--,2.4257,6.1547,0.4019,223.9363,509.3379,0.1767,--,0.0615,1463.4146,0.1073,838.7698,0.1094,1.0839,0.5071,12.5201,119.0181,0.0918,55.3837,0.412,--,80.5586,75.2664,0.7385,--,75.8264,97.3732,178.4959,--,44.6163,55127347953.98,-0.2352,-0.0143,-81.9367,-0.0319,-2.6627,--,--,--,1404122786.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-31,0.4816,0.47,0.47,0.32,13.574,11.7471,0.5377,8.4848,2.1843,--,2.0252,17.2421,2.0602,6.1284,5.3573,82.3683,4.6903,566.0656,41.7022,23.8031,17.6317,10.3081,19.6313,302.3104,0.1871,--,3983280646.89,4.03,4.07,718537932.25,2.4253,15.8452,2.315,3.519,3.0997,116.1403,258.3052,1.3937,1.5596,0.4392,819.6721,0.7827,459.9463,0.7651,1.0826,0.5732,16.2899,413.0106,0.1018,57.0787,0.4395,203.5721,75.1967,75.5034,0.764,56.2838,76.0847,92.3192,182.3849,28.0386,42.9213,53504042116.58,0.0524,0.0226,1.1165,0.0527,4.327,--,--,--,1401811783.21,--,--,--,64213675.93,8403582.59,176593282.46,--,24230220.55,31863005.86,--,--,1923906.05,2977229.68,21277988.23
2018-09-30,0.2985,0.29,0.29,--,13.3207,11.6095,-1.3858,8.4823,2.0188,--,1.214,17.75,1.2553,5.8374,5.4341,81.8259,4.8501,29.8522,2.241,1.214,18.1741,11.8432,18.6981,323.1612,--,--,2457984521.23,2.49,2.5,467205535.19,6.5401,78.421,2.6086,-12.4802,--,--,344.6515,0.7834,--,0.2588,1043.2767,0.4531,595.8949,0.463,1.1055,0.5635,13.8084,369.707,0.4305,54.1734,2.4024,--,84.5924,73.3628,4.2463,--,76.6162,102.1091,173.9652,--,45.8266,55321478303.99,-0.2252,-0.0564,-4.6423,-0.123,-10.6513,--,--,--,1236476318.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-06-30,0.1654,0.16,0.16,0.12,13.1709,11.4802,-1.1364,8.4819,1.8896,--,0.6986,17.9375,0.7091,5.6124,5.2302,81.559,4.4763,519.5284,39.4452,21.9444,18.441,13.1878,8.7617,335.5401,0.5436,--,1491045651.97,1.39,1.39,272034166.97,5.8306,135.292,52.4583,2.9757,1.0357,173.7955,374.9219,0.4801,0.5715,0.1584,1136.3636,0.2821,638.0716,0.2795,1.0942,0.5437,13.309,390.2834,0.5574,55.6328,2.7183,204.8674,79.75,74.3107,4.6585,56.1048,77.9416,97.9292,176.2193,27.1555,44.3672,53264412531.54,-0.3076,-0.048,-6.871,-0.1082,-9.2729,--,--,--,1225055350.94,--,--,1128473702.09,77237818.96,61486146.93,243928629.6,--,35650890.96,47989344.08,--,21688624.41,3825283.11,1287927.64,21544079.7
