,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2021-03-04,160.2711,133.0681,4.8478,6.8494,6.1926,0.1876,0.1876,17267719.4738
1,2021-03-03,162.9184,135.266,4.9278,6.9626,6.2949,0.1846,0.1846,17552938.0572
2,2021-03-02,163.4874,135.7385,4.945,6.9869,6.3169,0.1839,0.1839,17614246.7247
3,2021-03-01,155.4961,129.1035,4.7033,6.6454,6.0081,0.1934,0.1934,16753259.7858
4,2021-02-26,148.8903,123.6189,4.5035,6.363,5.7529,0.202,0.202,16041546.1243
5,2021-02-25,158.9104,131.9383,4.8066,6.7913,6.14,0.1892,0.1892,17121111.7907
6,2021-02-24,152.7499,126.8234,4.6203,6.528,5.902,0.1969,0.1969,16457378.8254
7,2021-02-23,149.3357,123.9887,4.517,6.3821,5.7701,0.2014,0.2014,16089526.8206
8,2021-02-22,143.6453,119.2641,4.3449,6.1389,5.5502,0.2093,0.2093,15476440.1458
9,2021-02-19,156.8074,130.1922,4.743,6.7014,6.0588,0.1918,0.1918,16894536.2804
10,2021-02-18,156.1889,129.6787,4.7243,6.675,6.0349,0.1925,0.1925,16827896.4245
11,2021-02-10,160.5927,133.3351,4.8575,6.8632,6.205,0.1872,0.1872,17302372.1989
12,2021-02-09,156.9063,130.2744,4.746,6.7056,6.0626,0.1916,0.1916,16905198.6574
13,2021-02-08,142.6309,118.4219,4.3142,6.0955,5.511,0.2108,0.2108,15367150.7821
14,2021-02-05,138.2765,114.8066,4.1825,5.9094,5.3428,0.2175,0.2175,14898006.1962
15,2021-02-04,141.8392,117.7646,4.2902,6.0617,5.4804,0.212,0.212,15281851.7665
16,2021-02-03,144.9565,120.3528,4.3845,6.1949,5.6009,0.2074,0.2074,15617716.6404
17,2021-02-02,150.8943,125.2828,4.5641,6.4487,5.8303,0.1993,0.1993,16257459.2576
18,2021-02-01,147.9502,122.8384,4.4751,6.3229,5.7165,0.2032,0.2032,15940253.5432
19,2021-01-29,147.4306,122.407,4.4594,6.3007,5.6965,0.204,0.204,15884276.0642
20,2021-01-28,153.888,127.7683,4.6547,6.5766,5.946,0.1954,0.1954,16579996.1604
21,2021-01-27,161.2607,133.8897,4.8777,6.8917,6.2308,0.1865,0.1865,17374343.2433
22,2021-01-26,166.2336,138.0186,5.0281,7.1042,6.423,0.1809,0.1809,17910127.6851
23,2021-01-25,184.6903,153.3425,5.5864,7.893,7.1361,0.1628,0.1628,19898660.9867
24,2021-01-22,186.719,155.027,5.6477,7.9797,7.2145,0.161,0.161,20117239.7142
25,2021-01-21,180.806,150.1175,5.4689,7.727,6.986,0.1663,0.1663,19480162.6913
26,2021-01-20,175.4125,145.6395,5.3057,7.4965,6.7776,0.1714,0.1714,18899063.1474
27,2021-01-19,165.2687,137.2174,4.9989,7.063,6.3857,0.1819,0.1819,17806169.5098
28,2021-01-18,168.2871,139.7235,5.0902,7.192,6.5023,0.1787,0.1787,18131372.0069
29,2021-01-15,165.5162,137.4229,5.0064,7.0736,6.3953,0.1817,0.1817,17832825.4522
30,2021-01-14,173.458,144.0167,5.2466,7.413,6.7021,0.1734,0.1734,18688481.2026
31,2021-01-13,192.7311,160.0185,5.8296,8.2366,7.4468,0.156,0.156,20764979.114
32,2021-01-12,185.0614,153.6507,5.5976,7.9089,7.1505,0.1625,0.1625,19938644.9002
33,2021-01-11,172.0725,142.8664,5.2047,7.3538,6.6486,0.1748,0.1748,18539207.9253
34,2021-01-08,183.6264,152.4593,5.5542,7.8475,7.095,0.1638,0.1638,19784040.4344
35,2021-01-07,186.3974,154.7599,5.638,7.966,7.2021,0.1613,0.1613,20082586.9891
36,2021-01-06,169.4747,140.7095,5.1261,7.2427,6.5482,0.1774,0.1774,18259320.5303
37,2021-01-05,166.5058,138.2445,5.0363,7.1159,6.4335,0.1806,0.1806,17939449.2217
38,2021-01-04,161.5329,134.1157,4.8859,6.9033,6.2414,0.1862,0.1862,17403664.7799
39,2020-12-31,146.8368,121.914,4.4414,6.2753,5.6735,0.2019,0.2048,15820301.8025
40,2020-12-30,134.3427,111.5405,4.0635,5.7413,5.1908,0.2207,0.2238,14474176.7123
41,2020-12-29,126.9699,105.4192,3.8405,5.4262,4.9059,0.2335,0.2368,13679829.6294
42,2020-12-28,131.1264,108.8701,3.9662,5.6039,5.0665,0.2261,0.2293,14127649.4614
43,2020-12-25,128.4791,106.6722,3.8861,5.4907,4.9642,0.2308,0.234,13842430.8779
44,2020-12-24,124.8175,103.632,3.7754,5.3343,4.8227,0.2376,0.2409,13447922.9307
45,2020-12-23,124.867,103.6731,3.7769,5.3364,4.8246,0.2375,0.2408,13453254.1192
46,2020-12-22,113.5109,94.2446,3.4334,4.8511,4.3859,0.2612,0.2649,12229746.3639
47,2020-12-21,115.6139,95.9906,3.497,4.9409,4.4671,0.2565,0.2601,12456321.8742
48,2020-12-18,108.2906,89.9103,3.2755,4.628,4.1842,0.2738,0.2777,11667305.9797
49,2020-12-17,108.9091,90.4238,3.2942,4.6544,4.2081,0.2723,0.2761,11733945.8357
50,2020-12-16,113.4367,94.1829,3.4311,4.8479,4.383,0.2614,0.2651,12221749.5812
51,2020-12-15,112.744,93.6078,3.4102,4.8183,4.3562,0.263,0.2667,12147112.9426
52,2020-12-14,113.1893,93.9775,3.4237,4.8373,4.3734,0.262,0.2657,12195093.6389
53,2020-12-11,109.2308,90.6909,3.3039,4.6681,4.2205,0.2715,0.2753,11768598.5608
54,2020-12-10,111.4574,92.5396,3.3713,4.7633,4.3065,0.266,0.2698,12008502.0422
55,2020-12-09,111.0863,92.2315,3.3601,4.7474,4.2922,0.2669,0.2707,11968518.1286
56,2020-12-08,116.2572,96.5247,3.5165,4.9684,4.492,0.2551,0.2587,12525627.3244
57,2020-12-07,118.0138,97.9831,3.5696,5.0435,4.5599,0.2513,0.2548,12714884.5153
58,2020-12-04,118.756,98.5994,3.592,5.0752,4.5885,0.2497,0.2532,12794852.3424
59,2020-12-03,114.55,95.1073,3.4648,4.8955,4.426,0.2589,0.2625,12341701.3219
60,2020-12-02,117.321,97.408,3.5486,5.0139,4.5331,0.2527,0.2563,12640247.8766
61,2020-12-01,118.756,98.5994,3.592,5.0752,4.5885,0.2497,0.2532,12794852.3424
62,2020-11-30,112.1254,93.0942,3.3915,4.7918,4.3323,0.2645,0.2682,12080473.0866
63,2020-11-27,111.3337,92.4369,3.3675,4.758,4.3017,0.2663,0.2701,11995174.071
64,2020-11-26,106.1629,88.1437,3.2111,4.537,4.102,0.2793,0.2832,11438064.8753
65,2020-11-25,102.8724,85.4117,3.1116,4.3964,3.9748,0.2882,0.2923,11083540.8416
66,2020-11-24,107.5237,89.2735,3.2523,4.5952,4.1545,0.2758,0.2797,11584672.5583
67,2020-11-23,104.6042,86.8496,3.164,4.4704,4.0417,0.2835,0.2875,11270132.4383
68,2020-11-20,103.763,86.1512,3.1385,4.4345,4.0092,0.2858,0.2898,11179502.2342
69,2020-11-19,101.4374,84.2203,3.0682,4.3351,3.9194,0.2923,0.2964,10928936.3758
70,2020-11-18,94.1389,78.1605,2.8474,4.0232,3.6374,0.315,0.3194,10142586.0756
71,2020-11-17,90.6999,75.3053,2.7434,3.8762,3.5045,0.3269,0.3315,9772068.4765
72,2020-11-16,95.7223,79.4752,2.8953,4.0908,3.6985,0.3098,0.3141,10313184.1068
73,2020-11-13,94.8563,78.7562,2.8691,4.0538,3.6651,0.3126,0.317,10219888.3085
74,2020-11-12,90.0814,74.7917,2.7247,3.8498,3.4806,0.3292,0.3338,9705428.6206
75,2020-11-11,90.1061,74.8123,2.7255,3.8508,3.4815,0.3291,0.3337,9708094.2148
76,2020-11-10,91.4916,75.9626,2.7674,3.91,3.5351,0.3241,0.3287,9857367.4921
77,2020-11-09,94.5595,78.5097,2.8602,4.0411,3.6536,0.3136,0.318,10187901.1776
78,2020-11-06,93.4461,77.5854,2.8265,3.9936,3.6106,0.3173,0.3218,10067949.4369
79,2020-11-05,95.3017,79.126,2.8826,4.0729,3.6823,0.3111,0.3155,10267869.0048
80,2020-11-04,96.3161,79.9682,2.9133,4.1162,3.7215,0.3079,0.3122,10377158.3685
81,2020-11-03,95.0048,78.8795,2.8736,4.0602,3.6708,0.3121,0.3165,10235881.8739
82,2020-11-02,88.8938,73.8057,2.6888,3.799,3.4347,0.3336,0.3383,9577480.0971
83,2020-10-30,90.403,75.0588,2.7344,3.8635,3.493,0.328,0.3326,9740081.3457
84,2020-10-29,90.1803,83.5415,2.6081,3.854,3.7983,0.3288,0.3334,9716090.9975
85,2020-10-28,89.2154,82.6476,2.5801,3.8128,3.7576,0.3324,0.3371,9612132.8222
86,2020-10-27,90.2051,83.5644,2.6088,3.855,3.7993,0.3287,0.3334,9718756.5917
87,2020-10-26,89.1907,82.6247,2.5794,3.8117,3.7566,0.3325,0.3371,9609467.228
88,2020-10-23,88.6711,82.1434,2.5644,3.7895,3.7347,0.3344,0.3391,9553489.749
89,2020-10-22,91.1205,84.4124,2.6352,3.8942,3.8379,0.3254,0.33,9817383.5786
90,2020-10-21,91.6648,84.9166,2.651,3.9174,3.8608,0.3235,0.328,9876026.6518
91,2020-10-20,98.2211,90.9903,2.8406,4.1976,4.137,0.3019,0.3061,10582409.1249
92,2020-10-19,97.7263,90.5319,2.8263,4.1765,4.1161,0.3034,0.3077,10529097.2401
93,2020-10-16,98.6417,91.3799,2.8528,4.2156,4.1547,0.3006,0.3048,10627724.2269
94,2020-10-15,102.2539,94.7262,2.9572,4.37,4.3068,0.29,0.2941,11016900.9857
95,2020-10-14,104.4063,96.7201,3.0195,4.462,4.3975,0.284,0.288,11248807.6844
96,2020-10-13,106.633,98.7829,3.0839,4.5571,4.4913,0.2781,0.282,11488711.1658
97,2020-10-12,107.5237,99.608,3.1096,4.5952,4.5288,0.2758,0.2797,11584672.5583
98,2020-10-09,103.3177,95.7117,2.988,4.4154,4.3516,0.287,0.291,11131521.5379
99,2020-09-30,102.0559,94.5428,2.9515,4.3615,4.2985,0.2906,0.2946,10995576.2318
100,2020-09-29,101.4374,93.9698,2.9336,4.3351,4.2724,0.2923,0.2964,10928936.3758
101,2020-09-28,80.4376,74.5159,3.011,3.4376,3.3879,0.3111,0.3155,8666400.8214
102,2020-09-25,80.4167,74.4966,3.0103,3.4367,3.3871,0.3112,0.3156,8664150.977
103,2020-09-24,82.1499,76.1022,3.0751,3.5108,3.4601,0.361,0.366,8850888.0663
104,2020-09-23,83.6952,77.5337,3.133,3.5768,3.5251,0.3543,0.3593,9017376.5556
105,2020-09-22,84.6349,78.4042,3.1682,3.617,3.5647,0.3504,0.3553,9118619.5559
106,2020-09-21,87.9551,81.4801,3.2924,3.7589,3.7046,0.3371,0.3419,9476344.8234
107,2020-09-18,86.8066,80.4161,3.2494,3.7098,3.6562,0.3416,0.3464,9352603.3787
108,2020-09-17,85.3031,79.0233,3.1932,3.6456,3.5929,0.3476,0.3525,9190614.5783
109,2020-09-16,82.2752,76.2183,3.0798,3.5161,3.4653,0.3604,0.3655,8864387.133
110,2020-09-15,84.0502,77.8626,3.1463,3.592,3.5401,0.3528,0.3578,9055623.9113
111,2020-09-14,83.3819,77.2436,3.1213,3.5634,3.5119,0.3556,0.3606,8983628.8889
112,2020-09-11,85.0943,78.8298,3.1853,3.6366,3.5841,0.3485,0.3534,9168116.1338
113,2020-09-10,84.1546,77.9593,3.1502,3.5965,3.5445,0.3524,0.3573,9066873.1335
114,2020-09-09,83.3611,77.2242,3.1205,3.5626,3.5111,0.3557,0.3607,8981379.0444
115,2020-09-08,84.1128,77.9206,3.1486,3.5947,3.5427,0.3525,0.3575,9062373.4446
116,2020-09-07,85.5954,79.2941,3.2041,3.658,3.6052,0.3464,0.3513,9222112.4006
117,2020-09-04,89.5213,82.9309,3.3511,3.8258,3.7705,0.3312,0.3359,9645083.1572
118,2020-09-03,90.8368,84.1496,3.4003,3.882,3.8259,0.3264,0.331,9786823.3575
119,2020-09-02,89.7927,83.1824,3.3612,3.8374,3.782,0.3302,0.3349,9674331.135
120,2020-09-01,92.7789,85.9487,3.473,3.965,3.9077,0.3196,0.3241,9996058.8914
121,2020-08-31,93.2174,86.3549,3.4894,3.9838,3.9262,0.3181,0.3226,10043305.6248
122,2020-08-28,91.6512,84.9041,3.4308,3.9168,3.8602,0.3235,0.3281,9874567.2911
123,2020-08-27,87.266,80.8417,3.2666,3.7294,3.6755,0.3398,0.3446,9402099.9566
124,2020-08-26,85.6999,79.3908,3.208,3.6625,3.6096,0.346,0.3509,9233361.6228
125,2020-08-25,91.5051,85.0096,3.4652,3.9106,3.8934,0.3241,0.3286,9858818.3799
126,2020-08-24,97.1223,90.2281,3.6779,4.1507,4.1324,0.3053,0.3096,10464026.537
127,2020-08-21,96.0573,89.2387,3.6375,4.1051,4.087,0.3087,0.313,10349284.47
128,2020-08-20,97.3311,90.4221,3.6858,4.1596,4.1412,0.3047,0.3089,10486524.9815
129,2020-08-19,100.0249,92.9247,3.7878,4.2747,4.2559,0.2965,0.3006,10776754.9155
130,2020-08-18,107.5425,99.9086,4.0725,4.596,4.5757,0.2757,0.2796,11586698.9175
131,2020-08-17,106.4984,98.9386,4.0329,4.5514,4.5313,0.2784,0.2824,11474206.695
132,2020-08-14,104.0134,96.63,3.9388,4.4452,4.4256,0.2851,0.2891,11206475.2055
