,ts_code,trade_date,net_mf_vol,net_mf_amount
0,300033.SZ,20210219,6645,10297.45
1,300033.SZ,20210218,4104,6517.35
2,300033.SZ,20210210,11571,18453.88
3,300033.SZ,20210209,4534,7147.28
4,300033.SZ,20210208,13023,19989.93
5,300033.SZ,20210205,3288,4813.31
6,300033.SZ,20210204,6413,9255.17
7,300033.SZ,20210203,8632,12890.56
8,300033.SZ,20210202,-1850,-2743.34
9,300033.SZ,20210201,59018,80592.35
10,300033.SZ,20210129,-5865,-7028.86
11,300033.SZ,20210128,1413,1794.28
12,300033.SZ,20210127,1926,2453.6
13,300033.SZ,20210126,-12437,-15580.16
14,300033.SZ,20210125,-3282,-4152.21
15,300033.SZ,20210122,-3200,-4060.03
16,300033.SZ,20210121,18096,23661.06
17,300033.SZ,20210120,-5463,-6856.62
18,300033.SZ,20210119,-6548,-8399.78
19,300033.SZ,20210118,14050,18469.38
20,300033.SZ,20210115,-4820,-6189.22
21,300033.SZ,20210114,-2720,-3532.26
22,300033.SZ,20210113,-4732,-6337.19
23,300033.SZ,20210112,37789,49570.57
24,300033.SZ,20210111,-7634,-9586.04
25,300033.SZ,20210108,7765,10039.2
26,300033.SZ,20210107,18576,23991.74
27,300033.SZ,20210106,-4946,-6264.23
28,300033.SZ,20210105,4305,5508.35
29,300033.SZ,20210104,7731,9815.9
30,300033.SZ,20201231,-4311,-5403.54
31,300033.SZ,20201230,10229,12041.38
32,300033.SZ,20201229,1185,1429.14
33,300033.SZ,20201228,-5665,-6682.31
34,300033.SZ,20201225,-1358,-1635.98
35,300033.SZ,20201224,-10438,-12552.55
36,300033.SZ,20201223,-3270,-3950.21
37,300033.SZ,20201222,-18427,-25044.69
38,300033.SZ,20201221,11180,15597.4
39,300033.SZ,20201218,-4968,-6833.23
40,300033.SZ,20201217,10280,14290.07
41,300033.SZ,20201216,-2657,-3635.02
42,300033.SZ,20201215,-1780,-2442.07
43,300033.SZ,20201214,428,605.03
44,300033.SZ,20201211,-16044,-22031.76
45,300033.SZ,20201210,-2249,-3107.69
46,300033.SZ,20201209,-11841,-16619.07
47,300033.SZ,20201208,-1484,-2092.6
48,300033.SZ,20201207,-14027,-19953.77
49,300033.SZ,20201204,-11833,-16997.98
50,300033.SZ,20201203,-60,-53.25
51,300033.SZ,20201202,4095,6110.8
52,300033.SZ,20201201,12345,18225.17
53,300033.SZ,20201130,21529,31642.12
54,300033.SZ,20201127,1847,2622.42
55,300033.SZ,20201126,-5610,-7769.52
56,300033.SZ,20201125,-4444,-6255.8
57,300033.SZ,20201124,-4524,-6413.96
58,300033.SZ,20201123,6640,9798.63
59,300033.SZ,20201120,-1329,-1869.12
60,300033.SZ,20201119,4741,6749.18
61,300033.SZ,20201118,398,565.0
62,300033.SZ,20201117,-583,-808.48
63,300033.SZ,20201116,-1041,-1436.4
64,300033.SZ,20201113,3512,4941.58
65,300033.SZ,20201112,-878,-1198.2
66,300033.SZ,20201111,-10975,-15326.73
67,300033.SZ,20201110,-11155,-16226.14
68,300033.SZ,20201109,8411,12179.43
69,300033.SZ,20201106,-4942,-6865.66
70,300033.SZ,20201105,-1052,-1467.89
71,300033.SZ,20201104,152,236.14
72,300033.SZ,20201103,-2068,-2888.82
73,300033.SZ,20201102,-271,-348.72
74,300033.SZ,20201030,-8605,-11932.82
75,300033.SZ,20201029,4342,6106.06
76,300033.SZ,20201028,-138,-183.16
77,300033.SZ,20201027,459,640.38
78,300033.SZ,20201026,-12504,-17621.16
79,300033.SZ,20201023,-2746,-4320.8
80,300033.SZ,20201022,3117,4976.46
81,300033.SZ,20201021,-626,-960.81
82,300033.SZ,20201020,2068,3269.52
83,300033.SZ,20201019,-7796,-12383.09
84,300033.SZ,20201016,1468,2353.31
85,300033.SZ,20201015,-1733,-2772.21
86,300033.SZ,20201014,799,1323.18
87,300033.SZ,20201013,-6111,-10090.15
88,300033.SZ,20201012,2820,4827.33
89,300033.SZ,20201009,1799,2969.86
90,300033.SZ,20200930,2506,4019.27
91,300033.SZ,20200929,9868,16264.85
92,300033.SZ,20200928,6571,10570.33
93,300033.SZ,20200925,4605,7404.55
94,300033.SZ,20200924,7248,11381.36
95,300033.SZ,20200923,-4014,-6177.67
96,300033.SZ,20200922,-3662,-5572.82
97,300033.SZ,20200921,-13936,-22046.04
98,300033.SZ,20200918,19871,31187.99
99,300033.SZ,20200917,-4329,-6352.58
100,300033.SZ,20200916,-6207,-9378.38
101,300033.SZ,20200915,76,177.38
102,300033.SZ,20200914,-6944,-10414.41
103,300033.SZ,20200911,-7997,-11693.24
104,300033.SZ,20200910,1271,1940.48
105,300033.SZ,20200909,-8859,-13545.05
106,300033.SZ,20200908,176,313.84
107,300033.SZ,20200907,3729,5932.85
108,300033.SZ,20200904,4105,6762.56
109,300033.SZ,20200903,-4889,-8284.96
110,300033.SZ,20200902,17221,30413.29
111,300033.SZ,20200901,11125,18643.59
112,300033.SZ,20200831,13051,22652.04
113,300033.SZ,20200828,21472,34809.84
114,300033.SZ,20200827,541,929.47
115,300033.SZ,20200826,1503,2376.34
116,300033.SZ,20200825,31981,49887.83
117,300033.SZ,20200824,662,1002.1
118,300033.SZ,20200821,-7689,-10668.67
119,300033.SZ,20200820,-1887,-2620.92
120,300033.SZ,20200819,-10777,-15402.95
121,300033.SZ,20200818,-9904,-14394.4
122,300033.SZ,20200817,5484,8198.47
123,300033.SZ,20200814,6158,8700.78
124,300033.SZ,20200813,-26,-10.29
125,300033.SZ,20200812,-466,-527.96
126,300033.SZ,20200811,2412,3464.89
127,300033.SZ,20200810,11593,16492.22
128,300033.SZ,20200807,-15386,-21522.66
129,300033.SZ,20200806,3886,5798.05
130,300033.SZ,20200805,-1902,-2767.5
131,300033.SZ,20200804,-3070,-4463.4
132,300033.SZ,20200803,-799,-994.32
133,300033.SZ,20200731,720,1120.34
134,300033.SZ,20200730,-5925,-8207.79
135,300033.SZ,20200729,9488,13284.28
136,300033.SZ,20200728,-5025,-6887.4
137,300033.SZ,20200727,3188,4513.2
138,300033.SZ,20200724,3010,4220.52
139,300033.SZ,20200723,-2277,-3257.47
140,300033.SZ,20200722,3190,4935.19
141,300033.SZ,20200721,4545,6789.45
142,300033.SZ,20200720,-2198,-3244.47
143,300033.SZ,20200717,4185,6263.4
144,300033.SZ,20200716,-4809,-7762.21
145,300033.SZ,20200715,-4123,-6671.4
146,300033.SZ,20200714,808,1524.77
147,300033.SZ,20200713,15781,27713.1
148,300033.SZ,20200710,-3196,-5484.78
149,300033.SZ,20200709,5529,10448.15
150,300033.SZ,20200708,23350,41224.74
151,300033.SZ,20200707,-4695,-7953.77
152,300033.SZ,20200706,10785,18748.74
153,300033.SZ,20200703,31137,48925.47
154,300033.SZ,20200702,20055,28714.71
155,300033.SZ,20200701,-6971,-9038.02
156,300033.SZ,20200630,16495,21752.3
157,300033.SZ,20200629,-4220,-5334.98
158,300033.SZ,20200624,-2645,-3371.47
159,300033.SZ,20200623,-3533,-4466.92
160,300033.SZ,20200622,7230,9491.68
161,300033.SZ,20200619,39792,49330.99
162,300033.SZ,20200618,6837,8304.22
163,300033.SZ,20200617,-3482,-4145.13
164,300033.SZ,20200616,10721,12958.49
165,300033.SZ,20200615,-1180,-1315.98
166,300033.SZ,20200612,2717,3344.06
167,300033.SZ,20200611,24085,29321.95
168,300033.SZ,20200610,10702,12626.42
169,300033.SZ,20200609,26991,31336.13
170,300033.SZ,20200608,2074,2342.5
171,300033.SZ,20200605,13126,14766.0
172,300033.SZ,20200604,-5898,-6572.79
173,300033.SZ,20200603,-13543,-15325.54
174,300033.SZ,20200602,-20573,-23544.33
175,300033.SZ,20200601,46602,53425.72
176,300033.SZ,20200529,-6435,-6853.72
177,300033.SZ,20200528,-1458,-1457.34
178,300033.SZ,20200527,-9372,-10448.12
179,300033.SZ,20200526,-3140,-3527.55
180,300033.SZ,20200525,-1924,-2138.78
181,300033.SZ,20200522,-5670,-6362.02
182,300033.SZ,20200521,-14533,-16514.32
183,300033.SZ,20200520,-18502,-21452.75
184,300033.SZ,20200519,572,751.41
185,300033.SZ,20200518,1683,2045.72
186,300033.SZ,20200515,-1680,-1945.33
187,300033.SZ,20200514,-8152,-9606.6
188,300033.SZ,20200513,1568,1925.38
189,300033.SZ,20200512,126,180.24
190,300033.SZ,20200511,-17308,-20773.47
191,300033.SZ,20200508,14371,17595.28
192,300033.SZ,20200507,-10976,-13089.53
193,300033.SZ,20200506,1247,1667.71
194,300033.SZ,20200430,32970,39096.75
195,300033.SZ,20200429,9661,11098.11
196,300033.SZ,20200428,-4419,-4925.55
197,300033.SZ,20200427,1536,1756.8
198,300033.SZ,20200424,-7708,-8630.17
199,300033.SZ,20200423,-12946,-14814.51
200,300033.SZ,20200422,-3345,-3814.64
201,300033.SZ,20200421,-14828,-17201.05
202,300033.SZ,20200420,5624,6738.16
203,300033.SZ,20200417,10268,12326.99
204,300033.SZ,20200416,5021,5954.68
205,300033.SZ,20200415,-12995,-15260.97
206,300033.SZ,20200414,4889,5999.19
207,300033.SZ,20200413,8063,9672.52
208,300033.SZ,20200410,-28128,-33045.59
209,300033.SZ,20200409,7665,8486.35
210,300033.SZ,20200408,-6942,-7773.1
211,300033.SZ,20200407,15500,17636.42
212,300033.SZ,20200403,-9833,-10940.9
213,300033.SZ,20200402,14604,16165.28
214,300033.SZ,20200401,-1436,-1509.74
215,300033.SZ,20200331,-8392,-9174.21
216,300033.SZ,20200330,-3704,-3991.94
217,300033.SZ,20200327,-1478,-1589.5
218,300033.SZ,20200326,-3002,-3336.36
219,300033.SZ,20200325,-19890,-22904.36
220,300033.SZ,20200324,16894,18957.69
221,300033.SZ,20200323,-1326,-1382.23
222,300033.SZ,20200320,-4728,-5298.58
223,300033.SZ,20200319,14329,15948.13
224,300033.SZ,20200318,-8357,-9249.67
225,300033.SZ,20200317,10701,11948.01
226,300033.SZ,20200316,-10149,-11452.34
227,300033.SZ,20200313,6442,7663.25
228,300033.SZ,20200312,-480,-521.21
229,300033.SZ,20200311,-12632,-15632.17
230,300033.SZ,20200310,160,482.81
231,300033.SZ,20200309,-15593,-18991.61
232,300033.SZ,20200306,-17943,-23255.29
233,300033.SZ,20200305,11397,15680.39
234,300033.SZ,20200304,271,698.12
235,300033.SZ,20200303,539,1120.48
236,300033.SZ,20200302,6640,8776.7
237,300033.SZ,20200228,-9443,-11830.89
238,300033.SZ,20200227,22373,30334.79
239,300033.SZ,20200226,-4024,-5850.33
240,300033.SZ,20200225,-5684,-7643.47
241,300033.SZ,20200224,14007,20767.18
242,300033.SZ,20200221,-29440,-43461.17
243,300033.SZ,20200220,-14109,-19445.34
244,300033.SZ,20200219,1072,1405.54
245,300033.SZ,20200218,-14843,-18369.43
246,300033.SZ,20200217,30915,37977.02
247,300033.SZ,20200214,4117,4703.62
248,300033.SZ,20200213,5206,5818.91
249,300033.SZ,20200212,30916,33223.39
250,300033.SZ,20200211,-4932,-5134.32
251,300033.SZ,20200210,-3710,-3845.88
252,300033.SZ,20200207,10033,10516.17
253,300033.SZ,20200206,22323,23035.58
254,300033.SZ,20200205,-833,-780.63
255,300033.SZ,20200204,-10700,-10358.03
256,300033.SZ,20200203,19574,19211.85
257,300033.SZ,20200123,-7974,-8479.41
258,300033.SZ,20200122,10810,11920.05
259,300033.SZ,20200121,-17777,-19568.56
260,300033.SZ,20200120,12271,13779.03
261,300033.SZ,20200117,9250,10331.41
262,300033.SZ,20200116,-5601,-6109.16
263,300033.SZ,20200115,5626,6178.25
264,300033.SZ,20200114,-12226,-13617.5
265,300033.SZ,20200113,8703,9837.07
266,300033.SZ,20200110,-2410,-2662.76
267,300033.SZ,20200109,5684,6522.73
268,300033.SZ,20200108,-25202,-27902.3
269,300033.SZ,20200107,6899,8021.72
270,300033.SZ,20200106,15210,17408.22
271,300033.SZ,20200103,-5882,-6529.32
272,300033.SZ,20200102,13316,15258.9
273,300033.SZ,20191231,-11315,-12312.4
274,300033.SZ,20191230,23154,25217.2
275,300033.SZ,20191227,-15569,-16439.13
276,300033.SZ,20191226,14719,15929.27
277,300033.SZ,20191225,-728,-572.64
278,300033.SZ,20191224,4979,5310.86
279,300033.SZ,20191223,-5136,-5383.31
280,300033.SZ,20191220,-497,-331.21
281,300033.SZ,20191219,3981,4526.99
282,300033.SZ,20191218,3344,4014.04
283,300033.SZ,20191217,-340,-198.88
284,300033.SZ,20191216,12088,13887.07
285,300033.SZ,20191213,46533,49173.98
286,300033.SZ,20191212,2940,2997.96
287,300033.SZ,20191211,12919,13147.5
288,300033.SZ,20191210,12052,11913.81
289,300033.SZ,20191209,3661,3697.41
290,300033.SZ,20191206,24762,23984.18
291,300033.SZ,20191205,26255,24412.81
292,300033.SZ,20191204,-3861,-3453.39
293,300033.SZ,20191203,-5901,-5291.84
294,300033.SZ,20191202,3514,3411.6
295,300033.SZ,20191129,4874,4490.2
296,300033.SZ,20191128,-295,-256.66
297,300033.SZ,20191127,-425,-365.05
298,300033.SZ,20191126,-17112,-15663.55
299,300033.SZ,20191125,-11407,-10603.15
300,300033.SZ,20191122,456,519.63
301,300033.SZ,20191121,-6052,-5754.93
302,300033.SZ,20191120,-8127,-7840.41
303,300033.SZ,20191119,14912,14469.25
304,300033.SZ,20191118,15696,14936.45
305,300033.SZ,20191115,-3633,-3382.56
306,300033.SZ,20191114,-1578,-1459.93
307,300033.SZ,20191113,389,380.55
308,300033.SZ,20191112,-383,-327.13
309,300033.SZ,20191111,-1266,-1176.96
310,300033.SZ,20191108,3372,3298.71
311,300033.SZ,20191107,-6543,-6204.43
312,300033.SZ,20191106,-19986,-20146.32
313,300033.SZ,20191105,36252,37310.32
314,300033.SZ,20191104,1106,1141.66
315,300033.SZ,20191101,12954,12774.95
316,300033.SZ,20191031,-4423,-4291.94
317,300033.SZ,20191030,-8055,-7818.47
318,300033.SZ,20191029,-24070,-24322.58
319,300033.SZ,20191028,3470,3717.14
320,300033.SZ,20191025,13419,13408.65
321,300033.SZ,20191024,8006,7879.68
322,300033.SZ,20191023,-14340,-13997.97
323,300033.SZ,20191022,5389,5317.37
324,300033.SZ,20191021,5975,5703.42
325,300033.SZ,20191018,-10440,-10268.21
326,300033.SZ,20191017,-22,3.38
327,300033.SZ,20191016,-9406,-9390.31
328,300033.SZ,20191015,-24687,-25049.67
329,300033.SZ,20191014,4766,5517.91
330,300033.SZ,20191011,16895,17884.08
331,300033.SZ,20191010,10326,10660.43
332,300033.SZ,20191009,4105,4198.91
333,300033.SZ,20191008,7548,7718.04
334,300033.SZ,20190930,-19665,-19717.33
335,300033.SZ,20190927,-2708,-2677.07
336,300033.SZ,20190926,-1780,-1771.03
337,300033.SZ,20190925,-28328,-30356.14
338,300033.SZ,20190924,1685,2006.13
339,300033.SZ,20190923,7006,7947.03
340,300033.SZ,20190920,-13220,-14471.07
341,300033.SZ,20190919,13402,15005.2
342,300033.SZ,20190918,-29891,-32983.5
343,300033.SZ,20190917,-3180,-3489.15
344,300033.SZ,20190916,-17743,-20867.41
345,300033.SZ,20190912,16273,19598.83
346,300033.SZ,20190911,-11423,-13315.32
347,300033.SZ,20190910,3117,4188.28
348,300033.SZ,20190909,5231,6978.63
349,300033.SZ,20190906,22508,27644.68
