,ts_code,trade_date,net_mf_vol,net_mf_amount
0,600919.SH,20210219,290405,16977.17
1,600919.SH,20210218,310858,17962.15
2,600919.SH,20210210,-188516,-10685.6
3,600919.SH,20210209,-155626,-8824.19
4,600919.SH,20210208,-122128,-6954.13
5,600919.SH,20210205,495797,28471.4
6,600919.SH,20210204,261353,14725.04
7,600919.SH,20210203,145472,8159.64
8,600919.SH,20210202,-61514,-3375.24
9,600919.SH,20210201,127875,7189.86
10,600919.SH,20210129,53234,2973.87
11,600919.SH,20210128,-166804,-9099.25
12,600919.SH,20210127,143878,8054.88
13,600919.SH,20210126,162195,8945.25
14,600919.SH,20210125,-89776,-4829.41
15,600919.SH,20210122,-310137,-16921.31
16,600919.SH,20210121,-171763,-9479.37
17,600919.SH,20210120,-206968,-11456.38
18,600919.SH,20210119,156703,8872.98
19,600919.SH,20210118,-170619,-9353.03
20,600919.SH,20210115,62617,3572.04
21,600919.SH,20210114,30111,1683.2
22,600919.SH,20210113,-22775,-1183.88
23,600919.SH,20210112,-181859,-9665.12
24,600919.SH,20210111,8344,476.41
25,600919.SH,20210108,2329,147.9
26,600919.SH,20210107,-108568,-5825.91
27,600919.SH,20210106,-31108,-1648.02
28,600919.SH,20210105,-112025,-6006.46
29,600919.SH,20210104,-30670,-1630.67
30,600919.SH,20201231,92516,5054.63
31,600919.SH,20201230,-79202,-4222.81
32,600919.SH,20201229,-72846,-3905.42
33,600919.SH,20201228,-45495,-2419.11
34,600919.SH,20201225,26059,1410.91
35,600919.SH,20201224,-75920,-4067.14
36,600919.SH,20201223,-271037,-14720.83
37,600919.SH,20201222,-216552,-11973.05
38,600919.SH,20201221,10117,593.51
39,600919.SH,20201218,-7469,-374.43
40,600919.SH,20201217,-75831,-4163.61
41,600919.SH,20201208,-658791,-39269.56
42,600919.SH,20201207,-514043,-31473.99
43,600919.SH,20201204,-128210,-8003.43
44,600919.SH,20201203,133454,8557.98
45,600919.SH,20201202,-49697,-3115.48
46,600919.SH,20201201,182718,11715.18
47,600919.SH,20201130,7076,566.75
48,600919.SH,20201127,328199,20257.02
49,600919.SH,20201126,-89464,-5410.48
50,600919.SH,20201125,-71740,-4349.71
51,600919.SH,20201124,5312,341.63
52,600919.SH,20201123,149435,9177.83
53,600919.SH,20201120,-4937,-293.41
54,600919.SH,20201119,19248,1192.86
55,600919.SH,20201118,188709,11526.36
56,600919.SH,20201117,67117,4060.0
57,600919.SH,20201116,-33561,-2009.28
58,600919.SH,20201113,-301960,-18009.62
59,600919.SH,20201112,-93428,-5639.4
60,600919.SH,20201111,18282,1135.52
61,600919.SH,20201110,-89144,-5400.69
62,600919.SH,20201109,74503,4528.19
63,600919.SH,20201106,-19326,-1143.51
64,600919.SH,20201105,-5047,-282.64
65,600919.SH,20201104,-61632,-3684.69
66,600919.SH,20201103,-82795,-4945.69
67,600919.SH,20201102,-76314,-4551.09
68,600919.SH,20201030,-142966,-8619.24
69,600919.SH,20201029,-23660,-1407.66
70,600919.SH,20201028,-95821,-5857.31
71,600919.SH,20201027,-94147,-5810.73
72,600919.SH,20201026,-186757,-11730.24
73,600919.SH,20201023,112482,7268.87
74,600919.SH,20201022,-101351,-6394.93
75,600919.SH,20201021,93380,5978.94
76,600919.SH,20201020,-33527,-2088.6
77,600919.SH,20201019,61769,4029.19
78,600919.SH,20201016,39812,2580.12
79,600919.SH,20201015,27471,1756.96
80,600919.SH,20201014,5036,327.9
81,600919.SH,20201013,26213,1639.73
82,600919.SH,20201012,59473,3706.02
83,600919.SH,20201009,-78435,-4778.26
84,600919.SH,20200930,-191587,-11719.48
85,600919.SH,20200929,-94197,-5862.23
86,600919.SH,20200928,-10688,-658.19
87,600919.SH,20200925,28,12.19
88,600919.SH,20200924,-57660,-3617.77
89,600919.SH,20200923,-21313,-1338.94
90,600919.SH,20200922,-105493,-6723.98
91,600919.SH,20200921,-64678,-4211.15
92,600919.SH,20200918,229451,15027.78
93,600919.SH,20200917,-1577,-77.29
94,600919.SH,20200916,213732,13905.96
95,600919.SH,20200915,143427,9183.14
96,600919.SH,20200914,-55910,-3500.1
97,600919.SH,20200911,-187276,-11909.49
98,600919.SH,20200910,11495,778.73
99,600919.SH,20200909,3555,261.82
100,600919.SH,20200908,117391,7735.27
101,600919.SH,20200907,58161,3823.55
102,600919.SH,20200904,123495,7991.8
103,600919.SH,20200903,22749,1480.4
104,600919.SH,20200902,459,56.15
105,600919.SH,20200901,110495,7190.08
106,600919.SH,20200831,-34979,-2202.0
107,600919.SH,20200828,191591,12314.56
108,600919.SH,20200827,59416,3746.6
109,600919.SH,20200826,-102999,-6444.0
110,600919.SH,20200825,-133696,-8478.11
111,600919.SH,20200824,-14299,-894.44
112,600919.SH,20200821,2005,147.3
113,600919.SH,20200820,112231,7313.15
114,600919.SH,20200819,222776,14632.29
115,600919.SH,20200818,-133243,-8555.91
116,600919.SH,20200817,200485,13338.76
117,600919.SH,20200814,403453,25721.75
118,600919.SH,20200813,20983,1320.7
119,600919.SH,20200812,-6612,-389.32
120,600919.SH,20200811,27232,1761.11
121,600919.SH,20200810,77386,4798.13
122,600919.SH,20200807,-82749,-5049.82
123,600919.SH,20200806,-17291,-1044.77
124,600919.SH,20200805,-113258,-6952.99
125,600919.SH,20200804,159729,9971.78
126,600919.SH,20200803,-46889,-2831.0
127,600919.SH,20200731,31428,1925.21
128,600919.SH,20200730,-57102,-3432.69
129,600919.SH,20200729,70666,4274.93
130,600919.SH,20200728,-42566,-2539.73
131,600919.SH,20200727,20246,1223.54
132,600919.SH,20200724,-133572,-8049.17
133,600919.SH,20200723,-103381,-6319.67
134,600919.SH,20200722,62845,3962.21
135,600919.SH,20200721,-97774,-6035.68
136,600919.SH,20200720,19085,1221.46
137,600919.SH,20200717,-154649,-9476.28
138,600919.SH,20200716,22446,1509.42
139,600919.SH,20200715,-74410,-4602.03
140,600919.SH,20200714,-148373,-9361.74
141,600919.SH,20200713,54832,3616.99
142,600919.SH,20200710,-434152,-27834.02
143,600919.SH,20200709,-188963,-12484.27
144,600919.SH,20200708,42210,2941.51
145,600919.SH,20200707,-154234,-10136.4
146,600919.SH,20200706,387759,25038.38
147,600919.SH,20200703,-46656,-2703.46
148,600919.SH,20200702,160358,9472.67
149,600919.SH,20200701,55102,3180.47
150,600919.SH,20200630,-29679,-1671.37
151,600919.SH,20200629,-29967,-1691.19
152,600919.SH,20200624,20676,1191.36
153,600919.SH,20200623,-82375,-4879.93
154,600919.SH,20200622,74324,4445.17
155,600919.SH,20200619,25338,1511.74
156,600919.SH,20200618,7084,427.7
157,600919.SH,20200617,-23013,-1351.42
158,600919.SH,20200616,-18679,-1094.65
159,600919.SH,20200615,-77024,-4537.93
160,600919.SH,20200612,22517,1338.1
161,600919.SH,20200611,-48946,-2886.87
162,600919.SH,20200610,-63576,-3775.23
163,600919.SH,20200609,-3793,-219.53
164,600919.SH,20200608,-13282,-785.62
165,600919.SH,20200605,-26839,-1587.97
166,600919.SH,20200604,-83310,-4964.46
167,600919.SH,20200603,-21089,-1252.2
168,600919.SH,20200602,-22914,-1366.76
169,600919.SH,20200601,2000,129.18
170,600919.SH,20200529,-34337,-2033.63
171,600919.SH,20200528,32361,1947.27
172,600919.SH,20200527,52242,3090.21
173,600919.SH,20200526,-40129,-2338.45
174,600919.SH,20200525,-23361,-1352.4
175,600919.SH,20200522,-63826,-3750.34
176,600919.SH,20200521,-71484,-4254.71
177,600919.SH,20200520,-27919,-1643.03
178,600919.SH,20200519,-94412,-5639.57
179,600919.SH,20200518,-30576,-1815.49
180,600919.SH,20200515,13697,821.09
181,600919.SH,20200514,-36016,-2125.1
182,600919.SH,20200513,-66570,-3953.29
183,600919.SH,20200512,-80871,-4841.6
184,600919.SH,20200511,-73796,-4454.94
185,600919.SH,20200508,37054,2252.79
186,600919.SH,20200507,-54579,-3261.03
187,600919.SH,20200506,-45783,-2718.76
188,600919.SH,20200430,-173,15.93
189,600919.SH,20200429,375863,22407.07
190,600919.SH,20200428,-75922,-4353.78
191,600919.SH,20200427,41120,2390.08
192,600919.SH,20200424,-36620,-2094.99
193,600919.SH,20200423,-121408,-7027.06
194,600919.SH,20200422,-83299,-4839.4
195,600919.SH,20200421,-102633,-6008.93
196,600919.SH,20200420,-41755,-2456.36
197,600919.SH,20200417,-36344,-2130.18
198,600919.SH,20200416,-26259,-1538.89
199,600919.SH,20200415,-130564,-7713.58
200,600919.SH,20200414,-79118,-4676.73
201,600919.SH,20200413,-63139,-3735.45
202,600919.SH,20200410,31710,1911.11
203,600919.SH,20200409,-3885,-227.43
204,600919.SH,20200408,-51541,-3084.85
205,600919.SH,20200407,-11250,-666.85
206,600919.SH,20200403,-4498,-261.22
207,600919.SH,20200402,-127323,-7585.09
208,600919.SH,20200401,-38518,-2303.3
209,600919.SH,20200331,-57112,-3437.49
210,600919.SH,20200330,-13004,-777.86
211,600919.SH,20200327,21877,1356.25
212,600919.SH,20200326,24845,1528.5
213,600919.SH,20200325,-15595,-940.08
214,600919.SH,20200324,65259,3925.25
215,600919.SH,20200323,-44152,-2604.27
216,600919.SH,20200320,11333,697.95
217,600919.SH,20200319,30811,1877.45
218,600919.SH,20200318,-97850,-5958.69
219,600919.SH,20200317,103326,6362.18
220,600919.SH,20200316,-43521,-2667.65
221,600919.SH,20200313,513,90.51
222,600919.SH,20200312,-107622,-6841.38
223,600919.SH,20200311,-105904,-6810.05
224,600919.SH,20200310,77313,5002.12
225,600919.SH,20200309,-126939,-8153.6
226,600919.SH,20200306,-108332,-7111.16
227,600919.SH,20200305,45387,3023.1
228,600919.SH,20200304,-18508,-1190.09
229,600919.SH,20200303,21250,1402.13
230,600919.SH,20200302,8631,577.19
231,600919.SH,20200228,-160419,-10363.76
232,600919.SH,20200227,-24763,-1614.11
233,600919.SH,20200226,-45441,-2983.64
234,600919.SH,20200225,-92526,-6039.39
235,600919.SH,20200224,-14304,-934.44
236,600919.SH,20200221,-76435,-5097.34
237,600919.SH,20200220,54646,3679.96
238,600919.SH,20200219,-55489,-3660.18
239,600919.SH,20200218,-71459,-4725.3
240,600919.SH,20200217,74283,4935.13
241,600919.SH,20200214,-3159,-203.79
242,600919.SH,20200213,-27960,-1823.86
243,600919.SH,20200212,37543,2480.79
244,600919.SH,20200211,18179,1206.01
245,600919.SH,20200210,-13379,-863.24
246,600919.SH,20200207,-64701,-4186.56
247,600919.SH,20200206,-35789,-2318.39
248,600919.SH,20200205,-86945,-5689.34
249,600919.SH,20200204,21123,1414.7
250,600919.SH,20200203,-50715,-3161.79
251,600919.SH,20200123,-114195,-8003.86
252,600919.SH,20200122,-7952,-530.97
253,600919.SH,20200121,-15204,-1067.57
254,600919.SH,20200120,4549,338.38
255,600919.SH,20200117,-77137,-5464.48
256,600919.SH,20200116,-55261,-3927.98
257,600919.SH,20200115,-79069,-5637.5
258,600919.SH,20200114,-22992,-1632.52
259,600919.SH,20200113,51153,3689.45
260,600919.SH,20200110,-29813,-2130.36
261,600919.SH,20200109,-13421,-938.98
262,600919.SH,20200108,-9380,-657.38
263,600919.SH,20200107,128793,9311.64
264,600919.SH,20200106,-152076,-10920.16
265,600919.SH,20200103,-59176,-4284.58
266,600919.SH,20200102,30399,2244.51
267,600919.SH,20191231,19453,1416.97
268,600919.SH,20191230,17623,1288.34
269,600919.SH,20191227,18265,1334.37
270,600919.SH,20191226,35536,2556.13
