,ts_code,trade_date,net_mf_vol,net_mf_amount
152,603288.SH,20200706,-3614,-4466.38
153,603288.SH,20200703,-526,-623.8
154,603288.SH,20200702,-3250,-3863.72
155,603288.SH,20200701,-2648,-3255.01
156,603288.SH,20200630,-403,-486.0
157,603288.SH,20200629,1848,2305.55
158,603288.SH,20200624,1174,1464.95
159,603288.SH,20200623,11249,13534.12
160,603288.SH,20200622,-8569,-10106.59
161,603288.SH,20200619,24806,29562.6
162,603288.SH,20200618,11396,13273.82
163,603288.SH,20200617,-8901,-10147.02
164,603288.SH,20200616,18281,21175.32
165,603288.SH,20200615,-3411,-3855.97
166,603288.SH,20200612,3356,3859.23
167,603288.SH,20200611,-2318,-2601.56
168,603288.SH,20200610,4970,5724.8
169,603288.SH,20200609,-1262,-1407.89
170,603288.SH,20200608,-13021,-14814.43
171,603288.SH,20200605,9937,11507.06
172,603288.SH,20200604,-941,-1054.55
173,603288.SH,20200603,3610,4146.95
174,603288.SH,20200602,-5689,-6511.58
175,603288.SH,20200601,-3219,-3646.82
176,603288.SH,20200529,9082,10446.74
177,603288.SH,20200528,643,735.74
178,603288.SH,20200527,-7558,-8596.07
179,603288.SH,20200526,2277,2661.25
180,603288.SH,20200525,6530,7545.16
181,603288.SH,20200522,-9107,-10357.5
182,603288.SH,20200521,13208,15507.51
183,603288.SH,20200520,-2452,-2778.83
184,603288.SH,20200519,-2334,-2640.25
185,603288.SH,20200518,5202,5861.42
186,603288.SH,20200515,-2589,-2845.83
187,603288.SH,20200514,-8072,-8926.19
188,603288.SH,20200513,5675,6415.12
189,603288.SH,20200512,5151,5712.79
190,603288.SH,20200511,219,364.6
191,603288.SH,20200508,1339,1480.34
192,603288.SH,20200507,-6383,-6836.82
193,603288.SH,20200506,8956,11271.23
194,603288.SH,20200430,-12216,-15072.61
195,603288.SH,20200429,-10496,-13160.99
196,603288.SH,20200428,3708,4729.76
197,603288.SH,20200427,-4925,-6168.44
198,603288.SH,20200424,532,693.6
199,603288.SH,20200423,-3731,-4605.67
200,603288.SH,20200422,-1389,-1732.99
201,603288.SH,20200421,10,21.28
202,603288.SH,20200420,-7276,-9086.07
203,603288.SH,20200417,2625,3362.51
204,603288.SH,20200416,2473,3112.3
205,603288.SH,20200415,-4621,-5860.95
206,603288.SH,20200414,-1269,-1620.21
207,603288.SH,20200413,770,967.78
208,603288.SH,20200410,393,522.05
209,603288.SH,20200409,-683,-856.0
210,603288.SH,20200408,-10611,-13587.98
211,603288.SH,20200407,-2444,-3131.3
212,603288.SH,20200403,12242,15551.6
213,603288.SH,20200402,7887,9631.54
214,603288.SH,20200401,1403,1705.54
215,603288.SH,20200331,7119,8495.42
216,603288.SH,20200330,8458,9763.94
217,603288.SH,20200327,7297,8440.23
218,603288.SH,20200326,18484,20232.67
219,603288.SH,20200325,3567,3757.21
220,603288.SH,20200324,11464,11962.75
221,603288.SH,20200323,609,521.64
222,603288.SH,20200320,15477,14987.43
223,603288.SH,20200319,-9010,-8459.07
224,603288.SH,20200318,9435,9293.57
225,603288.SH,20200317,7545,7192.4
226,603288.SH,20200316,-4903,-4822.23
227,603288.SH,20200313,-8270,-8234.63
228,603288.SH,20200312,744,760.48
229,603288.SH,20200311,2632,2809.02
230,603288.SH,20200310,9117,9461.53
231,603288.SH,20200309,-9797,-10049.97
232,603288.SH,20200306,-1328,-1395.23
233,603288.SH,20200305,8326,8841.95
234,603288.SH,20200304,3215,3366.4
235,603288.SH,20200303,6575,6820.3
236,603288.SH,20200302,4008,4106.9
237,603288.SH,20200228,-6859,-6879.92
238,603288.SH,20200227,2428,2500.3
239,603288.SH,20200226,-2094,-2105.69
240,603288.SH,20200225,-5978,-6133.8
241,603288.SH,20200224,-324,-322.68
242,603288.SH,20200221,-4270,-4465.2
243,603288.SH,20200220,7197,7596.41
244,603288.SH,20200219,2950,3062.53
245,603288.SH,20200218,-10291,-10649.15
246,603288.SH,20200217,288,308.91
247,603288.SH,20200214,-1337,-1383.26
248,603288.SH,20200213,-4253,-4460.07
249,603288.SH,20200212,-1304,-1388.69
250,603288.SH,20200211,-57,-65.5
251,603288.SH,20200210,-3037,-3213.34
252,603288.SH,20200207,5565,5902.02
253,603288.SH,20200206,1412,1495.01
254,603288.SH,20200205,-10132,-10313.44
255,603288.SH,20200204,-6525,-6650.02
256,603288.SH,20200203,12301,12108.81
257,603288.SH,20200123,-9418,-10091.24
258,603288.SH,20200122,-4434,-4862.39
259,603288.SH,20200121,2148,2444.81
260,603288.SH,20200120,2513,2794.85
261,603288.SH,20200117,5829,6383.07
262,603288.SH,20200116,-37,-8.8
263,603288.SH,20200115,3912,4192.28
264,603288.SH,20200114,-8239,-8777.85
265,603288.SH,20200113,-412,-440.64
266,603288.SH,20200110,1716,1871.11
267,603288.SH,20200109,8079,8691.35
268,603288.SH,20200108,2804,2971.71
269,603288.SH,20200107,8177,8618.72
270,603288.SH,20200106,-4192,-4347.42
271,603288.SH,20200103,-14820,-15628.81
272,603288.SH,20200102,1600,1779.81
273,603288.SH,20191231,-2551,-2735.03
274,603288.SH,20191230,7198,7734.03
275,603288.SH,20191227,2876,3058.21
276,603288.SH,20191226,-1257,-1321.59
277,603288.SH,20191225,-2652,-2805.48
278,603288.SH,20191224,540,590.1
279,603288.SH,20191223,446,477.67
280,603288.SH,20191220,44,52.81
281,603288.SH,20191219,553,582.46
282,603288.SH,20191218,-5635,-6000.49
283,603288.SH,20191217,943,1033.24
284,603288.SH,20191216,-4186,-4451.21
285,603288.SH,20191213,3572,3838.26
286,603288.SH,20191212,-1042,-1103.02
287,603288.SH,20191211,-1955,-2069.22
288,603288.SH,20191210,-422,-443.98
289,603288.SH,20191209,-5686,-6162.5
290,603288.SH,20191206,2313,2567.17
291,603288.SH,20191205,4948,5410.82
292,603288.SH,20191204,-3316,-3532.58
293,603288.SH,20191203,-973,-1053.1
294,603288.SH,20191202,-391,-421.98
295,603288.SH,20191129,-1881,-2056.65
296,603288.SH,20191128,-829,-903.32
297,603288.SH,20191127,-2225,-2437.33
298,603288.SH,20191126,9806,10879.85
299,603288.SH,20191125,-684,-761.42
300,603288.SH,20191122,-12143,-13442.21
301,603288.SH,20191121,-6098,-6870.16
302,603288.SH,20191120,817,944.22
303,603288.SH,20191119,-1551,-1755.57
304,603288.SH,20191118,-1975,-2212.99
305,603288.SH,20191115,-1411,-1586.17
306,603288.SH,20191114,295,345.27
307,603288.SH,20191113,-903,-1013.69
308,603288.SH,20191112,3394,3823.62
309,603288.SH,20191111,2777,3184.64
310,603288.SH,20191108,-2499,-2851.39
311,603288.SH,20191107,1520,1769.28
312,603288.SH,20191106,3069,3573.05
313,603288.SH,20191105,8068,9315.35
314,603288.SH,20191104,9775,11225.21
315,603288.SH,20191101,818,921.89
316,603288.SH,20191031,2300,2578.23
317,603288.SH,20191030,4602,5085.14
318,603288.SH,20191029,4457,4855.6
319,603288.SH,20191028,6081,6661.99
320,603288.SH,20191025,11955,12693.89
321,603288.SH,20191024,-946,-1002.98
322,603288.SH,20191023,-2262,-2419.03
323,603288.SH,20191022,4092,4421.41
324,603288.SH,20191021,1466,1597.31
325,603288.SH,20191018,-4753,-5115.08
326,603288.SH,20191017,-6307,-6823.45
327,603288.SH,20191016,-578,-627.22
328,603288.SH,20191015,1301,1445.64
329,603288.SH,20191014,-600,-636.58
330,603288.SH,20191011,4523,4996.69
331,603288.SH,20191010,-344,-342.34
332,603288.SH,20191009,1183,1325.03
333,603288.SH,20191008,-1839,-1968.76
334,603288.SH,20190930,967,1075.01
335,603288.SH,20190927,1181,1321.8
336,603288.SH,20190926,613,696.03
337,603288.SH,20190925,990,1101.39
338,603288.SH,20190924,3441,3855.37
339,603288.SH,20190923,-5,-3.96
340,603288.SH,20190920,3671,4102.11
341,603288.SH,20190919,-5412,-5999.91
342,603288.SH,20190918,9416,10568.61
343,603288.SH,20190917,-2460,-2663.23
344,603288.SH,20190916,584,650.97
345,603288.SH,20190912,4035,4476.4
346,603288.SH,20190911,-3089,-3398.29
347,603288.SH,20190910,-1538,-1703.52
348,603288.SH,20190909,-827,-918.77
349,603288.SH,20190906,-1447,-1600.78
350,603288.SH,20190905,-6604,-7386.35
351,603288.SH,20190904,-3574,-4008.67
352,603288.SH,20190903,-5362,-6076.35
353,603288.SH,20190902,-10115,-11501.86
354,603288.SH,20190830,25679,28869.18
355,603288.SH,20190829,436,484.73
356,603288.SH,20190828,-1367,-1467.9
357,603288.SH,20190827,5481,5950.44
358,603288.SH,20190826,-4453,-4731.01
359,603288.SH,20190823,10978,11791.6
360,603288.SH,20190822,4566,4828.96
361,603288.SH,20190821,3496,3648.31
362,603288.SH,20190820,1330,1392.46
363,603288.SH,20190819,3234,3329.8
364,603288.SH,20190816,22021,22482.25
365,603288.SH,20190815,591,591.08
366,603288.SH,20190814,3511,3487.63
367,603288.SH,20190813,4987,4964.85
368,603288.SH,20190812,-1095,-1071.92
369,603288.SH,20190809,635,637.74
370,603288.SH,20190808,2111,2099.73
371,603288.SH,20190807,3837,3769.32
372,603288.SH,20190806,5459,5152.88
373,603288.SH,20190805,56,67.76
374,603288.SH,20190802,2829,2767.52
375,603288.SH,20190801,-8124,-7962.31
376,603288.SH,20190731,-1757,-1750.26
377,603288.SH,20190730,-4121,-4147.11
378,603288.SH,20190729,1168,1190.92
379,603288.SH,20190726,883,897.41
380,603288.SH,20190725,1669,1701.48
381,603288.SH,20190724,-6656,-6655.26
382,603288.SH,20190723,-3429,-3435.71
383,603288.SH,20190722,3198,3271.76
384,603288.SH,20190719,5801,5883.72
385,603288.SH,20190718,3860,3882.49
386,603288.SH,20190717,2517,2529.64
387,603288.SH,20190716,-14161,-14194.32
388,603288.SH,20190715,-4314,-4353.27
389,603288.SH,20190712,-142,-133.8
390,603288.SH,20190711,-3367,-3449.07
391,603288.SH,20190710,-2561,-2616.08
392,603288.SH,20190709,1593,1632.89
393,603288.SH,20190708,-5771,-5911.29
394,603288.SH,20190705,14085,14690.11
395,603288.SH,20190704,-15373,-15790.21
396,603288.SH,20190703,-6321,-6720.7
397,603288.SH,20190702,-3290,-3503.63
398,603288.SH,20190701,14650,15794.93
399,603288.SH,20190628,2180,2303.05
400,603288.SH,20190627,7265,7614.95
401,603288.SH,20190626,-2497,-2561.0
402,603288.SH,20190625,841,916.2
403,603288.SH,20190624,4734,4942.35
404,603288.SH,20190621,-576,-592.04
405,603288.SH,20190620,18892,19483.75
406,603288.SH,20190619,-2146,-2126.88
407,603288.SH,20190618,799,821.16
408,603288.SH,20190617,-4855,-4902.08
409,603288.SH,20190614,-6049,-6178.68
410,603288.SH,20190613,1715,1819.1
411,603288.SH,20190612,-4105,-4223.09
412,603288.SH,20190611,8462,8878.3
413,603288.SH,20190610,13999,14333.26
414,603288.SH,20190606,-5057,-5006.83
415,603288.SH,20190605,-2825,-2837.54
416,603288.SH,20190604,-3338,-3311.56
417,603288.SH,20190603,10914,11173.04
418,603288.SH,20190531,2398,2439.16
419,603288.SH,20190530,12234,12230.29
420,603288.SH,20190529,893,885.85
421,603288.SH,20190528,24260,23558.54
422,603288.SH,20190527,3557,3334.21
423,603288.SH,20190524,5120,4773.67
424,603288.SH,20190523,970,949.55
425,603288.SH,20190522,2424,2284.87
426,603288.SH,20190521,-5460,-5056.44
427,603288.SH,20190520,-4376,-4025.17
428,603288.SH,20190517,1564,1550.36
429,603288.SH,20190516,-124,-55.13
430,603288.SH,20190515,11808,11073.52
431,603288.SH,20190514,-4928,-4452.0
432,603288.SH,20190513,-1356,-1179.26
433,603288.SH,20190510,689,667.04
434,603288.SH,20190509,-2588,-2288.76
435,603288.SH,20190508,-2150,-1960.45
436,603288.SH,20190507,16462,15065.48
437,603288.SH,20190506,1597,1446.64
438,603288.SH,20190430,1346,1184.64
439,603288.SH,20190429,14305,12505.63
440,603288.SH,20190426,-1768,-1485.51
