,ts_code,trade_date,net_mf_vol,net_mf_amount
0,600036.SH,20210219,34917,19758.85
1,600036.SH,20210218,135615,76387.4
2,600036.SH,20210210,-9293,-4931.76
3,600036.SH,20210209,-30891,-16740.56
4,600036.SH,20210208,107591,59477.01
5,600036.SH,20210205,169253,93323.44
6,600036.SH,20210204,70349,37728.48
7,600036.SH,20210203,50273,27041.4
8,600036.SH,20210202,-73440,-38175.18
9,600036.SH,20210201,54689,28192.33
10,600036.SH,20210129,31190,16377.12
11,600036.SH,20210128,-10104,-5086.16
12,600036.SH,20210127,39011,20699.57
13,600036.SH,20210126,-3787,-1866.13
14,600036.SH,20210125,-57866,-29432.45
15,600036.SH,20210122,-84280,-43472.56
16,600036.SH,20210121,61247,32400.35
17,600036.SH,20210120,35131,18565.6
18,600036.SH,20210119,67545,35467.24
19,600036.SH,20210118,139156,72796.5
20,600036.SH,20210115,226397,117637.9
21,600036.SH,20210114,15343,8105.75
22,600036.SH,20210113,-76347,-37677.97
23,600036.SH,20210112,64514,32063.71
24,600036.SH,20210111,209079,101328.64
25,600036.SH,20210108,-189625,-87287.9
26,600036.SH,20210107,73301,33595.47
27,600036.SH,20210106,154841,67442.97
28,600036.SH,20210105,-362548,-151398.46
29,600036.SH,20210104,-198904,-84021.64
30,600036.SH,20201231,57548,25360.93
31,600036.SH,20201230,-7613,-3026.9
32,600036.SH,20201229,19315,8415.88
33,600036.SH,20201228,-5690,-2153.44
34,600036.SH,20201225,70788,30107.44
35,600036.SH,20201224,21689,9349.2
36,600036.SH,20201223,108408,45886.92
37,600036.SH,20201222,-179254,-75669.62
38,600036.SH,20201221,451,367.7
39,600036.SH,20201218,-42190,-18169.99
40,600036.SH,20201217,26356,11667.04
41,600036.SH,20201216,10739,4790.47
42,600036.SH,20201215,24423,10883.95
43,600036.SH,20201214,136314,60481.58
44,600036.SH,20201211,61606,26558.27
45,600036.SH,20201210,10970,4958.94
46,600036.SH,20201209,-26264,-11615.78
47,600036.SH,20201208,-26250,-11534.53
48,600036.SH,20201207,-127078,-56453.68
49,600036.SH,20201204,-22486,-10134.22
50,600036.SH,20201203,-30727,-14041.88
51,600036.SH,20201202,80284,37479.74
52,600036.SH,20201201,144770,66237.71
53,600036.SH,20201130,-109133,-49146.25
54,600036.SH,20201127,58190,26639.94
55,600036.SH,20201126,105381,47545.2
56,600036.SH,20201125,-40671,-17988.26
57,600036.SH,20201124,9655,4404.89
58,600036.SH,20201123,25242,11652.8
59,600036.SH,20201120,22273,10047.8
60,600036.SH,20201119,18676,8674.33
61,600036.SH,20201118,109961,49016.19
62,600036.SH,20201117,18537,8203.1
63,600036.SH,20201116,28798,12392.04
64,600036.SH,20201113,-18662,-7837.76
65,600036.SH,20201112,-95026,-41387.11
66,600036.SH,20201111,34911,15457.48
67,600036.SH,20201110,18585,8337.86
68,600036.SH,20201109,-21406,-9146.89
69,600036.SH,20201106,-22749,-9581.07
70,600036.SH,20201105,-47206,-20117.42
71,600036.SH,20201104,217619,92856.01
72,600036.SH,20201103,208493,87216.68
73,600036.SH,20201102,38131,15465.75
74,600036.SH,20201030,-1219,-371.62
75,600036.SH,20201029,82689,33329.46
76,600036.SH,20201028,-51305,-20469.08
77,600036.SH,20201027,58815,24061.92
78,600036.SH,20201026,11420,4726.5
79,600036.SH,20201023,119408,50002.85
80,600036.SH,20201022,16697,7183.14
81,600036.SH,20201021,94808,38457.1
82,600036.SH,20201020,26554,10681.21
83,600036.SH,20201019,73414,30200.78
84,600036.SH,20201016,353247,140647.76
85,600036.SH,20201015,240706,93609.41
86,600036.SH,20201014,38194,14559.04
87,600036.SH,20201013,52398,19838.95
88,600036.SH,20201012,54046,20177.94
89,600036.SH,20201009,-19122,-6847.2
90,600036.SH,20200930,-123165,-44332.48
91,600036.SH,20200929,-147949,-54245.13
92,600036.SH,20200928,-5402,-1964.17
93,600036.SH,20200925,44040,16457.9
94,600036.SH,20200924,-90613,-33538.82
95,600036.SH,20200923,-58485,-21956.67
96,600036.SH,20200922,-32585,-12125.89
97,600036.SH,20200921,-25705,-9912.07
98,600036.SH,20200918,312453,120782.39
99,600036.SH,20200917,48221,18536.21
100,600036.SH,20200916,80432,30734.66
101,600036.SH,20200915,118677,44849.65
102,600036.SH,20200914,-7073,-2561.16
103,600036.SH,20200911,29347,11273.59
104,600036.SH,20200910,46989,17840.63
105,600036.SH,20200909,13135,5113.24
106,600036.SH,20200908,61133,23006.56
107,600036.SH,20200907,63442,23814.43
108,600036.SH,20200904,1757,718.34
109,600036.SH,20200903,-55808,-20571.65
110,600036.SH,20200902,-125950,-46653.55
111,600036.SH,20200901,-42146,-15582.81
112,600036.SH,20200831,-82058,-31145.95
113,600036.SH,20200828,217820,82574.77
114,600036.SH,20200827,-30267,-11076.37
115,600036.SH,20200826,-176,6.87
116,600036.SH,20200825,-20335,-7501.64
117,600036.SH,20200824,-18049,-6541.72
118,600036.SH,20200821,-41817,-15618.36
119,600036.SH,20200820,-71447,-26803.96
