,ts_code,trade_date,net_mf_vol,net_mf_amount
0,000100.SZ,20210219,22174,3725.08
1,000100.SZ,20210218,120384,11869.74
2,000100.SZ,20210210,-128549,-11363.36
3,000100.SZ,20210209,1116545,100442.63
4,000100.SZ,20210208,128524,12207.48
5,000100.SZ,20210205,-1806844,-157315.22
6,000100.SZ,20210204,179513,18429.37
7,000100.SZ,20210203,-610906,-55990.29
8,000100.SZ,20210202,512528,48125.23
9,000100.SZ,20210201,710890,64054.54
10,000100.SZ,20210129,-444395,-37884.65
11,000100.SZ,20210128,-922432,-83246.23
12,000100.SZ,20210127,-139173,-12024.81
13,000100.SZ,20210126,-484498,-44797.37
14,000100.SZ,20210125,-883133,-83606.13
15,000100.SZ,20210122,51015,6391.46
16,000100.SZ,20210121,1565451,153480.91
17,000100.SZ,20210120,392278,36027.62
18,000100.SZ,20210119,-2351247,-220583.4
19,000100.SZ,20210118,1062502,103445.49
20,000100.SZ,20210115,136258,14783.11
21,000100.SZ,20210114,273310,26965.15
22,000100.SZ,20210113,1153333,108448.26
23,000100.SZ,20210112,320764,25014.16
24,000100.SZ,20210111,811858,63718.34
25,000100.SZ,20210108,439709,33238.61
26,000100.SZ,20210107,109126,8462.72
27,000100.SZ,20210106,-546600,-39704.06
28,000100.SZ,20210105,1005881,73676.99
29,000100.SZ,20210104,331253,24062.6
30,000100.SZ,20201231,352638,25375.94
31,000100.SZ,20201230,888418,61543.21
32,000100.SZ,20201229,-370702,-24808.37
33,000100.SZ,20201228,120943,8509.13
34,000100.SZ,20201225,203351,13872.45
35,000100.SZ,20201224,-823892,-54946.64
36,000100.SZ,20201223,247644,17271.18
37,000100.SZ,20201222,-956104,-65092.79
38,000100.SZ,20201221,560114,39649.48
39,000100.SZ,20201218,-800178,-55244.8
40,000100.SZ,20201217,315195,22303.6
41,000100.SZ,20201216,-767087,-53376.16
42,000100.SZ,20201215,503519,35880.67
43,000100.SZ,20201214,661852,45698.9
44,000100.SZ,20201211,-593542,-39629.32
45,000100.SZ,20201210,-150097,-10069.9
46,000100.SZ,20201209,-1293480,-90142.6
47,000100.SZ,20201208,378578,27546.01
48,000100.SZ,20201207,-799587,-56635.15
49,000100.SZ,20201204,-1748643,-126850.67
50,000100.SZ,20201203,-1152174,-89131.67
51,000100.SZ,20201202,1339721,102916.27
52,000100.SZ,20201201,1380961,99757.67
53,000100.SZ,20201130,806466,56672.11
54,000100.SZ,20201127,-246309,-16569.68
55,000100.SZ,20201126,-710759,-48545.61
56,000100.SZ,20201125,-285276,-19818.76
57,000100.SZ,20201124,373773,27090.02
58,000100.SZ,20201123,687044,48599.28
59,000100.SZ,20201120,135067,9468.6
60,000100.SZ,20201119,-488182,-33328.62
61,000100.SZ,20201118,385367,27147.33
62,000100.SZ,20201117,-1336118,-91742.67
63,000100.SZ,20201116,-190152,-13038.24
64,000100.SZ,20201113,1593647,114236.78
65,000100.SZ,20201112,133793,9874.9
66,000100.SZ,20201111,-382359,-24439.47
67,000100.SZ,20201110,799673,55469.24
68,000100.SZ,20201109,124851,8849.21
69,000100.SZ,20201106,633477,42284.73
70,000100.SZ,20201105,368410,24228.64
71,000100.SZ,20201104,166462,10858.1
72,000100.SZ,20201103,516815,32921.07
73,000100.SZ,20201102,635757,39660.81
74,000100.SZ,20201030,-470353,-28614.12
75,000100.SZ,20201029,807065,50420.27
76,000100.SZ,20201028,321319,19740.37
77,000100.SZ,20201027,-357766,-20981.13
78,000100.SZ,20201026,-319719,-19153.71
79,000100.SZ,20201023,-231645,-14102.7
80,000100.SZ,20201022,242594,14948.14
81,000100.SZ,20201021,-193744,-11596.75
82,000100.SZ,20201020,289897,17773.2
83,000100.SZ,20201019,-808690,-48298.62
84,000100.SZ,20201016,-932924,-57252.71
85,000100.SZ,20201015,-88429,-5420.1
86,000100.SZ,20201014,-519154,-33040.14
87,000100.SZ,20201013,-325244,-21082.45
88,000100.SZ,20201012,-220074,-13943.51
89,000100.SZ,20201009,643627,41774.41
90,000100.SZ,20200930,-304478,-18734.84
91,000100.SZ,20200929,323205,20361.94
92,000100.SZ,20200928,-24542,-1413.54
93,000100.SZ,20200925,-46844,-2706.23
94,000100.SZ,20200924,-596888,-36950.87
95,000100.SZ,20200923,-413221,-26175.65
96,000100.SZ,20200922,-807808,-52514.79
97,000100.SZ,20200921,-709694,-47673.29
98,000100.SZ,20200918,-137399,-8711.84
99,000100.SZ,20200916,-325126,-21809.5
