,ts_code,trade_date,net_mf_vol,net_mf_amount
0,003816.SZ,20210219,435122,11784.46
1,003816.SZ,20210218,97147,2611.14
2,003816.SZ,20210210,-65877,-1711.75
3,003816.SZ,20210209,25652,716.35
4,003816.SZ,20210208,-127608,-3324.26
5,003816.SZ,20210205,-215129,-5616.61
6,003816.SZ,20210204,-232074,-6120.12
7,003816.SZ,20210203,-216969,-5797.73
8,003816.SZ,20210202,-366531,-9900.14
9,003816.SZ,20210201,-191225,-5197.77
10,003816.SZ,20210129,-233580,-6369.89
11,003816.SZ,20210128,126313,3547.28
12,003816.SZ,20210127,-4206,-93.74
13,003816.SZ,20210126,-201196,-5535.58
14,003816.SZ,20210125,-111871,-3077.97
15,003816.SZ,20210122,-347087,-9672.29
16,003816.SZ,20210121,-234007,-6562.36
17,003816.SZ,20210120,-146906,-4141.13
18,003816.SZ,20210119,-247061,-6956.09
19,003816.SZ,20210118,-326863,-9276.5
20,003816.SZ,20210115,-110773,-3106.47
21,003816.SZ,20210114,286697,8460.87
22,003816.SZ,20210113,723470,20511.92
23,003816.SZ,20210112,-11778,-280.99
24,003816.SZ,20210111,-356946,-9840.07
25,003816.SZ,20210108,-37644,-1021.81
26,003816.SZ,20210107,-353687,-9848.7
27,003816.SZ,20210106,308055,8708.0
28,003816.SZ,20210105,-247520,-6838.77
29,003816.SZ,20210104,-189787,-5287.87
30,003816.SZ,20201231,-298400,-8347.14
31,003816.SZ,20201230,-169131,-4739.5
32,003816.SZ,20201229,-164479,-4601.45
33,003816.SZ,20201228,87973,2714.54
34,003816.SZ,20201225,857745,24268.64
35,003816.SZ,20201224,-138648,-3813.7
36,003816.SZ,20201223,329866,9174.22
37,003816.SZ,20201222,-373641,-10235.19
38,003816.SZ,20201221,-182270,-5043.32
39,003816.SZ,20201218,335613,9408.9
40,003816.SZ,20201217,-64346,-1754.57
41,003816.SZ,20201216,-285631,-7864.72
42,003816.SZ,20201215,-38496,-1057.62
43,003816.SZ,20201214,277315,7806.41
44,003816.SZ,20201211,504523,14038.5
45,003816.SZ,20201210,218509,5999.42
46,003816.SZ,20201209,-164460,-4504.86
47,003816.SZ,20201208,-55480,-1529.35
48,003816.SZ,20201207,-360657,-10031.58
49,003816.SZ,20201204,191868,5424.8
50,003816.SZ,20201203,-245469,-6842.83
51,003816.SZ,20201202,-92123,-2546.16
52,003816.SZ,20201201,-63927,-1753.95
53,003816.SZ,20201130,30827,931.27
54,003816.SZ,20201127,-134973,-3740.74
55,003816.SZ,20201126,319935,8976.98
56,003816.SZ,20201125,199195,5564.25
57,003816.SZ,20201124,-48173,-1317.54
58,003816.SZ,20201123,100387,2817.57
59,003816.SZ,20201120,-112943,-3070.09
60,003816.SZ,20201119,14957,421.95
61,003816.SZ,20201118,51207,1454.48
62,003816.SZ,20201117,105429,2899.2
63,003816.SZ,20201116,25993,721.75
64,003816.SZ,20201113,-147011,-3959.12
65,003816.SZ,20201112,-279949,-7610.84
66,003816.SZ,20201111,-82656,-2246.19
67,003816.SZ,20201110,-25380,-681.59
68,003816.SZ,20201109,142415,3930.42
69,003816.SZ,20201106,-46087,-1239.69
70,003816.SZ,20201105,23527,653.86
71,003816.SZ,20201104,-214844,-5793.55
72,003816.SZ,20201103,119554,3261.31
73,003816.SZ,20201102,-253980,-6858.29
74,003816.SZ,20201030,-158474,-4326.84
75,003816.SZ,20201029,-337766,-9290.12
76,003816.SZ,20201028,-206749,-5782.94
77,003816.SZ,20201027,-46013,-1294.26
78,003816.SZ,20201026,-79716,-2258.09
79,003816.SZ,20201023,-25166,-713.15
80,003816.SZ,20201022,5490,164.36
81,003816.SZ,20201021,-154693,-4408.67
82,003816.SZ,20201020,-60062,-1716.89
83,003816.SZ,20201019,-60057,-1724.39
84,003816.SZ,20201016,-25698,-736.96
85,003816.SZ,20201015,-8489,-240.42
86,003816.SZ,20201014,-79366,-2295.27
87,003816.SZ,20201013,-57830,-1678.86
88,003816.SZ,20201012,89716,2619.9
89,003816.SZ,20201009,-10457,-296.15
90,003816.SZ,20200930,-25360,-717.17
91,003816.SZ,20200929,36544,1048.37
92,003816.SZ,20200928,-56753,-1611.37
93,003816.SZ,20200925,-44287,-1262.55
