,ts_code,trade_date,net_mf_vol,net_mf_amount
0,603799.SH,20210219,-39827,-40634.78
1,603799.SH,20210218,78488,83058.65
2,603799.SH,20210210,-8071,-7413.14
3,603799.SH,20210209,35526,35862.96
4,603799.SH,20210208,18891,19063.83
5,603799.SH,20210205,-106633,-102823.11
6,603799.SH,20210204,-51315,-52173.7
7,603799.SH,20210203,53050,58153.02
8,603799.SH,20210202,82809,83662.44
9,603799.SH,20210201,-43902,-40951.62
10,603799.SH,20210129,-57357,-55158.54
11,603799.SH,20210128,-9492,-8983.37
12,603799.SH,20210127,82635,87037.45
13,603799.SH,20210126,-39311,-38151.88
14,603799.SH,20210125,21581,22865.6
15,603799.SH,20210122,42531,41670.03
16,603799.SH,20210121,20856,19824.67
17,603799.SH,20210120,65170,54149.59
18,603799.SH,20210119,-52917,-42167.76
19,603799.SH,20210118,-13100,-10575.71
20,603799.SH,20210115,14190,12541.25
21,603799.SH,20210114,41954,34152.14
22,603799.SH,20210113,-48482,-43106.25
23,603799.SH,20210112,68363,60691.41
24,603799.SH,20210111,-25296,-22059.25
25,603799.SH,20210108,-1758,-1170.03
26,603799.SH,20210107,42320,39878.48
27,603799.SH,20210106,-12072,-10156.65
28,603799.SH,20210105,-11527,-9213.11
29,603799.SH,20210104,8978,7852.94
30,603799.SH,20201231,107540,83740.15
31,603799.SH,20201230,-7742,-5418.69
32,603799.SH,20201229,2020,465.27
33,603799.SH,20201228,14263,11421.63
34,603799.SH,20201225,102701,74923.66
35,603799.SH,20201224,37681,25980.86
36,603799.SH,20201223,15705,11712.5
37,603799.SH,20201222,-11090,-7386.22
38,603799.SH,20201221,122624,85607.26
39,603799.SH,20201218,82709,53635.51
40,603799.SH,20201217,78600,48330.39
41,603799.SH,20201216,-11048,-6420.02
42,603799.SH,20201215,-59953,-35736.55
43,603799.SH,20201214,57162,33498.57
44,603799.SH,20201211,4692,3025.51
45,603799.SH,20201210,-18373,-10125.95
46,603799.SH,20201209,65777,38196.86
47,603799.SH,20201208,-2488,-1245.17
48,603799.SH,20201207,-4217,-2076.84
49,603799.SH,20201204,51255,27029.3
50,603799.SH,20201203,4692,2404.01
51,603799.SH,20201202,-35666,-18012.72
52,603799.SH,20201201,3928,2137.97
53,603799.SH,20201130,-8977,-4522.34
54,603799.SH,20201127,11116,6015.68
55,603799.SH,20201126,26270,13688.13
56,603799.SH,20201125,-12223,-6121.46
57,603799.SH,20201124,16031,8881.61
58,603799.SH,20201123,17681,9879.42
59,603799.SH,20201120,35380,18362.78
60,603799.SH,20201119,34203,17353.68
61,603799.SH,20201118,8699,4654.49
62,603799.SH,20201117,47106,25135.26
63,603799.SH,20201116,106758,54679.67
64,603799.SH,20201113,119342,59305.45
65,603799.SH,20201112,91488,42363.26
66,603799.SH,20201111,-33398,-14771.74
67,603799.SH,20201110,27522,12932.8
68,603799.SH,20201109,108211,50033.33
69,603799.SH,20201106,63593,28448.37
70,603799.SH,20201105,100959,43560.21
71,603799.SH,20201104,14937,6400.42
72,603799.SH,20201103,-16991,-6897.41
73,603799.SH,20201102,15555,6515.65
74,603799.SH,20201030,-32561,-12977.93
75,603799.SH,20201029,223800,92017.13
76,603799.SH,20201028,49447,19071.89
77,603799.SH,20201027,69323,25908.81
78,603799.SH,20201026,625,239.4
79,603799.SH,20201023,-8610,-3089.76
80,603799.SH,20201022,5853,2125.8
81,603799.SH,20201021,-53147,-19272.73
82,603799.SH,20201020,30014,11238.08
83,603799.SH,20201019,4946,1817.44
84,603799.SH,20201016,-31883,-11547.26
85,603799.SH,20201015,539,229.82
86,603799.SH,20201014,6804,2568.43
87,603799.SH,20201013,-6959,-2492.63
88,603799.SH,20201012,-12855,-4697.29
89,603799.SH,20201009,7340,2627.56
90,603799.SH,20200930,-900,-295.22
91,603799.SH,20200929,15919,5512.57
92,603799.SH,20200928,-14170,-4825.0
93,603799.SH,20200925,-3728,-1295.6
94,603799.SH,20200924,-35423,-12639.25
95,603799.SH,20200923,-11390,-4194.4
96,603799.SH,20200922,-31397,-11659.58
97,603799.SH,20200921,-37673,-14404.79
98,603799.SH,20200918,9980,3895.47
99,603799.SH,20200917,-16818,-6390.19
100,603799.SH,20200916,13156,5172.2
101,603799.SH,20200915,-7177,-2699.72
102,603799.SH,20200914,11405,4387.08
103,603799.SH,20200911,8798,3289.94
104,603799.SH,20200910,11734,4444.89
105,603799.SH,20200909,-38335,-14072.47
106,603799.SH,20200908,-8913,-3375.73
107,603799.SH,20200907,-11538,-4480.52
108,603799.SH,20200904,2867,1119.18
109,603799.SH,20200903,-44220,-17311.43
110,603799.SH,20200902,-60018,-23853.59
111,603799.SH,20200901,-2572,-884.49
112,603799.SH,20200831,-33868,-13712.46
113,603799.SH,20200828,-6214,-2416.23
114,603799.SH,20200827,-8766,-3408.47
115,603799.SH,20200826,-56345,-22712.58
116,603799.SH,20200825,-129242,-53830.74
117,603799.SH,20200824,-35265,-15079.43
118,603799.SH,20200821,21042,9532.95
119,603799.SH,20200820,54618,24190.96
120,603799.SH,20200819,4222,1910.82
121,603799.SH,20200818,-54364,-23149.6
122,603799.SH,20200817,20127,8636.01
123,603799.SH,20200814,-12916,-5308.19
124,603799.SH,20200813,-35054,-14761.72
125,603799.SH,20200812,26302,11298.68
126,603799.SH,20200811,-49767,-21211.97
127,603799.SH,20200810,-44954,-19369.39
128,603799.SH,20200807,-69369,-30889.34
129,603799.SH,20200806,9036,4480.11
130,603799.SH,20200805,45367,21604.4
131,603799.SH,20200804,41693,19313.39
132,603799.SH,20200803,3795,1783.19
133,603799.SH,20200731,-135395,-57481.83
134,603799.SH,20200730,11496,5385.14
135,603799.SH,20200729,23448,10408.72
136,603799.SH,20200728,5340,2764.93
137,603799.SH,20200727,133620,55104.02
138,603799.SH,20200724,-26138,-10006.5
139,603799.SH,20200723,-48031,-19283.11
140,603799.SH,20200722,-25593,-10706.44
141,603799.SH,20200721,-48972,-20696.15
